graph,visible_windows,alpha,beta,fit_status,fallback_used,objective,AE2,ProfileAE,signed_rho2
train:sp_hospital,3,0.2829825331152445,2.22210228511072,flatness_unavailable,False,712.5273350693701,0.04062638340416047,0.043271934257630144,0.04062638340416047
train:sp_primaryschool,3,272888.4308708206,727111.569129179,boundary_homogeneous,False,3743.2576283890853,0.09979008068804723,0.07456884799293167,0.09979008068804723
train:sp_highschool2013,3,nan,nan,boundary_other,True,nan,0.19776900961970556,0.08247854307846512,0.19776900961970556
train:sp_workplace,3,176987.66848525894,823012.3315147406,boundary_homogeneous,False,1192.106371562805,0.05754264730760905,0.03728428574071845,0.05754264730760905
train:sp_hypertext2009,3,2.4544826811014744,14.465100746985986,flatness_unavailable,False,940.7120305818079,0.06842756261168043,0.018017966066257718,0.06842756261168043
train:snap_collegemsg,3,3.990686272263901e-05,6.495033118609934,boundary_other,False,891.0915307460322,0.11040738618209121,0.03782302763509938,0.11040738618209121
train:snap_email_eu,3,3.2169232417800675,7.467621984439096,flatness_unavailable,False,9271.097354912445,0.0851339911919996,0.056573439057662794,0.0851339911919996
train:snap_mathoverflow,3,7.817386554268121e-05,12.723171180816339,boundary_other,False,28274.367550747436,0.04339586095007365,0.012599959911228486,0.04339586095007365
train:snap_bitcoin_otc,3,17212.055894833255,982787.9374791919,boundary_homogeneous,False,1054.9607464028163,0.009620913271723631,0.002555943844703298,0.009620913271723631
train:nr_radoslaw_email,3,2.9823180095576147e-06,0.4853865455906885,boundary_other,False,2169.2570870059826,0.14315387011247893,0.10416477445936051,0.14315387011247893
train:nr_digg_reply,3,nan,nan,boundary_other,True,nan,0.0005096969954733578,0.00016105395669369392,0.0005096969954733578
train:jodie_wikipedia,3,1.7316327152479608e-05,2.8183152138450525,boundary_other,False,8388.430711917614,0.13067655759834942,0.04704974811955533,0.13067655759834942
train:jodie_reddit,3,6.675216952165923e-06,1.086423542726364,boundary_other,False,55329.64087139648,0.12712354482773197,0.06108064224453299,0.12712354482773197
train:jodie_lastfm,3,0.008626580811868734,1.5180106480805384,flatness_unavailable,False,116591.10654549203,0.06161659044994555,0.05820347017087853,0.06161659044994555
train:jodie_mooc,3,nan,nan,starts_disagree,True,nan,0.058049365050272944,0.015715120354707415,0.058049365050272944
train:copenhagen_bluetooth,3,nan,nan,boundary_other,True,nan,0.21160025801862925,0.08634318741550863,0.21160025801862925
dev:pool-v3-panel888-20260921_dar_dev_0001,3,1.6881605194536418,10.408807819574374,flatness_unavailable,False,396.55672477109425,0.0594106028806799,0.02549640923589294,0.0594106028806799
dev:pool-v3-panel888-20260921_dar_dev_0002,3,4.5634091326304684e-05,7.427167015408495,boundary_other,False,34.949425094346445,0.03404537024374038,0.014589053867351313,-0.03404537024374038
dev:pool-v3-panel888-20260921_dar_dev_0003,3,198044.30814738327,801955.6918526163,boundary_homogeneous,False,80.35031032973166,0.07463471826451024,0.0242395008605276,0.07463471826451024
dev:pool-v3-panel888-20260921_dar_dev_0004,3,2.183291496313774e-05,3.553411520894332,boundary_other,False,43.70774277191596,0.06296482614718923,0.03449572798776209,0.06296482614718923
dev:pool-v3-panel888-20260921_dar_dev_0005,3,1.657640746814101e-05,1.4238831864035537,flatness_unavailable,False,1053.7085531548053,0.03671860834998103,0.04929651983419067,0.03671860834998103
dev:pool-v3-panel888-20260921_dar_dev_0006,3,0.00010872464315695286,1.8076731055942612,flatness_unavailable,False,362.290691374431,0.09905618147234191,0.06925787192470159,0.09905618147234191
dev:pool-v3-panel888-20260921_dar_dev_0007,3,4.2900647380315185e-06,0.6982285897956406,boundary_other,False,574.0799132441502,0.031428351803307164,0.07218035160476416,0.031428351803307164
dev:pool-v3-panel888-20260921_dar_dev_0008,3,3.584189512154215e-06,0.5833440164568406,boundary_other,False,71.80355853446706,0.15247362862501546,0.1560234440077544,0.15247362862501546
dev:pool-v3-panel888-20260921_dar_dev_0009,3,0.12319608486494238,0.2608580927846311,flatness_unavailable,False,1717.233540422799,0.04113017484708492,0.09805577854301845,0.04113017484708492
dev:pool-v3-panel888-20260921_dar_dev_0010,3,2.5047837614923544e-06,0.4076655586513962,boundary_other,False,239.19410357806322,0.019424851854892955,0.0773036177000628,0.019424851854892955
dev:pool-v3-panel888-20260921_dar_dev_0011,3,2.539883855452732,16.407294425000032,flatness_unavailable,False,651.983471938011,0.026205416367451717,0.009295976712193852,0.026205416367451717
