graph,alpha,beta,fit_status,fallback_used,objective,AE2,ProfileAE,signed_rho2
dev:pool-v3-panel888-20260921_dar_dev_0004,1.0147258676878217,11.663743932818887,flatness_unavailable,False,97.61961377767506,0.005126471423936241,0.006839655799420701,0.005126471423936241
dev:pool-v3-panel888-20260921_dar_dev_0005,0.3422092862641962,2.7866897957041754,flatness_unavailable,False,1990.876767021449,0.004800825082745042,0.005493475895980002,-0.004800825082745042
dev:pool-v3-panel888-20260921_dar_dev_0006,0.1528242290648227,3.711613267466164,flatness_unavailable,False,661.977850187133,0.001614416831147658,0.003002293024979785,-0.001614416831147658
dev:pool-v3-panel888-20260921_dar_dev_0007,0.20093650500593213,1.2329085928199182,flatness_unavailable,False,1079.2313479917714,0.011735556395594315,0.010806656316292091,-0.011735556395594315
dev:pool-v3-panel888-20260921_dar_dev_0008,0.1845376910936013,1.5630155867769628,flatness_unavailable,False,137.86593291872188,0.02315963000887722,0.02527530658369799,0.02315963000887722
dev:pool-v3-panel888-20260921_dar_dev_0009,0.08002726144441821,0.36796843475606683,flatness_unavailable,False,3269.5068598113694,0.01805643881532193,0.018728788236029567,-0.01805643881532193
dev:pool-v3-panel888-20260921_dar_dev_0010,0.2362418842598791,0.7392786102327961,flatness_unavailable,False,451.89703130103294,0.008827771995329692,0.011393538332749642,-0.008827771995329692
dev:pool-v3-panel888-20260921_dar_dev_0011,1.9239953255867994,14.896917970112996,flatness_unavailable,False,1417.573016863808,0.00017754061642377694,0.00031700015778512395,-0.00017754061642377694
dev:pool-v3-panel888-20260921_dar_dev_0012,10.122548825565076,64.18752878609857,flatness_unavailable,False,1691.374778570371,0.0008483998533102555,0.0008252651240443204,0.0008483998533102555
dev:pool-v3-panel888-20260921_dar_dev_0013,1.212658891792579,7.7333447981842305,flatness_unavailable,False,2509.4508926655176,0.0002795194975562798,0.0004926767304789776,-0.0002795194975562798
dev:pool-v3-panel888-20260921_dar_dev_0014,0.9862762831198794,6.990944960553189,flatness_unavailable,False,4683.539449978732,0.00026049516712489673,0.0005602938509510428,-0.00026049516712489673
dev:pool-v3-panel888-20260921_dar_dev_0015,0.475098612660119,2.307813488625129,flatness_unavailable,False,301.61530400013646,0.008869637096338034,0.012246919241040398,-0.008869637096338034
dev:pool-v3-panel888-20260921_dar_dev_0016,0.7303162547875971,2.763528877404876,flatness_unavailable,False,8075.753589354599,0.004420452310499701,0.005416706956943909,-0.004420452310499701
dev:pool-v3-panel888-20260921_dar_dev_0017,0.1227192521941981,0.8820930003833268,flatness_unavailable,False,381.67154396400554,0.002950355312265396,0.0036810634922526016,-0.002950355312265396
dev:pool-v3-panel888-20260921_dar_dev_0018,0.22638849483289847,0.9376610915870547,flatness_unavailable,False,627.8569523068362,0.0006050230360600262,0.00978208378155412,-0.0006050230360600262
dev:pool-v3-panel888-20260921_dar_dev_0019,0.08152236316924746,0.2795016680505706,flatness_unavailable,False,2187.461456088735,0.010364624219030283,0.011849338608452442,-0.010364624219030283
dev:pool-v3-panel888-20260921_dar_dev_0020,0.3452865194545601,0.450048115128162,flatness_unavailable,False,763.3781950061004,0.024182180690840882,0.023960702619606353,-0.024182180690840882
dev:pool-v3-panel888-20260921_dar_dev_0021,23.690917499356534,69.22530836928289,flatness_unavailable,False,4219.017164397829,0.0003604463668879232,0.00037764052539047,-0.0003604463668879232
dev:pool-v3-panel888-20260921_dar_dev_0022,2.7616798780406464,10.167916860919306,flatness_unavailable,False,3215.841108283518,0.0017343702211201073,0.0016160221878673152,-0.0017343702211201073
dev:pool-v3-panel888-20260921_dar_dev_0023,1.6543969637774707,5.331670278398007,flatness_unavailable,False,1263.1631578380106,0.0001143174204029096,0.001507021837852087,-0.0001143174204029096
dev:pool-v3-panel888-20260921_dar_dev_0024,2.425412322024238,7.161203260068901,flatness_unavailable,False,3332.3749619911846,0.0011642181635427296,0.001030737586791319,0.0011642181635427296
dev:pool-v3-panel888-20260921_dar_dev_0025,0.6003358273705564,2.032245004473726,flatness_unavailable,False,5939.499766328121,0.006262425154679452,0.007950154061189098,-0.006262425154679452
dev:pool-v3-panel888-20260921_dar_dev_0026,0.887623832691538,2.525139252414657,flatness_unavailable,False,2226.6027195457364,0.001987677674641364,0.0037962168974102397,-0.001987677674641364
dev:pool-v3-panel888-20260921_dar_dev_0027,0.27063221299062384,0.6785822778652422,flatness_unavailable,False,2539.262273960969,0.014249540234604119,0.016094670687960624,-0.014249540234604119
dev:pool-v3-panel888-20260921_dar_dev_0028,0.3171383954658324,0.9372262246360273,flatness_unavailable,False,4584.34401045963,0.012800699170340546,0.013801378929146277,-0.012800699170340546
dev:pool-v3-panel888-20260921_dar_dev_0029,0.194304623237401,0.22595802991699965,flatness_unavailable,False,1712.438466191586,0.015237649411320886,0.01641176373645767,-0.015237649411320886
dev:pool-v3-panel888-20260921_dar_dev_0030,0.38401859160198015,0.6314304406788521,flatness_unavailable,False,766.2323146212699,0.01726113263621276,0.01650729664956515,-0.01726113263621276
dev:pool-v3-panel888-20260921_dar_dev_0031,12.962077156649352,24.311610437551472,flatness_unavailable,False,3637.188796172063,0.0005735020637872568,0.0008677344769211668,-0.0005735020637872568
dev:pool-v3-panel888-20260921_dar_dev_0032,24.242151014655715,46.00456078266364,flatness_unavailable,False,5495.819952779537,0.0050110122686050085,0.0048154552575764556,-0.0050110122686050085
dev:pool-v3-panel888-20260921_dar_dev_0033,2.3966289957484705,4.397923980445262,flatness_unavailable,False,6375.700734786808,0.0024787776724365385,0.0024665751758277538,-0.0024787776724365385
dev:pool-v3-panel888-20260921_dar_dev_0034,3.9218374428582563,7.392038011583055,flatness_unavailable,False,3023.538736977031,0.0017171356144276562,0.002437376139032655,0.0017171356144276562
dev:pool-v3-panel888-20260921_dar_dev_0035,0.917449865969151,1.7721744908742199,flatness_unavailable,False,7284.4663364214275,0.010371774396266464,0.011138462733491797,-0.010371774396266464
dev:pool-v3-panel888-20260921_dar_dev_0036,0.6049861553378725,1.4720267291853675,flatness_unavailable,False,1664.4262810064904,0.002472675394705637,0.003596300137820911,-0.002472675394705637
dev:pool-v3-panel888-20260921_dar_dev_0037,0.7234968149120549,1.1301460251408915,flatness_unavailable,False,7030.187769231472,0.008517961877563485,0.009651508156701356,-0.008517961877563485
dev:pool-v3-panel888-20260921_dar_dev_0038,0.5275798703303012,1.1066966796379711,flatness_unavailable,False,5908.960327792107,0.010222543874471302,0.009162051234083,-0.010222543874471302
dev:pool-v3-panel888-20260921_dar_dev_0039,0.20813118686872722,0.23367861418349473,flatness_unavailable,False,2417.248139367958,0.011440580806454603,0.011153846336265177,-0.011440580806454603
dev:pool-v3-panel888-20260921_dar_dev_0040,0.10048047128030418,0.26217581640447424,flatness_unavailable,False,790.7384342793907,0.009454469028488899,0.010309902578186925,-0.009454469028488899
dev:pool-v3-panel888-20260921_dar_dev_0041,7.919521235100322,10.652118771824608,flatness_unavailable,False,6657.094312487544,0.002949644841333532,0.0026324799743495343,-0.002949644841333532
dev:pool-v3-panel888-20260921_dar_dev_0042,371259.4050450264,628740.5949549731,boundary_homogeneous,False,7850.67339178543,8.962161200376517e-05,0.0016926383482505397,-8.962161200376517e-05
dev:pool-v3-panel888-20260921_dar_dev_0043,2.5290333686321795,3.3283382380239166,flatness_unavailable,False,541.9591393842763,0.00027448509816563327,0.0007968356162229764,0.00027448509816563327
dev:pool-v3-panel888-20260921_dar_dev_0044,3.7240621587287905,4.581460337961148,flatness_unavailable,False,13769.067587315945,0.0020443725284605696,0.0032128766181700186,-0.0020443725284605696
dev:pool-v3-panel888-20260921_dar_dev_0045,1.1151361215804805,1.3373723893329197,flatness_unavailable,False,2246.0130861562607,0.0060821823367085415,0.005540389116046242,0.0060821823367085415
dev:pool-v3-panel888-20260921_dar_dev_0046,0.9743028036038548,1.3718594230601395,flatness_unavailable,False,7166.872421522932,0.007550101588709612,0.007141214035702705,-0.007550101588709612
dev:pool-v3-panel888-20260921_dar_dev_0047,0.7198309443522773,0.7772419097727874,flatness_unavailable,False,3585.2715632967984,0.014149749291585079,0.01448633789928716,-0.014149749291585079
dev:pool-v3-panel888-20260921_dar_dev_0048,0.7379268342649156,0.9743407032575816,flatness_unavailable,False,1928.763291735785,0.008811746597149561,0.01052568944353531,-0.008811746597149561
dev:pool-v3-panel888-20260921_dar_dev_0049,0.3046897765333476,0.2989581237995389,flatness_unavailable,False,7158.678098115816,0.01203803674620374,0.011978933181457888,-0.01203803674620374
dev:pool-v3-panel888-20260921_dar_dev_0050,0.22671571079310474,0.20234546494118114,flatness_unavailable,False,9962.0128024552,0.010112147053685239,0.009909756280647691,-0.010112147053685239
dev:pool-v3-panel888-20260921_ad_dev_0001,9523.272085962944,990476.724046986,boundary_homogeneous,False,148.53688234754483,0.00018315257782732658,9.15818023320832e-05,-0.00018315257782732658
dev:pool-v3-panel888-20260921_ad_dev_0002,0.3987308396193166,34.98536954221896,flatness_unavailable,False,18850.423335813422,2.599743044771896e-05,4.158034425265904e-05,2.599743044771896e-05
dev:pool-v3-panel888-20260921_ad_dev_0003,1.6370179847020072,19.26624806278097,flatness_unavailable,False,25819.509218260486,5.080134410806458e-05,7.555069634212446e-05,5.080134410806458e-05
dev:pool-v3-panel888-20260921_ad_dev_0004,nan,nan,boundary_homogeneous,True,nan,0.00010164822385236999,5.082411178025418e-05,-0.00010164822385236999
dev:pool-v3-panel888-20260921_ad_dev_0005,17.758032827288243,421.2340297576204,flatness_unavailable,False,756.197461369414,8.674073728394405e-05,9.074380121134051e-05,8.674073728394405e-05
dev:pool-v3-panel888-20260921_ad_dev_0006,2.942301186324238,171.9988729906995,flatness_unavailable,False,4386.539360636307,1.435746228085899e-05,1.7873837313387418e-05,1.435746228085899e-05
dev:pool-v3-panel888-20260921_ad_dev_0007,0.41687534855122466,31.679697127233393,flatness_unavailable,False,23782.074401732632,1.2510474302313002e-05,2.6858024761962543e-05,-1.2510474302313002e-05
dev:pool-v3-panel888-20260921_ad_dev_0008,0.42111057683635067,11.386151370858668,flatness_unavailable,False,3736.418954153896,0.0001532277949637395,0.00023653764193163685,-0.0001532277949637395
