graph_id,fit_status,fallback_used,lam,AE2,ProfileAE,signed_rho2
pool-v3-panel888-20260921_ad_dev_0004,boundary_other,True,nan,0.008396591977534795,0.002110423227198478,-0.008396591977534795
pool-v3-panel888-20260921_ad_dev_0004,boundary_homogeneous,False,0.025509153323689287,0.02162096521104863,0.0054384241778384305,-0.02162096521104863
pool-v3-panel888-20260921_ad_dev_0005,weakly_identified,False,0.07805366812765892,0.04691871174339743,0.012564412440495182,-0.04691871174339743
pool-v3-panel888-20260921_ad_dev_0005,weakly_identified,False,0.211099248567104,0.05251103257031268,0.014011467025041134,-0.05251103257031268
pool-v3-panel888-20260921_ad_dev_0005,boundary_homogeneous,False,0.082787597598634,0.08470399300699682,0.022189374793391392,-0.08470399300699682
pool-v3-panel888-20260921_ad_dev_0005,boundary_other,False,1.0045953682250886e-06,0.04228781727700501,0.014167941468702648,0.04228781727700501
pool-v3-panel888-20260921_ad_dev_0005,weakly_identified,False,0.06980606092019889,0.016795302642588064,0.004635550257200603,-0.016795302642588064
pool-v3-panel888-20260921_ad_dev_0006,starts_disagree,True,nan,3.110883058595609e-05,8.29526317360612e-05,-3.110883058595609e-05
pool-v3-panel888-20260921_ad_dev_0006,starts_disagree,True,nan,0.0075194289660536,0.002030870555476151,-0.0075194289660536
pool-v3-panel888-20260921_ad_dev_0006,weakly_identified,False,0.025755873477602016,0.011027496706398777,0.002830346921353612,0.011027496706398777
pool-v3-panel888-20260921_ad_dev_0006,starts_disagree,True,nan,0.0076629400576489,0.002068064865097009,-0.0076629400576489
pool-v3-panel888-20260921_ad_dev_0006,boundary_other,True,nan,0.007128310799761062,0.0018013285472530858,0.007128310799761062
pool-v3-panel888-20260921_ad_dev_0007,boundary_other,True,nan,0.004820062836721803,0.0017384610411856677,0.004820062836721803
pool-v3-panel888-20260921_ad_dev_0007,boundary_homogeneous,False,0.04520984475226235,0.017559646004885618,0.004608608823745156,0.017559646004885618
pool-v3-panel888-20260921_ad_dev_0007,starts_disagree,True,nan,0.00527694226865387,0.0018422007085436426,0.00527694226865387
pool-v3-panel888-20260921_ad_dev_0007,starts_disagree,True,nan,0.010516131908909737,0.0030275448004591947,0.010516131908909737
pool-v3-panel888-20260921_ad_dev_0007,starts_disagree,True,nan,0.01150578305719746,0.003745605438701992,-0.01150578305719746
pool-v3-panel888-20260921_ad_dev_0008,boundary_other,False,0.1377924970022053,0.01712864164897729,0.004475388724107209,-0.01712864164897729
pool-v3-panel888-20260921_ad_dev_0008,boundary_homogeneous,False,0.11574540518036168,0.08325095073428523,0.02336950847893101,0.08325095073428523
pool-v3-panel888-20260921_ad_dev_0008,weakly_identified,False,0.21637443959680083,0.01776401311491918,0.0076149401286658815,0.01776401311491918
pool-v3-panel888-20260921_ad_dev_0008,weakly_identified,False,0.19063173028448507,0.021476374988046415,0.008307236071705337,0.021476374988046415
pool-v3-panel888-20260921_ad_dev_0008,weakly_identified,False,0.08225352837803857,0.04621171787660583,0.012791300480909226,0.04621171787660583
pool-v3-panel888-20260921_ad_dev_0009,boundary_other,False,1.0000000000000004e-06,0.04797284364225575,0.012433381491667101,0.04797284364225575
pool-v3-panel888-20260921_ad_dev_0009,boundary_homogeneous,False,1.0000000000000004e-06,0.0034596788239566294,0.0009990525036160628,-0.0034596788239566294
pool-v3-panel888-20260921_ad_dev_0009,boundary_other,False,1.0000000000000004e-06,0.011947964331969967,0.0030248302803074583,0.011947964331969967
pool-v3-panel888-20260921_ad_dev_0009,weakly_identified,False,0.03226938682945011,0.004831385097938578,0.0013476750369946354,-0.004831385097938578
pool-v3-panel888-20260921_ad_dev_0009,boundary_homogeneous,False,1.0000000000000004e-06,0.0046504305774250215,0.0013017119501663515,-0.0046504305774250215
pool-v3-panel888-20260921_ad_dev_0010,starts_disagree,True,nan,0.013382459183019668,0.004278420881492514,-0.013382459183019668
pool-v3-panel888-20260921_ad_dev_0010,weakly_identified,False,0.06556376003559047,0.02653108485009885,0.007944845630984831,-0.02653108485009885
pool-v3-panel888-20260921_ad_dev_0010,weakly_identified,False,0.1801091180329841,0.031563956226105194,0.009341110582674722,-0.031563956226105194
pool-v3-panel888-20260921_ad_dev_0010,weakly_identified,False,0.06622858070127631,0.015001193972518284,0.0038715859867369863,0.015001193972518284
pool-v3-panel888-20260921_ad_dev_0010,weakly_identified,False,0.04837047102138434,0.02020736859032915,0.005390430184381069,0.02020736859032915
pool-v3-panel888-20260921_ad_dev_0011,weakly_identified,False,0.05667007684420885,0.012673664468796988,0.0038298513143119705,0.012673664468796988
pool-v3-panel888-20260921_ad_dev_0011,starts_disagree,True,nan,0.02005207365199521,0.005502994849385503,0.02005207365199521
pool-v3-panel888-20260921_ad_dev_0011,weakly_identified,False,0.05721859865101142,0.01970017493205492,0.0054235065878714475,0.01970017493205492
pool-v3-panel888-20260921_ad_dev_0011,starts_disagree,True,nan,0.002769309984641491,0.001559695924012535,0.002769309984641491
pool-v3-panel888-20260921_ad_dev_0011,starts_disagree,True,nan,0.021099706246296868,0.006526493225677854,-0.021099706246296868
pool-v3-panel888-20260921_ad_dev_0012,starts_disagree,True,nan,0.0015756907620759764,0.0011775026406042857,-0.0015756907620759764
pool-v3-panel888-20260921_ad_dev_0012,starts_disagree,True,nan,0.008989362008159987,0.00276929278891198,0.008989362008159987
pool-v3-panel888-20260921_ad_dev_0012,starts_disagree,True,nan,0.018040101606579456,0.0047819704199899655,0.018040101606579456
pool-v3-panel888-20260921_ad_dev_0012,starts_disagree,True,nan,0.003326172339172151,0.001655365829752859,-0.003326172339172151
pool-v3-panel888-20260921_ad_dev_0012,starts_disagree,True,nan,0.0152704171318402,0.004168615765037836,0.0152704171318402
pool-v3-panel888-20260921_ad_dev_0013,weakly_identified,False,0.022674059685261875,0.010196685950259701,0.0025534229740221542,0.010196685950259701
pool-v3-panel888-20260921_ad_dev_0013,weakly_identified,False,0.037228850500142935,0.004348713213159508,0.0013663530967528725,-0.004348713213159508
pool-v3-panel888-20260921_ad_dev_0013,starts_disagree,True,nan,0.015075825521963737,0.0038705696233838076,0.015075825521963737
pool-v3-panel888-20260921_ad_dev_0013,weakly_identified,False,0.01813889977041189,0.01940674578781608,0.005052781640826201,0.01940674578781608
pool-v3-panel888-20260921_ad_dev_0013,weakly_identified,False,0.04606262956950427,0.006082428194449679,0.0016086476903893298,0.006082428194449679
pool-v3-panel888-20260921_ad_dev_0014,starts_disagree,True,nan,0.011705755002495592,0.0030450294118147805,0.011705755002495592
pool-v3-panel888-20260921_ad_dev_0014,weakly_identified,False,0.0278947117155827,0.0038924444188789403,0.001180213119605447,0.0038924444188789403
pool-v3-panel888-20260921_ad_dev_0014,starts_disagree,True,nan,0.0101401039389857,0.002672577138998217,0.0101401039389857
pool-v3-panel888-20260921_ad_dev_0014,starts_disagree,True,nan,0.00044956941001669803,0.0003621030494711521,-0.00044956941001669803
pool-v3-panel888-20260921_ad_dev_0014,starts_disagree,True,nan,0.004602888071826745,0.0013504160653126888,0.004602888071826745
pool-v3-panel888-20260921_ad_dev_0015,boundary_homogeneous,False,1.0000000000000004e-06,0.004240272837455164,0.0013112039214252932,-0.004240272837455164
pool-v3-panel888-20260921_ad_dev_0015,boundary_homogeneous,True,nan,0.020314743245316024,0.005395810499586848,-0.020314743245316024
pool-v3-panel888-20260921_ad_dev_0015,boundary_other,True,nan,0.028797453300664716,0.00732468854036204,0.028797453300664716
pool-v3-panel888-20260921_ad_dev_0015,boundary_homogeneous,False,1.0000000000000004e-06,0.012556250540283167,0.0034325995757897806,-0.012556250540283167
pool-v3-panel888-20260921_ad_dev_0015,weakly_identified,False,0.015959081613662895,0.035083958694227924,0.008991307797139083,0.035083958694227924
