budget,graph_id,evidence_block,arm,T,active_dyad_windows,expected_cells,expected_coverage,matched,reasons,h_saturated,draws
0.05,ad_memoryless_r2,ad_memoryless,R,531.1,10622,529.2693547094188,0.04982765531062124,True,,,3
0.05,ad_memoryless_r2,ad_memoryless,S,531.1,10622,531.35546875,0.05002405090849181,True,,,3
0.05,ad_memoryless_r2,ad_memoryless,H,531.1,10622,530.8290180360722,0.049974488611944284,True,,False,3
0.05,ad_memoryless_r2,ad_memoryless,B,531.1,10622,531.1000000001467,0.05000000000001381,True,,,3
0.05,ad_memory_r2,ad_memory,R,277.25,5545,276.2943486973948,0.04982765531062125,True,,,3
0.05,ad_memory_r2,ad_memory,S,277.25,5545,278.8046875,0.05028037646528404,True,,,3
0.05,ad_memory_r2,ad_memory,H,277.25,5545,276.7542765531062,0.04991059991940599,True,,False,3
0.05,ad_memory_r2,ad_memory,B,277.25,5545,277.2500000002255,0.050000000000040665,True,,,3
0.1,sp_hospital,real,R,190.10000000000002,1901,189.07243243243244,0.09945945945945946,True,,,3
0.1,sp_hospital,real,S,190.10000000000002,1901,190.9453125,0.10044466728037875,True,,,3
0.1,sp_hospital,real,H,190.10000000000002,1901,190.14594594594595,0.10002416935609992,True,,False,3
0.1,sp_hospital,real,B,190.10000000000002,1901,190.09999999995597,0.09999999999997684,True,,,3
0.1,sp_highschool2013,real,R,1124.4,11244,1129.8636798559126,0.10048591958875067,True,,,3
0.1,sp_highschool2013,real,S,1124.4,11244,1127.654296875,0.1002894251934365,True,,,3
0.1,sp_highschool2013,real,H,1124.4,11244,1118.2485882066003,0.09945291606248668,True,,False,3
0.1,sp_highschool2013,real,B,1124.4,11244,1124.4000000023862,0.10000000000021221,True,,,3
0.1,copenhagen_bluetooth,real,R,14447.6,144476,14424.878897133249,0.0998427344135583,True,,,3
0.1,copenhagen_bluetooth,real,S,14447.6,144476,14443.91796875,0.0999745145820067,True,,,3
0.1,copenhagen_bluetooth,real,H,14447.6,144476,14405.63257572589,0.09970951975224875,True,,False,3
0.1,copenhagen_bluetooth,real,B,14447.6,144476,14447.600000004375,0.10000000000003029,True,,,3
0.1,sp_workplace,real,R,622.0,6220,622.636968766001,0.10010240655401946,True,,,3
0.1,sp_workplace,real,S,622.0,6220,621.1064453125,0.09985634169011254,True,,,3
0.1,sp_workplace,real,H,622.0,6220,623.115719406042,0.10017937611029613,True,,False,3
0.1,sp_workplace,real,B,622.0,6220,622.0000000001633,0.10000000000002625,True,,,3
0.1,snap_email_eu,real,R,3213.7000000000003,32137,3210.755021056208,0.0999083617343314,True,,,3
0.1,snap_email_eu,real,S,3213.7000000000003,32137,3212.07421875,0.09994941092043438,True,,,3
0.1,snap_email_eu,real,H,3213.7000000000003,32137,3213.2239906920236,0.09998518812247638,True,,False,3
0.1,snap_email_eu,real,B,3213.7000000000003,32137,3213.7000000050775,0.10000000000015799,True,,,3
0.1,snap_collegemsg,real,R,1549.4,15494,1550.1299280692906,0.10004711036977479,True,,,3
0.1,snap_collegemsg,real,S,1549.4,15494,1554.94921875,0.10035815275267845,True,,,3
0.1,snap_collegemsg,real,H,1549.4,15494,1549.4851152872318,0.10000549343534476,True,,False,3
0.1,snap_collegemsg,real,B,1549.4,15494,1549.4000000008466,0.10000000000005464,True,,,3
0.1,snap_mathoverflow,real,R,20867.7,208677,20868.632025179308,0.1000044663531645,True,,,3
