budget,evidence_block,arm,method,sources,planned,valid,missing,empty_observations,expected_coverage,all_arm_budgets_matched,MAE2,MAE2_MCSE,ProfileMAE,ProfileMAE_MCSE,valid_fraction,valid_fraction_MCSE
0.4,ad_memory,H,primary_corrector,2,6,6,0,0,0.39960773414505535,True,0.13002632860212643,0.003059668842256856,0.08525370621193093,0.003744147447586855,1.0,0.0
0.4,ad_memory,H,median,2,6,6,0,0,0.39960773414505535,True,0.43496156521329493,0.0,0.2981265188683012,0.0,1.0,0.0
0.4,ad_memory,H,extratrees_pooled,2,6,6,0,0,0.39960773414505535,True,0.006874327423636546,0.001350332835086094,0.011987314199047083,0.00026401203187117697,1.0,0.0
0.4,ad_memory,H,extratrees_real_only,2,6,6,0,0,0.39960773414505535,True,0.26233123156551613,0.0014492311051333014,0.14236735267679956,0.0010607006018740297,1.0,0.0
0.4,ad_memory,H,qwen_thinking,2,18,18,0,0,0.39960773414505535,True,0.13360012694925538,0.004385128645268186,0.15496775575721516,0.02212287942613352,1.0,0.0
0.4,ad_memory,H,qwen_nonthinking,2,18,18,0,0,0.39960773414505535,True,0.12972671014380172,0.026645969199093716,0.13287904116622806,0.02507616108227249,1.0,0.0
0.4,ad_memory,B,plugin,2,6,6,0,0,0.4000000000000694,True,0.3392429438766129,0.007211687708016596,0.27749454290215947,0.0022828341504672845,1.0,0.0
0.4,ad_memory,B,primary_corrector,2,6,6,0,0,0.4000000000000694,True,0.07085914262093945,0.020728743781076316,0.04567651713459506,0.008405726640400336,1.0,0.0
0.4,ad_memory,B,median,2,6,6,0,0,0.4000000000000694,True,0.43496156521329493,0.0,0.2981265188683012,0.0,1.0,0.0
0.4,ad_memory,B,extratrees_pooled,2,6,6,0,0,0.4000000000000694,True,0.015253519059933107,0.002723195306754717,0.01623879162367619,0.003656266553795321,1.0,0.0
0.4,ad_memory,B,extratrees_real_only,2,6,6,0,0,0.4000000000000694,True,0.27671496653636046,0.0012611298712964611,0.15328669814358453,0.0010417936675481355,1.0,0.0
0.4,ad_memory,B,qwen_thinking,2,18,18,0,0,0.4000000000000694,True,0.25572001748179984,0.018379893053584086,0.23363942146279337,0.020074792428513333,1.0,0.0
0.4,ad_memory,B,qwen_nonthinking,2,18,18,0,0,0.4000000000000694,True,0.11491339056601743,0.006221879991288065,0.16410161643491283,0.035494689984391294,1.0,0.0
0.5,real,R,plugin,8,24,24,0,0,0.499528478632009,True,0.006000154931460595,0.0017756659117850791,0.004584674450274547,0.0011875754355182135,1.0,0.0
0.5,real,R,primary_corrector,8,24,24,0,0,0.499528478632009,True,0.006000154931460595,0.0017756659117850791,0.004584674450274547,0.0011875754355182135,1.0,0.0
0.5,real,R,median,8,24,24,0,0,0.499528478632009,True,0.23969876967603918,0.0,0.11015221734076833,1.635512977795599e-18,1.0,0.0
0.5,real,R,extratrees_pooled,8,24,24,0,0,0.499528478632009,True,0.030258145236976407,0.0024254075132834115,0.01628035085638775,0.0015595189797138788,1.0,0.0
0.5,real,R,extratrees_real_only,8,24,24,0,0,0.499528478632009,True,0.034879973891873056,0.0014534008387227478,0.02626877991530381,0.0010304284577484584,1.0,0.0
0.5,real,R,qwen_thinking,8,72,72,0,0,0.499528478632009,True,0.006348859970531577,0.0017940923416577795,0.004782085105801376,0.0011680673029218155,1.0,0.0
0.5,real,R,qwen_nonthinking,8,72,72,0,0,0.499528478632009,True,0.5146530144027386,0.022251226072866552,0.3941769589496062,0.024198067196098023,1.0,0.0
0.5,real,S1,plugin,8,24,24,0,0,0.5002945418912659,True,0.031286076085462654,0.0007190278194358412,0.01413290054385981,0.0004929206039795017,1.0,0.0
0.5,real,S1,primary_corrector,8,24,24,0,0,0.5002945418912659,True,0.031286076085462654,0.0007190278194358412,0.01413290054385981,0.0004929206039795017,1.0,0.0
0.5,real,S1,median,8,24,24,0,0,0.5002945418912659,True,0.23969876967603918,0.0,0.11015221734076833,1.635512977795599e-18,1.0,0.0
0.5,real,S1,extratrees_pooled,8,24,24,0,0,0.5002945418912659,True,0.05209313850677534,0.005258248266712459,0.023878124996842998,0.002052028386622345,1.0,0.0
0.5,real,S1,extratrees_real_only,8,24,24,0,0,0.5002945418912659,True,0.041475888476078665,0.0008744600610135074,0.03093794431714079,0.00045030140387625894,1.0,0.0
0.5,real,S1,qwen_thinking,8,72,72,0,0,0.5002945418912659,True,0.03084223821028938,0.0008472856490516385,0.014128159662359367,0.0005210026508428613,1.0,0.0
0.5,real,S1,qwen_nonthinking,8,72,72,0,0,0.5002945418912659,True,0.3563825228897929,0.02215665329611202,0.23585102634650754,0.016011975656053393,1.0,0.0
0.5,real,S2,plugin,8,24,24,0,0,0.5002945418912659,True,0.031286076085462654,0.0007190278194358412,0.01413290054385981,0.0004929206039795017,1.0,0.0
0.5,real,S2,primary_corrector,8,24,24,0,0,0.5002945418912659,True,0.0060246737566141875,0.000892210000147499,0.0035453967610602835,0.0003227556922809062,1.0,0.0
0.5,real,S2,median,8,24,24,0,0,0.5002945418912659,True,0.23969876967603918,0.0,0.11015221734076833,1.635512977795599e-18,1.0,0.0
0.5,real,S2,extratrees_pooled,8,24,24,0,0,0.5002945418912659,True,0.04145223253635445,0.005336431249746072,0.019481063223603108,0.002036844316245442,1.0,0.0
0.5,real,S2,extratrees_real_only,8,24,24,0,0,0.5002945418912659,True,0.03521292713580573,0.0010602056638678908,0.026949077753271176,0.0006108452347754984,1.0,0.0
0.5,real,S2,qwen_thinking,8,72,72,0,0,0.5002945418912659,True,0.04327452895129906,0.01002161410156981,0.01961560947146692,0.004323671649262159,1.0,0.0
0.5,real,S2,qwen_nonthinking,8,72,72,0,0,0.5002945418912659,True,0.4689932921805164,0.028970759411252902,0.32221306698951624,0.02339963657764835,1.0,0.0
0.5,real,H,plugin,8,18,18,0,0,0.4487510358894882,False,0.06962236473489376,0.002271641241015374,0.05893446864075591,0.0008431871240624075,1.0,0.0
0.5,real,H,primary_corrector,8,18,18,0,0,0.4487510358894882,False,0.12795733432941353,0.003223954756006021,0.053298534587590984,0.001817397897786633,1.0,0.0
0.5,real,H,median,8,18,18,0,0,0.4487510358894882,False,0.23969876967603918,0.0,0.11015221734076833,1.635512977795599e-18,1.0,0.0
0.5,real,H,extratrees_pooled,8,18,18,0,0,0.4487510358894882,False,0.03813605745522333,0.0023326942560752215,0.026460758316989574,0.0015506171919455831,1.0,0.0
0.5,real,H,extratrees_real_only,8,18,18,0,0,0.4487510358894882,False,0.04774694031872992,0.001214477688308604,0.03717494235771795,0.0010073760587607148,1.0,0.0
0.5,real,H,qwen_thinking,8,54,54,0,0,0.4487510358894882,False,0.18765848891577308,0.030211554051878857,0.09779817583959913,0.011552915088860052,1.0,0.0
0.5,real,H,qwen_nonthinking,8,54,54,0,0,0.4487510358894882,False,0.2954751078764857,0.018262991949473367,0.20776130308673063,0.018662424409237592,1.0,0.0
0.5,real,B,plugin,8,24,24,0,0,0.49999999999995726,True,0.04893336989864702,0.0009650862832765981,0.025023034111409232,0.00042535404058738346,1.0,0.0
0.5,real,B,primary_corrector,8,24,24,0,0,0.49999999999995726,True,0.03177159137544428,0.0010355361424009475,0.023018078104839565,0.0010497601918510752,1.0,0.0
