stratum,arm,config_id,mock,source,metric,value,MCSE,draws,valid_answers,planned_answers
real,R,qwen_thinking,False,copenhagen_bluetooth,baseline_ProfileAE_all,0.0049247257994300565,0.0008569281974935264,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,baseline_ProfileAE_all,0.0028154319501629524,0.001186991598022331,5,15,15
real,R,qwen_thinking,False,snap_email_eu,baseline_ProfileAE_all,0.017329713866097697,0.002635530687539133,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,baseline_ProfileAE_all,0.0022634534721139416,0.0005931972906603437,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,baseline_ProfileAE_all,0.0163136000220534,0.0038976969023552482,5,15,15
real,R,qwen_thinking,False,sp_hospital,baseline_ProfileAE_all,0.02892326624459917,0.003210760108664369,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,baseline_ProfileAE_matched,0.0049247257994300565,0.0008569281974935264,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,baseline_ProfileAE_matched,0.0028154319501629524,0.001186991598022331,5,15,15
real,R,qwen_thinking,False,snap_email_eu,baseline_ProfileAE_matched,0.017329713866097697,0.002635530687539133,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,baseline_ProfileAE_matched,0.0022634534721139416,0.0005931972906603437,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,baseline_ProfileAE_matched,0.0163136000220534,0.0038976969023552482,5,15,15
real,R,qwen_thinking,False,sp_hospital,baseline_ProfileAE_matched,0.02892326624459917,0.003210760108664369,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_ProfileAE_vs_baseline,-2.175904705602194e-07,7.495048312910724e-07,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,delta_ProfileAE_vs_baseline,-1.9584873249140432e-05,3.8112053461539405e-05,5,15,15
real,R,qwen_thinking,False,snap_email_eu,delta_ProfileAE_vs_baseline,0.0018375774851639352,0.001835880170992181,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,delta_ProfileAE_vs_baseline,0.0001564556798906218,0.0001565659398634103,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,delta_ProfileAE_vs_baseline,0.0003700295757465313,0.0003095389571646523,5,15,15
real,R,qwen_thinking,False,sp_hospital,delta_ProfileAE_vs_baseline,-0.0007576581604071227,0.0011514718955493465,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,plugin_AE2_all,0.005840930126802024,0.001539859254209723,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,plugin_AE2_all,0.0056808479219702555,0.0032459681847508337,5,15,15
real,R,qwen_thinking,False,snap_email_eu,plugin_AE2_all,0.022097390603300692,0.005854459597495738,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,plugin_AE2_all,0.0045310085670798,0.0012406846214680924,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,plugin_AE2_all,0.02486704458136163,0.008164288779919903,5,15,15
