stratum,budget,h,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
real,0.5,0.6,shared_mle,8,18,0.07078645930487756,0.023871709854228214,0.03529997035541601,0.07078645930487756,4,0.2222222222222222,,,
real,0.5,0.6,extratrees,8,18,0.03659813091494412,0.008347805475805136,0.02675774664974858,0.012776186656974494,,,1.0,,
real,0.5,0.6,qwen_thinking,8,54,0.16072640602370367,0.03227262897150639,0.08221228744760556,0.0771598046394883,,,,54,1.0
real,0.5,0.6,qwen_nonthinking,8,54,0.30633518658279385,0.03751946963820471,0.1502917331805964,-0.03064170772162282,,,,54,1.0
real,0.5,0.6,mechanism_aware_reference,8,18,0.12678762054967851,0.02771903088262906,0.05254104844279474,0.12678762054967851,,,,,
surrogate,0.025,0.4,plugin,8,24,0.19094947138232032,0.05837109286468237,0.25002871947171557,-0.19094947138232032,,,,,
surrogate,0.025,0.4,shared_mle,8,24,0.1484913869201202,0.03864232111590683,0.12624082113437557,0.09794267927033778,0,0.0,,,
surrogate,0.025,0.4,extratrees,8,24,0.09412202931206834,0.04396032266082888,0.08820300634086513,-0.07582527566990342,,,1.0,,
surrogate,0.025,0.4,mechanism_aware_reference,8,24,0.17405479068078875,0.043631644249559176,0.14999039316737361,0.13862547746574327,,,,,
surrogate,0.025,0.6,plugin,8,24,0.09853398304094871,0.02979149844376629,0.17283527256086756,-0.09793712214419409,,,,,
surrogate,0.025,0.6,shared_mle,8,24,0.06542921040113041,0.015764068432895274,0.06162232826230102,0.03493162851770788,1,0.041666666666666664,,,
surrogate,0.025,0.6,extratrees,8,24,0.06686259027033464,0.017451712984500177,0.07849451652441522,-0.06356450356275914,,,1.0,,
surrogate,0.025,0.6,qwen_thinking,8,72,0.17814220398026415,0.022510239574960803,0.1867626983763204,-0.00148236141979813,,,,72,1.0
surrogate,0.025,0.6,qwen_nonthinking,8,72,0.3082996563995647,0.07186595409762585,0.24543272040420455,-0.21026043500741565,,,,72,1.0
