stratum,budget,h,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
synthetic,0.4,0.6,mechanism_aware_reference,8,24,0.08951421983534277,0.030968869675381594,0.07194629017021302,0.08859915265381559,,,,,
synthetic,0.5,0.4,plugin,8,8,0.18330784669583067,0.051552576052532745,0.19561909322953225,-0.18330784669583067,,,,,
synthetic,0.5,0.4,shared_mle,8,8,0.07829471821807413,0.029075793561772888,0.0787384479512166,0.05764859114342321,0,0.0,,,
synthetic,0.5,0.4,extratrees,8,8,0.03676385921940806,0.017239039117827717,0.01606517444588073,-0.02550377477234551,,,1.0,,
synthetic,0.5,0.4,mechanism_aware_reference,8,8,0.0969173117476799,0.031722836185564394,0.09337045729007651,0.09302174628553009,,,,,
synthetic,0.5,0.6,plugin,8,24,0.09226048528357927,0.024532965183000126,0.12159230528023868,-0.09226048528357927,,,,,
synthetic,0.5,0.6,shared_mle,8,24,0.020748465747941584,0.005423182075276647,0.032934477438755785,0.019634878814641966,4,0.16666666666666666,,,
synthetic,0.5,0.6,extratrees,8,24,0.011187839801798771,0.0034364479353107863,0.008901917144782981,-0.002678345889035305,,,1.0,,
synthetic,0.5,0.6,qwen_thinking,8,72,0.17941563562628227,0.025650283567205494,0.14112970747014986,0.05996472418054168,,,,72,1.0
synthetic,0.5,0.6,qwen_nonthinking,8,72,0.246566284693622,0.04356692101013449,0.1841082477672017,-0.1491444814674372,,,,72,1.0
synthetic,0.5,0.6,mechanism_aware_reference,8,24,0.08801844825357291,0.03130812474373807,0.07119680541332632,0.08745714557823371,,,,,
