stratum_group,cap,budget_fraction,graphs,dyad_coverage,dyad_coverage_between_graph_se,saturated,saturated_between_graph_se,target_unreachable,target_unreachable_between_graph_se,expected_plugin_bias_2,expected_plugin_bias_2_between_graph_se,expected_midpoint_bias_2,expected_midpoint_bias_2_between_graph_se,sd_plugin_2,sd_plugin_2_between_graph_se,share_J_lt_K,share_J_lt_K_between_graph_se,MAE2_plugin_mc,MAE2_plugin_mc_between_graph_se,MAE2_midpoint_mc,MAE2_midpoint_mc_between_graph_se,coverage_truth_2_mc,coverage_truth_2_mc_between_graph_se,width_2_mc,width_2_mc_between_graph_se
real,5,0.01,6,0.0589395490484018,0.015152046377722663,0.0,0.0,0.0,0.0,-0.1386151411139647,0.04248888174467918,-0.025151966472088626,0.013859543933469753,0.01709794282314193,0.005508600131606587,0.1977077022086633,0.055311892755402305,0.13946901529335784,0.042649648311499776,0.03863388279933349,0.008000281781714956,0.9833333333333334,0.016666666666666663,0.22790809032829729,0.06757762860432034
real,5,0.02,6,0.11786249549795119,0.03028144593997664,0.0,0.0,0.0,0.0,-0.1386151411139647,0.04248888174467918,-0.025151966472088626,0.013859543933469753,0.011662007964909479,0.0037346558227418186,0.1977077022086633,0.055311892755402305,0.13908895071375738,0.04214604002999491,0.03470348890113104,0.008681276194210354,0.9916666666666667,0.008333333333333342,0.22890735686997352,0.0686768407984582
real,5,0.05,6,0.29467281956505764,0.07571471366757523,0.0,0.0,0.0,0.0,-0.1386151411139647,0.04248888174467918,-0.025151966472088626,0.013859543933469753,0.006478922106242418,0.0020401309890777765,0.1977077022086633,0.055311892755402305,0.13886579506165647,0.0428154898090911,0.035146440236068784,0.008686696857097265,1.0,0.0,0.2266617279045954,0.06846683530476722
real,5,0.1,6,0.5876857978382749,0.150505360880282,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16666666666666669,-0.1386151411139647,0.04248888174467918,-0.025151966472088626,0.013859543933469753,0.002923081711968581,0.001153110274664446,0.1977077022086633,0.055311892755402305,0.13789089989288558,0.04267804812247087,0.03508294935873357,0.0088280962954485,1.0,0.0,0.22648962722293486,0.06792573981862396
real,5,0.2,6,0.7611105560660314,0.15163331448841597,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.1386151411139647,0.04248888174467918,-0.025151966472088626,0.013859543933469753,0.0007280266903675449,0.0005376154164349851,0.1977077022086633,0.055311892755402305,0.13860699826788372,0.04249129958666393,0.03454376540662209,0.008981840143043289,1.0,0.0,0.22704973208933313,0.06822866603173038
real,5,0.3,6,0.8083329440611365,0.12274620460680295,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.1386151411139647,0.04248888174467918,-0.025151966472088626,0.013859543933469753,0.0005230982756887888,0.00038146074204154087,0.1977077022086633,0.055311892755402305,0.13882408593808115,0.042375914686512355,0.034235281673437305,0.009072699721571376,1.0,0.0,0.2268669399633584,0.06830415455477264
real,5,0.5,6,0.9027768334605014,0.0693875882219745,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.1386151411139647,0.04248888174467918,-0.025151966472088626,0.013859543933469753,0.0002581417791348847,0.00017627993017975635,0.1977077022086633,0.055311892755402305,0.13862847307410922,0.04248279015151031,0.03446098600977865,0.00899302355741316,1.0,0.0,0.22692712290809725,0.06827693476332619
synthetic,full,0.01,8,0.01001520847609574,4.452980018417149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07490317170981783,0.011972218134503346,0.0,0.0,0.05812050745121765,0.01090444541779719,0.05812050745121765,0.01090444541779719,0.0,0.0,0.0,0.0
synthetic,full,0.02,8,0.019994468258499442,5.604409293757927e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05274652952247513,0.008426047191668763,0.0,0.0,0.04128259509460022,0.006710614209250107,0.04128259509460022,0.006710614209250107,0.0,0.0,0.0,0.0
synthetic,full,0.05,8,0.05007779423182228,4.0538901073063234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03280264084486709,0.005233662787071691,0.0,0.0,0.024298374741199433,0.003964542988642283,0.024298374741199433,0.003964542988642283,0.0,0.0,0.0,0.0
