source_family,arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
snap_collegemsg,B,extratrees,1,3,0.010070739816920174,nan,0.019946825061145024,0.0029343926370682303,,,1.0,,
snap_collegemsg,B,qwen_thinking,1,9,0.12110979663038836,nan,0.03707129593593882,0.008645948419474359,,,,0,
snap_collegemsg,B,qwen_nonthinking,1,9,0.1635499526264232,nan,0.08820761028408088,0.07151709302885773,,,,0,
snap_email_eu,R,plugin,1,3,0.028272255855620414,nan,0.01712540690458284,0.01826862775633366,,,,,
snap_email_eu,R,shared_mle,1,3,0.031941704753294976,nan,0.019792405955135327,0.030369957770721417,0,0.0,,,
snap_email_eu,R,extratrees,1,3,0.021266014515330407,nan,0.012571956817717347,0.009816595037783185,,,1.0,,
snap_email_eu,R,qwen_thinking,1,9,0.0217898083222665,nan,0.013891411797255424,-0.012347424966799525,,,,0,
snap_email_eu,R,qwen_nonthinking,1,9,0.4157173528109783,nan,0.32222104637007526,0.4157173528109783,,,,0,
snap_email_eu,S1,plugin,1,3,0.0473833616283611,nan,0.028713379537031913,0.0473833616283611,,,,,
snap_email_eu,S1,shared_mle,1,3,0.05959625402843197,nan,0.02715469815210242,0.05959625402843197,0,0.0,,,
snap_email_eu,S1,extratrees,1,3,0.015809746200107888,nan,0.010572131211965055,0.005743324380153754,,,1.0,,
snap_email_eu,S1,qwen_thinking,1,9,0.05382690836653381,nan,0.03690074081451969,0.05382690836653381,,,,0,
snap_email_eu,S1,qwen_nonthinking,1,9,0.368495130588756,nan,0.3257967435812307,0.368495130588756,,,,0,
snap_email_eu,H,plugin,1,3,0.1243534760665883,nan,0.13430383448582725,-0.1243534760665883,,,,,
snap_email_eu,H,shared_mle,1,3,0.06320168602434055,nan,0.04571034624789962,0.06320168602434055,0,0.0,,,
snap_email_eu,H,extratrees,1,3,0.05839541497905476,nan,0.07424595717264737,-0.05839541497905476,,,1.0,,
snap_email_eu,H,qwen_thinking,1,9,0.1346210712704737,nan,0.13441090349712262,-0.06744931385568839,,,,0,
snap_email_eu,H,qwen_nonthinking,1,9,0.2927678176184152,nan,0.31655504371403276,0.2803840194776449,,,,0,
snap_email_eu,B,plugin,1,3,0.2411914560450453,nan,0.155696340916702,-0.2411914560450453,,,,,
snap_email_eu,B,shared_mle,1,3,0.07756816384765282,nan,0.06706780706759634,-0.07756816384765282,0,0.0,,,
snap_email_eu,B,extratrees,1,3,0.06136975811902692,nan,0.04762693734633494,-0.06136975811902692,,,1.0,,
snap_email_eu,B,qwen_thinking,1,9,0.29359345462594066,nan,0.22330209052678177,0.00482690836653381,,,,0,
snap_email_eu,B,qwen_nonthinking,1,9,0.4654729083665338,nan,0.5553682685922976,0.4654729083665338,,,,0,
snap_mathoverflow,R,plugin,1,3,0.00535051365697851,nan,0.002590271581399179,-0.0034871676820408723,,,,,
snap_mathoverflow,R,shared_mle,1,3,0.009359202280313098,nan,0.006322902199296033,0.009359202280313098,0,0.0,,,
snap_mathoverflow,R,extratrees,1,3,0.003944094268765362,nan,0.002064783181527828,0.0014271437525687953,,,1.0,,
snap_mathoverflow,R,qwen_thinking,1,9,0.007876738885153145,nan,0.0035565913991306075,-0.007876738885153145,,,,0,
snap_mathoverflow,R,qwen_nonthinking,1,9,0.7683938342926246,nan,0.4964277676706421,0.7683938342926246,,,,0,
snap_mathoverflow,S1,plugin,1,3,0.1737324979148999,nan,0.06724256851954581,0.11747653559146448,,,,,
snap_mathoverflow,S1,shared_mle,1,3,0.184392526783579,nan,0.06829508381911913,0.12814608999770305,0,0.0,,,
snap_mathoverflow,S1,extratrees,1,3,0.29034110035481914,nan,0.1453226419944824,0.29034110035481914,,,1.0,,
snap_mathoverflow,S1,qwen_thinking,1,9,0.2212438898481802,nan,0.08844932044841994,0.2212438898481802,,,,0,
snap_mathoverflow,S1,qwen_nonthinking,1,9,0.7331716120704024,nan,0.5021777676706422,0.7331716120704024,,,,0,
