stratum,budget,arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
real,0.3,H,shared_mle,8,22,0.08904946393552661,0.022111793949061292,0.0443088383817674,0.08759037953763846,4,0.18181818181818182,,,
real,0.3,H,extratrees,8,22,0.04135618570705164,0.009073580062913462,0.030320225045080355,0.018527237687650033,,,1.0,,
real,0.3,H,qwen_thinking,8,66,0.19689020935687934,0.03238510760126775,0.09623069006087116,0.10934530459782164,,,,66,1.0
real,0.3,H,qwen_nonthinking,8,66,0.24654800418558714,0.02386950520490716,0.13263900045159305,0.018115236722821636,,,,66,1.0
real,0.3,B,plugin,8,24,0.07961680790919765,0.020399600407667525,0.04243050914726926,-0.07961680790919765,,,,,
real,0.3,B,shared_mle,8,24,0.04928820513323284,0.01580668835830554,0.032215343395704386,-0.02523394705094583,2,0.08333333333333333,,,
real,0.3,B,extratrees,8,24,0.045883728617108446,0.006289472750353551,0.033011412604543586,0.005256643959883907,,,1.0,,
real,0.3,B,qwen_thinking,8,72,0.14479913779847473,0.013625354197285727,0.08729007020472883,0.02769506780476608,,,,72,1.0
real,0.3,B,qwen_nonthinking,8,72,0.534047181167266,0.050323625218091896,0.46978329180908307,0.534047181167266,,,,72,1.0
real,0.4,R,plugin,8,24,0.012906886574695603,0.0063907955828140265,0.00829653364514165,-0.003825178633192959,,,,,
real,0.4,R,shared_mle,8,24,0.021745971813273215,0.0072691743535415665,0.013842593447181601,0.010885987476747325,1,0.041666666666666664,,,
real,0.4,R,extratrees,8,24,0.023455222991325124,0.008498300280535904,0.013523070651584701,0.005773259016710509,,,0.875,,
real,0.4,R,qwen_thinking,8,72,0.008456040460054215,0.0026448265250875462,0.006040189850196889,0.00010657745615496781,,,,72,1.0
real,0.4,R,qwen_nonthinking,8,72,0.435186347736072,0.06028907960397016,0.3676603130037604,0.434923570056155,,,,72,1.0
real,0.4,S1,plugin,8,24,0.03564012500031066,0.011343764060211974,0.01716996270432922,0.034953615927371326,,,,,
real,0.4,S1,shared_mle,8,24,0.06044139467763109,0.01546548304026762,0.025389729701650106,0.06044139467763109,4,0.16666666666666666,,,
real,0.4,S1,extratrees,8,24,0.031089456765182613,0.009004997247035055,0.017305804803375444,0.020751377522065476,,,1.0,,
real,0.4,S1,qwen_thinking,8,72,0.03832839962259165,0.011109961556941814,0.017806180382385264,0.03451514607633369,,,,72,1.0
real,0.4,S1,qwen_nonthinking,8,72,0.4492544948803352,0.05889338595070293,0.40598521184501957,0.43916384783393275,,,,72,1.0
real,0.4,H,plugin,8,22,0.07062939215534395,0.017333176157902825,0.05949303724053959,-0.06580857077105508,,,,,
real,0.4,H,shared_mle,8,22,0.06344845495124443,0.011449542412128866,0.03201336976893014,0.06342307984782952,5,0.22727272727272727,,,
real,0.4,H,extratrees,8,22,0.03838598291469164,0.008196497357371848,0.02688037917072937,0.012124957528027341,,,1.0,,
real,0.4,H,qwen_thinking,8,66,0.1853988578639671,0.02456260285093651,0.09069999810349567,0.10410291207088093,,,,66,1.0
real,0.4,H,qwen_nonthinking,8,66,0.23513011989857738,0.043089869704795475,0.14678308949374927,0.046645792278377195,,,,66,1.0
real,0.4,B,plugin,8,24,0.06347858004604562,0.016906743566090423,0.03280037687879666,-0.06347858004604562,,,,,
real,0.4,B,shared_mle,8,24,0.040723790669121684,0.016146995436823453,0.02755417174741934,-0.02262015603049797,3,0.125,,,
real,0.4,B,extratrees,8,24,0.04213782882557417,0.005566479252043303,0.029090625461731655,0.0007097044898065064,,,1.0,,
real,0.4,B,qwen_thinking,8,72,0.17721383989047848,0.033416617009005875,0.11581063301250848,0.08115788302663438,,,,72,1.0
real,0.4,B,qwen_nonthinking,8,72,0.5671777367228217,0.05726736051452716,0.45528526585733453,0.5671777367228217,,,,72,1.0
real,0.5,R,plugin,8,24,0.0068055514614339735,0.0028015554210467633,0.004085013268751873,0.0017666865445359057,,,,,
real,0.5,R,shared_mle,8,24,0.012841521738699877,0.003282952782328036,0.00844526605881665,0.011736675651519398,1,0.041666666666666664,,,
real,0.5,R,extratrees,8,24,0.01815420873858572,0.007209638392827913,0.01102073858976807,0.010986022666974422,,,0.875,,
real,0.5,R,qwen_thinking,8,72,0.006073686000216416,0.002135634200525331,0.005228335688375121,0.0021450688706275245,,,,72,1.0
real,0.5,R,qwen_nonthinking,8,72,0.4483591255627801,0.04143207494324705,0.35414221766895304,0.44818884783393276,,,,72,1.0
real,0.5,S1,plugin,8,24,0.031869972827656565,0.009490667652654543,0.014534774994130925,0.031869972827656565,,,,,
real,0.5,S1,shared_mle,8,24,0.0612669115411383,0.017138088784294497,0.025138739524807267,0.0612669115411383,4,0.16666666666666666,,,
real,0.5,S1,extratrees,8,24,0.029597016742059896,0.006926513152836949,0.01627385005933879,0.01803620213922959,,,1.0,,
real,0.5,S1,qwen_thinking,8,72,0.03124493592610857,0.009746858922485665,0.014115008617261685,0.030452646301398028,,,,72,1.0
real,0.5,S1,qwen_nonthinking,8,72,0.41849315321823194,0.055287421439589673,0.34279967786000987,0.4179527367228216,,,,72,1.0
real,0.5,H,plugin,8,18,0.07048631558978276,0.017307177207093502,0.059292414269692575,-0.06566549420549389,,,,,
