graph_id,stratum,components,largest_node_share,largest_cell_share,expected_ceiling_cells,target_cells,L,validated_coverage,budget_matched,truth,component_target,selection_target,selection_effect_rho2,component_effect_rho2
copenhagen_bluetooth__pwt,surrogate,1,1.0,1.0,247592.0,24759.2,8197,0.09999529136517941,True,"[0.7147617251351691, 0.572073431409531, 0.467534263799824, 0.3588205708537659]","[0.7147617251351691, 0.572073431409531, 0.467534263799824, 0.3588205708537659]","[0.7456765251348987, 0.6041097518286275, 0.49546607207845705, 0.38062723036176466]",0.03091479999972957,0.0
sp_workplace__pwt,surrogate,1,1.0,1.0,10265.0,1026.5,463,0.09997650161349245,True,"[0.6321946654188114, 0.4473561066916238, 0.3221806270472625, 0.0]","[0.6321946654188114, 0.4473561066916238, 0.3221806270472625, 0.0]","[0.6400576342018026, 0.452182353051481, 0.3264497845959885, 0.0]",0.007862968782991198,0.0
snap_email_eu__pwt,surrogate,1,1.0,1.0,41383.0,4138.3,1716,0.0997651464293913,True,"[0.6871887450199203, 0.4856200199203187, 0.3252614541832669, 0.07806274900398406]","[0.6871887450199203, 0.4856200199203187, 0.3252614541832669, 0.07806274900398406]","[0.7455391425606471, 0.5550951318558377, 0.3812310049592788, 0.09199374930072554]",0.058350397540726795,0.0
snap_collegemsg__pwt,surrogate,4,0.9968404423380727,0.9998812633578722,25183.18325434439,2526.6000000000004,1541,0.10051922544130452,True,"[0.5098280098280098, 0.21701112877583467, 0.07754010695187166, 0.021462639109697933]","[0.5083273813296062, 0.2163723779068473, 0.07731187528939298, 0.02139946594683105]","[0.5878259524860809, 0.29144656489097526, 0.10961998093779661, 0.032898022460713904]",0.07799794265807114,-0.0015006284984036
snap_mathoverflow__pwt,surrogate,45,0.9963245688436528,0.9997998778915949,293677.6312452039,29482.0,18261,0.10028596301874873,True,"[0.35078676071622356, 0.13837732597108296, 0.05772238358175609, 0.021421808006979244]","[0.350264167343763, 0.13805416278112367, 0.05760008854638105, 0.021348411126660194]","[0.6012484575170867, 0.381277444731201, 0.2370585234359572, 0.12660313970625717]",0.2504616968008631,-0.000522593372460578
nr_digg_reply__pwt,surrogate,335,0.9766798418972332,0.9956472655749916,83554.01212121222,8592.300000000001,14352,0.09981153410975524,True,"[0.00814984440138571, 0.0006928542070342317, 0.00015266279138042394, 2.348658328929599e-05]","[0.007994902280896426, 0.0006796818941972465, 0.000149760417365495, 2.3040064210076153e-05]","[0.03910342264161469, 0.006579050647325445, 0.0010014739112089986, 1.0023031024548609e-05]",0.03095357824022898,-0.0001549421204892834
dar_a0_r1,synthetic,1,1.0,1.0,4963.0,496.3,384,0.09975085161444691,True,"[0.38645180543121455, 0.08296031035511787, 0.011339898537749925, 0.0002984183825723665]","[0.38645180543121455, 0.08296031035511787, 0.011339898537749925, 0.0002984183825723665]","[0.3848067873118918, 0.08498391590899837, 0.012127055593366258, 0.0003664729595309146]",-0.001645018119322772,0.0
dar_a08_r1,synthetic,1,1.0,1.0,4983.0,498.3,208,0.10009638238761791,True,"[0.784472049689441, 0.5937888198757764, 0.41677018633540375, 0.3]","[0.784472049689441, 0.5937888198757764, 0.41677018633540375, 0.3]","[0.7793768936898959, 0.5844969920519913, 0.4086527905853423, 0.29820401352478815]",-0.00509515599954502,0.0
dar_a0_r2,synthetic,1,1.0,1.0,4945.0,494.5,382,0.10017240425935288,True,"[0.3960725075528701, 0.086404833836858, 0.011178247734138972, 0.00030211480362537764]","[0.3960725075528701, 0.086404833836858, 0.011178247734138972, 0.00030211480362537764]","[0.3945816827643507, 0.08747051230693907, 0.012090325069360988, 0.0003560778029999555]",-0.0014908247885194181,0.0
dar_a08_r2,synthetic,1,1.0,1.0,4898.0,489.8,200,0.0997660875612495,True,"[0.7784200385356455, 0.6017983301220295, 0.4489402697495183, 0.3166345536287733]","[0.7784200385356455, 0.6017983301220295, 0.4489402697495183, 0.3166345536287733]","[0.774565344793905, 0.6097138112912678, 0.4538361984762649, 0.31756690759914047]",-0.0038546937417404115,0.0
ad_memoryless_r1,synthetic,1,1.0,1.0,11034.0,1103.4,1136,0.0999908308976799,True,"[0.054890315164287766, 0.002107481559536354, 0.0, 0.0]","[0.054890315164287766, 0.002107481559536354, 0.0, 0.0]","[0.08422078246395776, 0.005053591523526961, 0.0, 0.0]",0.02933046729966999,0.0
ad_memory_r1,synthetic,1,1.0,1.0,5745.0,574.5,248,0.09967957870974761,True,"[0.7963496637848223, 0.5422670509125841, 0.3025936599423631, 0.11815561959654179]","[0.7963496637848223, 0.5422670509125841, 0.3025936599423631, 0.11815561959654179]","[0.7985876193143867, 0.5646290750037707, 0.3339940962271875, 0.15209217642369266]",0.002237955529564406,0.0
ad_memoryless_r2,synthetic,1,1.0,1.0,10622.0,1062.2,1062,0.09994457994021841,True,"[0.06162042621632489, 0.005729794933655006, 0.0004020908725371934, 0.0]","[0.06162042621632489, 0.005729794933655006, 0.0004020908725371934, 0.0]","[0.16103268754737812, 0.028750514549070752, 0.0031601144040204294, 0.0]",0.09941226133105324,0.0
ad_memory_r2,synthetic,1,1.0,1.0,5545.0,554.5,247,0.10033532461677187,True,"[0.7825443786982249, 0.5463510848126233, 0.2953648915187377, 0.10996055226824458]","[0.7825443786982249, 0.5463510848126233, 0.2953648915187377, 0.10996055226824458]","[0.7946083732427004, 0.5750811061331685, 0.3334013815629759, 0.13902253315971838]",0.012063994544475487,0.0
