evidence_block,arm,method,graphs,MAE2,MAE2_se,ProfileMAE,ProfileMAE_se,signed_rho2,signed_rho2_se,worst_graph_AE2,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
surrogate,B,extratrees_real_only,8,0.14864221841042732,0.03202143792136006,0.13417471150036067,0.0338993327815286,-0.11962143127117732,0.04623361436454895,0.2894370796560507,0.030537843442350464,0.0661440386922844,-0.15549194532980642,0.0355146203417898
surrogate,B,mixture,8,0.14282013546907857,0.03495772997180258,0.1425117963628573,0.03350191637224397,-0.05111583046227492,0.05969820274932058,0.3230366093527915,0.024715760501001712,0.03609634896679237,-0.16131402827115518,0.04381376550036948
dar_a0,R,plugin,2,0.026854567357085902,0.004312453919012109,0.010423523666357702,0.0027608003510172577,-0.012839920393483056,0.009702193044590735,0.031167021276098012,0.0,0.0,,
dar_a0,R,corrector,2,0.026854567357085902,0.004312453919012109,0.010423523666357702,0.0027608003510172577,-0.012839920393483056,0.009702193044590735,0.031167021276098012,,,0.0,0.0
dar_a0,R,median,2,0.03677670046381365,0.004810351060827777,0.03508417697610491,0.0007917666278091719,-0.03677670046381365,0.004810351060827777,0.04158705152464143,0.009922133106727748,0.0004978971418156674,0.009922133106727748,0.0004978971418156674
dar_a0,R,extratrees_pooled,2,0.02955889455628684,0.0022680916099869115,0.014574512042244081,0.0019117041773535964,-0.019383683971332177,0.007907118974967754,0.03182698616627375,0.00270432719920094,0.0020443623090251983,0.00270432719920094,0.0020443623090251983
dar_a0,R,extratrees_real_only,2,0.010676969150135282,0.004874387422434816,0.03553682832628821,0.0023751932799891367,0.0014858378633117175,0.001026366824458937,0.0155513565725701,-0.016177598206950618,0.000561933503422706,-0.016177598206950618,0.000561933503422706
dar_a0,S,plugin,2,0.020121017610473847,0.006444071917488812,0.007935372598502096,0.0006724465743271897,-0.008903585380599646,0.007900318706419282,0.02656508952796266,-0.004278625208688037,0.002675617156522359,,
dar_a0,S,corrector,2,0.024399642819161883,0.00911968907401117,0.009171230028595687,0.0014793796481122458,-0.012098238286237573,0.011063099521689712,0.033519331893173056,,,0.004278625208688037,0.002675617156522359
dar_a0,S,median,2,0.03677670046381365,0.004810351060827777,0.03508417697610491,0.0007917666278091719,-0.03677670046381365,0.004810351060827777,0.04158705152464143,0.012377057644651766,0.004309338013183395,0.016655682853339803,0.0016337208566610355
dar_a0,S,extratrees_pooled,2,0.021361275717595263,0.008982085469867182,0.013134891434389312,0.0010835347794091585,-0.015966310951873057,0.008476464680267073,0.030343361187462448,-0.00303836710156662,0.00013760360414398834,0.001240258107121417,0.002538013552378371
dar_a0,S,extratrees_real_only,2,0.009503657552204059,0.0012149792709715277,0.03545402310564566,0.0020842798829208663,0.001214979270971528,0.009503657552204059,0.010718636823175587,-0.014895985266957824,0.010334668344982699,-0.010617360058269788,0.007659051188460339
dar_a0,H,plugin,2,0.16930231448324645,0.005851068868935132,0.06214182376276732,0.002615937989875343,-0.16930231448324645,0.005851068868935132,0.17515338335218159,0.15185987531316927,0.014255588949006302,,
dar_a0,H,corrector,2,0.01744243917007718,0.00840452008007117,0.007065141008937842,0.003239312670368529,0.012569650225953327,0.010308353465025259,0.02584695925014835,,,-0.15185987531316927,0.014255588949006302
dar_a0,H,median,2,0.03677670046381365,0.004810351060827777,0.03508417697610491,0.0007917666278091719,-0.03677670046381365,0.004810351060827777,0.04158705152464143,0.01933426129373647,0.013214871140898948,-0.1325256140194328,0.0010407178081073554
dar_a0,H,extratrees_pooled,2,0.03936110756443203,0.012167620744334142,0.01594648550540735,0.0019066636747412918,-0.03749230370223715,0.014036424606529022,0.05152872830876617,0.02191866839435485,0.02057214082440531,-0.12994120691881442,0.006316551875399007
dar_a0,H,extratrees_real_only,2,0.0882097829961922,0.00827847018913768,0.035146154905238286,0.0007344848646395931,-0.0882097829961922,0.00827847018913768,0.09648825318532987,0.07076734382611502,0.016682990269208848,-0.08109253148705425,0.0024274013202025477
