observation,graph_id,status,status_widened,nll,nll_widened,nll_improvement,max_profile_shift,kappa,kappa_widened
copenhagen_bluetooth__B-p888-20260921__s3,copenhagen_bluetooth,boundary_other,boundary_other,15893.235870159504,15893.233215492237,0.002654667267051991,1.6056277103437822e-06,1.817820063934991,1.8177961701355996
copenhagen_bluetooth__pwt__B-p888-20260921__s1,copenhagen_bluetooth__pwt,boundary_other,boundary_other,29631.111577257594,29631.108448585095,0.0031286724988603964,1.3993827792102564e-06,1.035604253759635,1.0355956844782377
copenhagen_bluetooth__pwt__B-p888-20260921__s2,copenhagen_bluetooth__pwt,boundary_other,starts_disagree,29955.55804294529,29955.55479252075,0.0032504245391464792,1.4148143836767435e-06,1.0252003820848024,1.0251823880146889
copenhagen_bluetooth__pwt__B-p888-20260921__s3,copenhagen_bluetooth__pwt,boundary_other,boundary_other,29752.902888764693,29752.89954317401,0.003345590681419708,9.852039686286673e-07,1.0225104905615616,1.0224999598489184
dar_a08_r1__B-p888-20260921__s1,dar_a08_r1,weakly_identified,weakly_identified,238.62052278188472,238.62052278170086,1.8386003830528352e-10,1.2013837322744081e-05,4.765112712381215,4.765905819417332
dar_a08_r1__B-p888-20260921__s2,dar_a08_r1,weakly_identified,weakly_identified,255.13200148686542,255.13200063177777,8.550876486879133e-07,0.0001020324643692394,0.019764448360607038,0.019483928925066167
dar_a08_r1__B-p888-20260921__s3,dar_a08_r1,weakly_identified,converged,260.46568571233655,260.4656810437825,4.668554026920901e-06,0.00047519331369633155,0.20168133228335802,0.20132596461761462
dar_a08_r2__B-p888-20260921__s1,dar_a08_r2,weakly_identified,weakly_identified,260.1886591593583,260.1886587820924,3.7726590562670026e-07,1.11803391400489e-06,193164.47431457194,247079.9708760726
dar_a08_r2__B-p888-20260921__s2,dar_a08_r2,boundary_homogeneous,weakly_identified,283.15631249711174,283.1563139770608,-1.4799490486439026e-06,7.834009051188584e-05,999999.9999999995,212343.35206607822
dar_a08_r2__B-p888-20260921__s3,dar_a08_r2,weakly_identified,weakly_identified,252.28407681502367,252.28407578267823,1.0323454375793517e-06,9.89144111229745e-06,128017.16595501895,274995.1539138308
dar_a0_r1__B-p888-20260921__s1,dar_a0_r1,weakly_identified,weakly_identified,189.67731235612683,189.6773039080814,8.448045434761298e-06,4.659784427951674e-05,2.497108163282876,2.497519399143843
dar_a0_r1__B-p888-20260921__s2,dar_a0_r1,weakly_identified,weakly_identified,174.8072994534242,174.80729731656362,2.136860587143019e-06,7.662285235243704e-06,990423.1923003758,97255390.29150793
dar_a0_r1__B-p888-20260921__s3,dar_a0_r1,weakly_identified,weakly_identified,166.50673044914475,166.50673015175454,2.9739021556451917e-07,1.5915766718610502e-05,456048.7675589053,524673.81804685
dar_a0_r2__B-p888-20260921__s1,dar_a0_r2,boundary_other,converged,137.31751979900906,137.3175261371329,-6.338123824889408e-06,9.107796211554886e-05,2.4277665200448486,2.4289977544899437
dar_a0_r2__B-p888-20260921__s2,dar_a0_r2,boundary_homogeneous,weakly_identified,164.85779320626187,164.85779124550737,1.9607545027611195e-06,2.0421541576443047e-05,999999.9205842683,17695345.207334556
dar_a0_r2__B-p888-20260921__s3,dar_a0_r2,weakly_identified,weakly_identified,153.83671241406483,153.83671243520266,-2.11378221592895e-08,1.295273299056765e-05,2.224512521811764,2.2246584829838323
nr_digg_reply__B-p888-20260921__s1,nr_digg_reply,starts_disagree,starts_disagree,194.53404592353746,194.53404522174418,7.017932830422069e-07,8.02966032274516e-09,997687.7185945929,99998754.66811295
nr_digg_reply__B-p888-20260921__s2,nr_digg_reply,starts_disagree,starts_disagree,112.86808020570828,112.8680797099264,4.957818759976362e-07,1.307800198344089e-08,999887.09889615,99955813.36659862
nr_digg_reply__B-p888-20260921__s3,nr_digg_reply,starts_disagree,starts_disagree,85.0806995936339,85.0806992328326,3.608012946187955e-07,1.2609908235346537e-07,999148.5694241594,99976873.91959271
nr_digg_reply__pwt__B-p888-20260921__s1,nr_digg_reply__pwt,boundary_other,starts_disagree,203.1187747304037,203.11793636254822,0.0008383678554650942,5.666221263612992e-07,67.58033403048516,67.55862021147964
nr_digg_reply__pwt__B-p888-20260921__s2,nr_digg_reply__pwt,starts_disagree,starts_disagree,115.75170529521301,115.75170410865182,1.1865611924122277e-06,3.3265792174531905e-07,997382.0116767521,99801382.80153756
nr_digg_reply__pwt__B-p888-20260921__s3,nr_digg_reply__pwt,boundary_other,starts_disagree,95.51373822869199,95.51425192814827,-0.0005136994562775499,2.56176335974561e-05,189.47438930838254,189.18750314232813
snap_collegemsg__B-p888-20260921__s1,snap_collegemsg,weakly_identified,weakly_identified,801.95282206873,801.9527430324952,7.903623486527067e-05,3.168405474082703e-06,16.798615674092627,16.791648817250262
snap_collegemsg__B-p888-20260921__s2,snap_collegemsg,converged,starts_disagree,816.0154631019543,816.0154413513396,2.17506146782398e-05,5.239111365254456e-06,13.506601252444728,13.505467363820783
snap_collegemsg__B-p888-20260921__s3,snap_collegemsg,boundary_other,starts_disagree,729.7566115993561,729.7564718474846,0.00013975187152936996,4.6618338337967025e-06,18.897706096621878,18.89663890740785
snap_collegemsg__pwt__B-p888-20260921__s1,snap_collegemsg__pwt,boundary_other,boundary_other,1864.9915644115083,1864.9914798050168,8.460649155495048e-05,9.26891060382129e-06,2.04327437837006,2.0433236982150977
snap_collegemsg__pwt__B-p888-20260921__s2,snap_collegemsg__pwt,boundary_other,converged,1811.9075852518217,1811.9075529459224,3.230589936720207e-05,6.993789263470829e-05,2.456725962091267,2.455811805930939
snap_collegemsg__pwt__B-p888-20260921__s3,snap_collegemsg__pwt,boundary_other,converged,1716.8920700949634,1716.8920992134385,-2.911847514042165e-05,0.00013065785448634903,2.257198963867142,2.2586678748019433
snap_email_eu__B-p888-20260921__s1,snap_email_eu,boundary_other,boundary_other,3668.9906617939178,3668.99021351809,0.0004482758276935783,1.3229088787203303e-06,1.8751946725194077,1.8751666376748322
snap_email_eu__B-p888-20260921__s2,snap_email_eu,boundary_other,starts_disagree,3466.3416717803375,3466.3415004076237,0.00017137271379397134,1.8773595551468958e-06,2.1434677182790023,2.1434431085030408
snap_email_eu__B-p888-20260921__s3,snap_email_eu,boundary_other,boundary_other,3706.0247627527306,3706.0244036822733,0.00035907045730709797,1.2626467575382883e-06,1.9391815623416009,1.93915116421584
snap_email_eu__pwt__B-p888-20260921__s1,snap_email_eu__pwt,boundary_other,converged,4920.289214406541,4920.288801315157,0.00041309138396172784,1.5790762283307558e-06,1.3087351418624742,1.3087225605681865
snap_email_eu__pwt__B-p888-20260921__s2,snap_email_eu__pwt,boundary_other,boundary_other,4777.619623244974,4777.619369758901,0.0002534860732339439,1.5569505946166906e-06,1.375357491348417,1.3753434071540172
snap_email_eu__pwt__B-p888-20260921__s3,snap_email_eu__pwt,boundary_other,boundary_other,4849.545696513049,4849.545222907662,0.00047360538701468613,1.1828121760371069e-06,1.4232596910035864,1.4232419147343598
snap_mathoverflow__B-p888-20260921__s1,snap_mathoverflow,boundary_other,starts_disagree,8021.621433703508,8021.6201338280625,0.0012998754455111339,2.2047330068108995e-05,8.104394147071256,8.105258093287134
snap_mathoverflow__B-p888-20260921__s2,snap_mathoverflow,boundary_other,converged,7868.878004942668,7868.876934238848,0.001070703820005292,3.6475166514948754e-06,8.659075315682816,8.658969764672854
snap_mathoverflow__B-p888-20260921__s3,snap_mathoverflow,boundary_other,starts_disagree,8029.783607655756,8029.782718247297,0.0008894084585335804,7.857983952475056e-06,7.433853210186709,7.433079240539823
snap_mathoverflow__pwt__B-p888-20260921__s1,snap_mathoverflow__pwt,boundary_other,starts_disagree,14078.43194759175,14078.432331218573,-0.00038362682425940875,8.366441747564846e-06,1.3593836250303606,1.3594487201636603
snap_mathoverflow__pwt__B-p888-20260921__s2,snap_mathoverflow__pwt,boundary_other,starts_disagree,13885.132702460622,13885.132181597124,0.0005208634975133464,1.4228169841923322e-05,1.403985447462927,1.4038736091283868
snap_mathoverflow__pwt__B-p888-20260921__s3,snap_mathoverflow__pwt,converged,starts_disagree,13733.188222449098,13733.18942035325,-0.0011979041519225575,6.0745095077252564e-05,1.3733698382305237,1.3730252311334081
sp_highschool2013__B-p888-20260921__s1,sp_highschool2013,boundary_other,boundary_other,1263.9070259361379,1263.906744421898,0.00028151423975941725,1.3686512264077244e-06,2.6237187976156737,2.6236679844083204
sp_highschool2013__B-p888-20260921__s2,sp_highschool2013,boundary_other,boundary_other,1264.6468194977633,1264.6464628096037,0.0003566881596270832,1.4988296994089545e-06,2.6203826200608153,2.620333686470881
sp_highschool2013__B-p888-20260921__s3,sp_highschool2013,boundary_other,boundary_other,1273.3156827970488,1273.3153506776612,0.0003321193876217876,1.3946375319595639e-06,2.518861992101038,2.5188151092203177
