dataset,label,true_rho,strategy,budget,seed,coverage,n_obs_edges,rho_mle_uniform,rho_mle_transfer_beta,transfer_beta_used
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,1600,3,0.23461670677208663,1365,0.4734079698957234,0.48369688645133835,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,3200,3,0.41663801993812305,2424,0.4490286935194645,0.45958698775246853,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,400,4,0.06376761773805431,371,0.3889364652340196,0.3997200291736056,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,1600,4,0.2313509797181162,1346,0.426178408013551,0.417795021061665,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,3200,4,0.4126847713991062,2401,0.4053189596801996,0.4110671790217677,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,400,0,0.029907184599518737,174,0.06647621599332265,0.13208847517926314,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,1600,0,0.08800275008594019,512,0.23777345089197388,0.40633290078630036,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,3200,0,0.1330354073564799,774,0.29469035417398837,0.48458572442862213,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,400,1,0.03231350979718116,188,0.21684912423176306,0.4379972914353407,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,1600,1,0.08198693709178412,477,0.2050537943182965,0.35137343103140817,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,3200,1,0.12426950842213819,723,0.2530197498619361,0.41746316981651155,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,400,2,0.03265727053970437,190,0.19224226398818267,0.3821153758123397,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,1600,2,0.08233069783430733,479,0.251019495226975,0.42090232921594883,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,3200,2,0.12770711584737024,743,0.27748827965013867,0.4476076330880202,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,400,3,0.03214162942591956,187,0.11031207674294274,0.23988699177310113,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,1600,3,0.08594018563080097,500,0.28621032079779707,0.48353258334310356,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,3200,3,0.13097284290134067,762,0.30310303727317944,0.4979872813800539,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,400,4,0.028188380886902717,164,0.08043433438890812,0.18176052888962047,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,1600,4,0.08508078377449295,495,0.2389417258796711,0.4086606186254257,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_respecting,3200,4,0.12770711584737024,743,0.29295644414379074,0.48084119960662075,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,400,0,0.2870939420544337,327,0.32276426768432176,0.37298461490866375,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,1600,0,0.7383669885864794,841,0.3512351724003556,0.3675423828178005,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,3200,0,0.9306409130816505,1060,0.3553191631705045,0.3709160317873569,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,400,1,0.2906057945566286,331,0.2761174512021217,0.2704839425720471,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,1600,1,0.7445127304653204,848,0.383936012658303,0.40471829657597735,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,3200,1,0.9297629499561019,1059,0.3683968727861583,0.38409504034008657,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,400,2,0.2932396839332748,334,0.23670881043571557,0.23727489671719348,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,1600,2,0.7471466198419666,851,0.31650583533167,0.33070329826969125,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,3200,2,0.9341527655838455,1064,0.35729002872880955,0.37216666566317125,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,400,3,0.28797190517998245,328,0.4366504451828501,0.4419235276550173,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,1600,3,0.723441615452151,824,0.33757786441345494,0.35388832744313314,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,3200,3,0.922739244951712,1051,0.36161674077454575,0.3765769226514806,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,400,4,0.2932396839332748,334,0.3749614089704586,0.3776474272896304,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,1600,4,0.7401229148375769,843,0.3600257078999408,0.3792446006456258,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_agnostic_t,3200,4,0.9376646180860404,1068,0.3473465445524808,0.36272201841061524,0.5
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,400,0,0.12115891132572432,138,0.26730999820544954,0.4884246034667252,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,1600,0,0.25636523266022826,292,0.2519802224665103,0.41863884269636165,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,3200,0,0.3546971027216857,404,0.29785403128110644,0.4773702465320796,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,400,1,0.1273046532045654,145,0.07496442506415801,0.13633269079315957,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,1600,1,0.2677787532923617,305,0.27423148410033027,0.453659083420184,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,3200,1,0.3748902546093064,427,0.32274059801726573,0.49674889131239164,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,400,2,0.1264266900790167,144,0.20109119896561067,0.3543156006622564,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,1600,2,0.26953467954345917,307,0.25710589145765317,0.44300364444817886,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,3200,2,0.373134328358209,425,0.2876687678103177,0.47562222491791706,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,400,3,0.1299385425812116,148,0.18036926240764428,0.3120379975067714,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,1600,3,0.29411764705882354,335,0.27899598115658775,0.48170108286597946,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,3200,3,0.40122914837576823,457,0.2852827422185189,0.46805275576734395,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,400,4,0.12818261633011413,146,0.09139186437870761,0.15288265275160284,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,1600,4,0.2607550482879719,297,0.18953491537587686,0.3279159193942498,2.0
hospital,Hospital ward (SocioPatterns),0.4451273046532045,time_respecting,3200,4,0.36611062335381916,417,0.27148599932205775,0.4391532461602907,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,400,0,0.1616575591985428,355,0.1845415931730231,0.20135082581817265,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,1600,0,0.5068306010928961,1113,0.23535944920093266,0.24475585539402445,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,3200,0,0.7591074681238615,1667,0.23100848217260095,0.24369732122827914,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,400,1,0.1680327868852459,369,0.11558144987912056,0.12864869178423288,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,1600,1,0.5150273224043715,1131,0.14683938791317197,0.15464081880230185,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,3200,1,0.7581967213114754,1665,0.22526860866158294,0.23740886689749297,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,400,2,0.16438979963570127,361,0.2532584460928977,0.27945027541195355,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,1600,2,0.49681238615664847,1091,0.19419169874111042,0.20547070790959188,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,3200,2,0.7504553734061931,1648,0.21030747658748494,0.22190599734055805,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,400,3,0.16029143897996356,352,0.1834699283910881,0.18254771125004976,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,1600,3,0.5109289617486339,1122,0.19444026278378734,0.20528708461402057,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,3200,3,0.7645719489981785,1679,0.21366053610608848,0.22464057508484347,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,400,4,0.16256830601092895,357,0.1187065367065091,0.12793175695910652,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,1600,4,0.51775956284153,1137,0.23038094900792327,0.2319539319563083,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_agnostic_t,3200,4,0.7586520947176685,1666,0.20745965045987025,0.21866626905007802,0.5
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,400,0,0.07285974499089254,160,0.15986317539657502,0.32609505373592207,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,1600,0,0.1762295081967213,387,0.14081145304729836,0.24688194778214512,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,3200,0,0.24499089253187614,538,0.19306228207374787,0.3108688253595643,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,400,1,0.07832422586520947,172,0.03538019661851688,0.08732780504430815,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,1600,1,0.18214936247723132,400,0.16139002922253598,0.27410690523655046,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,3200,1,0.2522768670309654,554,0.1912353390874938,0.3018464236821653,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,400,2,0.07012750455373407,154,0.10491207726731322,0.20208766114412968,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,1600,2,0.1703096539162113,374,0.21233424736993411,0.36099011053054864,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,3200,2,0.24908925318761385,547,0.20706390733772617,0.34007036581929373,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,400,3,0.075591985428051,166,0.02251643756683097,0.045935204761781256,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,1600,3,0.18214936247723132,400,0.1417557593630565,0.2408664484914772,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,3200,3,0.25318761384335153,556,0.180203296627509,0.2984464244595808,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,400,4,0.06967213114754098,153,0.06736655639546185,0.13089426504514468,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,1600,4,0.17076502732240437,375,0.1389391607463587,0.23505640304313835,2.0
ht2009,Hypertext 2009 conference (SocioPatterns),0.2750455373406193,time_respecting,3200,4,0.23998178506375228,527,0.16232961894267461,0.26527699077577205,2.0
