case_id,family,substrate,n,strategy,band,budget,coverage,n_obs_edges,rho_true,floor_lofo,mle_uniform,mle_transfer_beta,mle_betacal_lofo,oracle_lofo,betacal_lofo_beta
ba1500f0|t0.038|r0|time_respecting|b400,ba1500f0,ba,1500,time_respecting,mid,400,0.0376002673796791,225,0.0381016042780748,0.2946737397532253,0.0256300896263611,0.0699777726437166,0.0699777726437166,0.1593088683824978,2.0
ba1500f1|t0.025|r0|time_respecting|b400,ba1500f1,ba,1500,time_respecting,mid,400,0.0365975935828877,219,0.0265708556149732,0.2974806074497989,6.0285110237146e-14,8.328542667856986e-06,8.328542667856986e-06,0.2733891010716289,2.0
ba1500f1|t0.412|r0|time_respecting|b1600,ba1500f1,ba,1500,time_respecting,mid,1600,0.1358622994652406,813,0.4119318181818182,0.2974806074497989,0.1252247977526877,0.2952738849574353,0.2952738849574353,0.2982032112689265,2.0
ba20000f1|t0.473|r0|time_respecting|b3200,ba20000f1,ba,20000,time_respecting,mid,3200,0.0248924784956991,1991,0.472632026405281,0.285222301608578,0.1620263956469355,0.3859510268555755,0.3859510268555755,0.4605040555456492,2.0
ba8000f0|t0.546|r0|time_respecting|b3200,ba8000f0,ba,8000,time_respecting,mid,3200,0.0604989994997498,1935,0.5463981990995498,0.2899430835506935,0.2686084377790407,0.5995871122936374,0.5995871122936374,0.4672698035642856,2.0
ba8000f1|t0.544|r0|time_respecting|b1600,ba8000f1,ba,8000,time_respecting,mid,1600,0.0316095547773886,1011,0.5444284642321161,0.2832261834339684,0.2266118286308273,0.5372994446336055,0.5372994446336055,0.4616300825761467,2.0
er1500f0|t0.556|r0|time_respecting|b400,er1500f0,er,1500,time_respecting,mid,400,0.0411666666666666,247,0.556,0.2932320351252461,0.1582575093388107,0.3568292131990922,0.3568292131990922,0.3653915834818779,2.0
er1500f1|t0.434|r0|time_respecting|b400,er1500f1,er,1500,time_respecting,mid,400,0.0406666666666666,244,0.4341666666666666,0.2899943808042585,0.1323788458230917,0.2947228147440903,0.2947228147440903,0.3636709722222221,2.0
er20000f1|t0.564|r0|time_respecting|b3200,er20000f1,er,20000,time_respecting,mid,3200,0.025225,2018,0.56385,0.2812963943876601,0.2237436000916437,0.5810355557701675,0.5810355557701675,0.4680391999023894,2.0
er8000f0|t0.533|r0|time_respecting|b3200,er8000f0,er,8000,time_respecting,mid,3200,0.06078125,1945,0.53296875,0.2736311477795671,0.2892105234153062,0.6586458513708772,0.6586458513708772,0.4880309459196654,2.0
ba1500f0|t0.038|r0|time_respecting|b3200,ba1500f0,ba,1500,time_respecting,hi(>.15),3200,0.1993649732620321,1193,0.0381016042780748,0.2379394682115271,0.0136175482412688,0.027501851662157,0.027501851662157,0.0510366844919786,2.0
ba1500f0|t0.293|r0|time_respecting|b3200,ba1500f0,ba,1500,time_respecting,hi(>.15),3200,0.2215909090909091,1326,0.2926136363636363,0.2379394682115271,0.1322042737409153,0.2753500229796567,0.2753500229796567,0.3221915121806301,2.0
ba1500f0|t0.506|r0|time_respecting|b3200,ba1500f0,ba,1500,time_respecting,hi(>.15),3200,0.2301136363636363,1377,0.5056818181818182,0.2379394682115271,0.2633335310151894,0.530414336351807,0.530414336351807,0.4292444325609033,2.0
ba1500f1|t0.102|r0|time_respecting|b3200,ba1500f1,ba,1500,time_respecting,hi(>.15),3200,0.2038770053475936,1220,0.1036096256684492,0.2463600713012478,0.0506954337641716,0.1014323054406942,0.1014323054406942,0.1049055228758171,2.0
ba1500f1|t0.370|r0|time_respecting|b3200,ba1500f1,ba,1500,time_respecting,hi(>.15),3200,0.2249331550802139,1346,0.3711564171122994,0.2463600713012478,0.1723527379450375,0.3591321301189102,0.3591321301189102,0.4103527391562686,2.0
er1500f0|t0.064|r0|time_respecting|b3200,er1500f0,er,1500,time_respecting,hi(>.15),3200,0.2086666666666666,1252,0.0648333333333333,0.2336143543275896,0.0446115294388654,0.090525242425611,0.090525242425611,0.0903389869281045,2.0
er1500f0|t0.183|r0|time_respecting|b3200,er1500f0,er,1500,time_respecting,hi(>.15),3200,0.2065,1239,0.1835,0.2336143543275896,0.0683067570383014,0.1453027913800672,0.1453027913800672,0.1396749762329177,2.0
er1500f1|t0.120|r0|time_respecting|b3200,er1500f1,er,1500,time_respecting,hi(>.15),3200,0.2138333333333333,1283,0.1198333333333333,0.2239013913646266,0.0479558629614317,0.097618653063021,0.097618653063021,0.1143281818181817,2.0
er1500f1|t0.188|r0|time_respecting|b3200,er1500f1,er,1500,time_respecting,hi(>.15),3200,0.2171666666666666,1303,0.188,0.2239013913646266,0.0968077886827161,0.1969849527971177,0.1969849527971177,0.2761723767082589,2.0
er1500f1|t0.434|r0|time_respecting|b3200,er1500f1,er,1500,time_respecting,hi(>.15),3200,0.2251666666666666,1351,0.4341666666666666,0.2239013913646266,0.2021143588188895,0.4114805851590868,0.4114805851590868,0.4086357367795605,2.0
