case_id,instance_id,group_id,coverage,p_arm_b,actual_arm,stated_arm,p_stated,mismatch_detectability
controlled__sp_hospital__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,controlled__sp_hospital__bursty__contiguous__rho0.55__r0,real::sp_hospital,0.0588235294117647,0.9827796259221565,event_sample_then_full_history,time_agnostic_t,0.017220374077843492,0.9827796259221565
controlled__sp_hospital__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,controlled__sp_hospital__bursty__contiguous__rho0.55__r0,real::sp_hospital,0.5004389815627743,0.2126325701893211,time_agnostic_t,event_sample_then_full_history,0.2126325701893211,0.7873674298106789
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0,real::sp_hypertext2009,0.0724043715846994,0.9771535917412792,event_sample_then_full_history,time_agnostic_t,0.022846408258720752,0.9771535917412792
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0,real::sp_hypertext2009,0.296448087431694,0.0994756266963385,time_agnostic_t,event_sample_then_full_history,0.0994756266963385,0.9005243733036615
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0,real::sp_hypertext2009,0.0664845173041894,0.9998647823056589,event_sample_then_full_history,time_agnostic_t,0.00013521769434110542,0.9998647823056589
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0,real::sp_hypertext2009,0.302367941712204,0.10273151400584118,time_agnostic_t,event_sample_then_full_history,0.10273151400584118,0.8972684859941589
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0,real::sp_primaryschool,0.0080557893471203,0.8653785418750124,event_sample_then_full_history,time_agnostic_t,0.1346214581249876,0.8653785418750124
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0,real::sp_primaryschool,0.0895755681135024,0.09749837529870424,time_agnostic_t,event_sample_then_full_history,0.09749837529870424,0.9025016247012958
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0,real::sp_primaryschool,0.0108212095707586,0.9989158200402494,event_sample_then_full_history,time_agnostic_t,0.0010841799597506308,0.9989158200402494
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0,real::sp_primaryschool,0.0906576890705783,0.09824373791078012,time_agnostic_t,event_sample_then_full_history,0.09824373791078012,0.9017562620892199
dar__dcsbm__n1500__f0__a0.1__c0.15|event_sample_then_full_history|ss0|b9600,dar__dcsbm__n1500__f0__a0.1__c0.15,dar::dcsbm::n1500::f0,0.2884851187158622,0.9997024407206211,event_sample_then_full_history,time_agnostic_t,0.0002975592793789117,0.9997024407206211
dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800,dar__dcsbm__n1500__f0__a0.1__c0.15,dar::dcsbm::n1500::f0,0.0763571508193066,0.087745171746692,time_agnostic_t,event_sample_then_full_history,0.087745171746692,0.9122548282533081
dar__dcsbm__n1500__f0__a0.9__c0.15|event_sample_then_full_history|ss0|b9600,dar__dcsbm__n1500__f0__a0.9__c0.15,dar::dcsbm::n1500::f0,0.3185207277065314,0.9888316457300187,event_sample_then_full_history,time_agnostic_t,0.011168354269981307,0.9888316457300187
dar__dcsbm__n1500__f0__a0.9__c0.15|time_agnostic_t|ws0|b800,dar__dcsbm__n1500__f0__a0.9__c0.15,dar::dcsbm::n1500::f0,0.1622427676707426,0.6535125268187446,time_agnostic_t,event_sample_then_full_history,0.6535125268187446,0.3464874731812554
