budget,evidence_block,arm,method,sources,planned,valid,missing,empty_observations,expected_coverage,all_arm_budgets_matched,MAE2,MAE2_MCSE,ProfileMAE,ProfileMAE_MCSE,valid_fraction,valid_fraction_MCSE
0.1,surrogate,R,plugin,8,24,24,0,0,0.09998126336855145,True,0.012181937599449775,0.002328931431849901,0.011602338368230243,0.0019961164673505303,1.0,0.0
0.1,surrogate,R,primary_corrector,8,24,24,0,0,0.09998126336855145,True,0.012181937599449775,0.002328931431849901,0.011602338368230243,0.0019961164673505303,1.0,0.0
0.1,surrogate,R,median,8,24,24,0,0,0.09998126336855145,True,0.3153450555004878,0.0,0.2477381004240897,0.0,1.0,0.0
0.1,surrogate,R,extratrees_pooled,8,24,24,0,0,0.09998126336855145,True,0.027311763205535515,0.0026170210849198955,0.035496325654330016,0.000994883044906915,1.0,0.0
0.1,surrogate,R,extratrees_real_only,8,24,24,0,0,0.09998126336855145,True,0.11969697669296557,0.001114218597714036,0.11453155557441433,0.0002609172301791835,1.0,0.0
0.1,surrogate,R,qwen_thinking,8,72,71,0,0,0.09998126336855144,True,0.012474665194413505,0.0023227666535171054,0.013493658917479006,0.0019167869136950573,0.9861111111111112,0.013888888888888888
0.1,surrogate,R,qwen_nonthinking,8,72,72,0,0,0.09998126336855144,True,0.30683123165925097,0.014391694948394866,0.23667677449070695,0.01099575208304033,1.0,0.0
0.1,surrogate,S,plugin,8,24,24,0,0,0.100008953865908,True,0.012952593803234113,0.001600486581996036,0.013144448505219727,0.0015117117773381624,1.0,0.0
0.1,surrogate,S,primary_corrector,8,24,24,0,0,0.100008953865908,True,0.012364608083873165,0.0019664147444519715,0.013413631258491428,0.0019400522442921213,1.0,0.0
0.1,surrogate,S,median,8,24,24,0,0,0.100008953865908,True,0.3153450555004878,0.0,0.2477381004240897,0.0,1.0,0.0
0.1,surrogate,S,extratrees_pooled,8,24,24,0,0,0.100008953865908,True,0.0388560667045732,0.0029367706312452817,0.03958704330545092,0.001512114434643716,1.0,0.0
0.1,surrogate,S,extratrees_real_only,8,24,24,0,0,0.100008953865908,True,0.11889990482488592,0.0005841217159113139,0.11498057195938219,0.00022291737463417944,1.0,0.0
0.1,surrogate,S,qwen_thinking,8,72,72,0,0,0.10000895386590798,True,0.01258228569613409,0.0016484614848586033,0.01291990749465119,0.0016139131839797696,1.0,0.0
0.1,surrogate,S,qwen_nonthinking,8,72,72,0,0,0.10000895386590798,True,0.25827836812813065,0.01586855575457141,0.19047998665388305,0.015421102060318312,1.0,0.0
0.1,surrogate,H,plugin,8,24,24,0,0,0.09989802162025352,True,0.1053023847491722,0.0032289298762540617,0.1760574894615819,0.0011554118370156038,1.0,0.0
0.1,surrogate,H,primary_corrector,8,24,24,0,0,0.09989802162025352,True,0.12478423643617123,0.0025225741887989176,0.10393192473308369,0.0011070653216604363,1.0,0.0
0.1,surrogate,H,median,8,24,24,0,0,0.09989802162025352,True,0.3153450555004878,0.0,0.2477381004240897,0.0,1.0,0.0
0.1,surrogate,H,extratrees_pooled,8,24,24,0,0,0.09989802162025352,True,0.07767034040501637,0.002506020841538723,0.08077308292491056,0.0020306106681254707,1.0,0.0
0.1,surrogate,H,extratrees_real_only,8,24,24,0,0,0.09989802162025352,True,0.16159433866727305,0.001793582106157458,0.12635149663805795,0.0007693404866745313,1.0,0.0
0.1,surrogate,H,qwen_thinking,8,72,72,0,0,0.09989802162025352,True,0.190577472330801,0.01601369733783046,0.16525361092016044,0.008013271253453955,1.0,0.0
0.1,surrogate,H,qwen_nonthinking,8,72,72,0,0,0.09989802162025352,True,0.28609088404935357,0.01385463638545859,0.24645471145018064,0.01450833790277845,1.0,0.0
0.1,surrogate,B,plugin,8,24,24,0,0,0.10000000000000002,True,0.3041341637402337,0.0026665792400239166,0.23885511560238804,0.0011434709817297224,1.0,0.0
0.1,surrogate,B,primary_corrector,8,24,24,0,0,0.10000000000000002,True,0.14282013546907857,0.01341272459753487,0.14251179636285727,0.004367355164673956,1.0,0.0
0.1,surrogate,B,median,8,24,24,0,0,0.10000000000000002,True,0.3153450555004878,0.0,0.2477381004240897,0.0,1.0,0.0
0.1,surrogate,B,extratrees_pooled,8,24,24,0,0,0.10000000000000002,True,0.07498051904522672,0.003103793666449359,0.10266873761042627,0.002308477032708191,1.0,0.0
0.1,surrogate,B,extratrees_real_only,8,24,24,0,0,0.10000000000000002,True,0.14864221841042735,0.0017996262190585503,0.13417471150036067,0.0010679494200172127,1.0,0.0
0.1,surrogate,B,qwen_thinking,8,72,72,0,0,0.1,True,0.29671088234021237,0.018499619933589444,0.2478846421065016,0.014280614857526852,1.0,0.0
0.1,surrogate,B,qwen_nonthinking,8,72,72,0,0,0.1,True,0.30614343529362936,0.01844093990024881,0.26947816059142726,0.018085744221702105,1.0,0.0
0.1,dar_a0,R,plugin,2,6,6,0,0,0.09942284569138277,True,0.026854567357085902,0.008311438062358548,0.010423523666357702,0.002001337432102111,1.0,0.0
