source,stratum,arm,method,MAE_2,ProfileMAE,signed_rho_2,validity,not_correctable_at_this_budget
snap_email_eu,real,R,plugin,0.028272255855620414,0.01712540690458284,0.01826862775633366,1.0,False
snap_email_eu,real,R,qwen_nonthinking,0.41760624169986715,0.40085993525896413,0.41760624169986715,1.0,False
snap_email_eu,real,R,qwen_thinking,0.03338789723328904,0.018405668126383348,0.013151536144311589,1.0,False
snap_email_eu,real,S,design,0.03307178480912826,0.01287057686488819,-0.019143084746825894,1.0,False
snap_email_eu,real,S,et,0.07598140387007775,0.09312477750654845,0.07598140387007775,1.0,False
snap_email_eu,real,S,median,0.21560074628952608,0.13602501333145378,-0.21560074628952608,1.0,False
snap_email_eu,real,S,mle,0.015671535334407866,0.01805576772980674,0.004049369744608344,1.0,False
snap_email_eu,real,S,plugin,0.4096762151166549,0.3926284477023824,0.4096762151166549,1.0,False
snap_email_eu,real,S,qwen_nonthinking,0.43566179725542276,0.5097571574811863,0.43566179725542276,1.0,False
snap_email_eu,real,S,qwen_thinking,0.3043887692039708,0.2945680015736111,0.2948838599520893,1.0,False
snap_email_eu,real,S_obs,design,0.041665770013284344,0.02680569969206753,-0.03865574772175221,1.0,False
snap_email_eu,real,S_obs,et,0.05532255363674458,0.08170984242583045,0.05532255363674458,1.0,False
snap_email_eu,real,S_obs,median,0.21560074628952608,0.13602501333145378,-0.21560074628952608,1.0,False
snap_email_eu,real,S_obs,mle,0.025096105259400297,0.02935322738735076,-0.017241155584820478,1.0,False
snap_email_eu,real,S_obs,plugin,0.4096762151166549,0.3926284477023824,0.4096762151166549,1.0,False
snap_email_eu,real,S_obs,qwen_nonthinking,0.4361395750332005,0.5010516019256309,0.4361395750332005,1.0,False
snap_email_eu,real,S_obs,qwen_thinking,0.20336670131474102,0.17050104064630367,0.17659466058875603,1.0,False
snap_mathoverflow,real,B,et,0.1772055610890988,0.059277491967990516,0.1772055610890988,1.0,False
snap_mathoverflow,real,B,median,0.3344606232273641,0.13551195946354852,0.3344606232273641,1.0,False
snap_mathoverflow,real,B,mle,0.09722994466373767,0.028341711350303653,0.09722994466373767,1.0,False
snap_mathoverflow,real,B,plugin,0.05375440006856937,0.018751221797042823,-0.05375440006856937,1.0,False
snap_mathoverflow,real,B,qwen_nonthinking,0.7938382787370691,0.5961972121150867,0.7938382787370691,1.0,False
snap_mathoverflow,real,B,qwen_thinking,0.0747860019361962,0.04585076321274515,0.02249202318151352,1.0,False
snap_mathoverflow,real,H,et,0.038162773221389765,0.011372902011509914,0.038162773221389765,1.0,False
snap_mathoverflow,real,H,median,0.3344606232273641,0.13551195946354852,0.3344606232273641,1.0,False
snap_mathoverflow,real,H,mle,0.044850701079572765,0.012882977447494429,0.044850701079572765,1.0,False
snap_mathoverflow,real,H,plugin,0.01984561454077507,0.00869728476599105,-0.01984561454077507,1.0,False
snap_mathoverflow,real,H,qwen_nonthinking,0.13070932705390592,0.049371243071292543,0.036949389848180185,1.0,False
snap_mathoverflow,real,H,qwen_thinking,0.07853347586623022,0.027579006818512906,0.0402700922481802,1.0,False
snap_mathoverflow,real,R,et,0.009047385362642884,0.0031007310514739074,0.009047385362642884,1.0,False
snap_mathoverflow,real,R,median,0.3344606232273641,0.13551195946354852,0.3344606232273641,1.0,False
snap_mathoverflow,real,R,mle,0.009359219039200306,0.006322905455623807,0.009359219039200306,1.0,False
snap_mathoverflow,real,R,plugin,0.00535051365697851,0.002590271581399179,-0.0034871676820408723,1.0,False
snap_mathoverflow,real,R,qwen_nonthinking,0.6836160565148469,0.3928804911004011,0.6836160565148469,1.0,False
snap_mathoverflow,real,R,qwen_thinking,0.00529142560616216,0.003757485195410532,-0.003546054596264255,1.0,False
snap_mathoverflow,real,S,design,0.0010504421106262891,0.0004289760967466607,-0.0010504421106262891,1.0,False
snap_mathoverflow,real,S,et,0.01580483186467774,0.008529974402112664,0.01580483186467774,1.0,False
snap_mathoverflow,real,S,median,0.3344606232273641,0.13551195946354852,0.3344606232273641,1.0,False
snap_mathoverflow,real,S,mle,0.01459412261541924,0.007354429216865489,0.01459412261541924,1.0,False
snap_mathoverflow,real,S,plugin,0.15286751197745704,0.06468426361720171,0.15286751197745704,1.0,False
snap_mathoverflow,real,S,qwen_nonthinking,0.7475827231815136,0.48501665655953097,0.7475827231815136,1.0,False
snap_mathoverflow,real,S,qwen_thinking,0.05702010372057257,0.02353046703740054,0.05192194429262464,1.0,False
snap_mathoverflow,real,S_obs,design,0.004820381942468148,0.0023784815958208558,-0.004820381942468148,1.0,False
snap_mathoverflow,real,S_obs,et,0.019779092842599724,0.0073433618457517036,0.019779092842599724,1.0,False
snap_mathoverflow,real,S_obs,median,0.3344606232273641,0.13551195946354852,0.3344606232273641,1.0,False
snap_mathoverflow,real,S_obs,mle,0.007667510881734119,0.006006961376898147,0.007667510881734119,1.0,False
snap_mathoverflow,real,S_obs,plugin,0.15286751197745704,0.06468426361720171,0.15286751197745704,1.0,False
snap_mathoverflow,real,S_obs,qwen_nonthinking,0.7900605009592913,0.5373444343373088,0.7900605009592913,1.0,False
snap_mathoverflow,real,S_obs,qwen_thinking,0.03768757059175174,0.016248704754890167,0.030106205681513523,1.0,False
sp_highschool2013,real,B,et,0.04705703134870596,0.02187130328544201,-0.04705703134870596,1.0,False
sp_highschool2013,real,B,median,0.19543570347008532,0.1190406722067809,-0.19543570347008532,1.0,False
