group,arm,method,sources,sources_with_valid,planned_answers,completed_answers,valid_answers,validity_of_completed,MAE_2,ProfileMAE,signed_rho_2,draw_clustered_MCSE_2,skill_vs_plugin
real,B,qwen_nonthinking,8,8,72,72,72,1.0,0.5629552385388389,0.5482237676448929,0.546223570056155,0.02700411565257202,-2.6910403668511593
real,B,deepseek_flash,8,8,24,24,24,1.0,0.16674456359570428,0.09468613698632589,0.024613667278377188,0.038973319269828964,-0.09326794219406387
real,B,gpt_6_sol,8,8,72,72,72,1.0,0.09059244846857986,0.06050732591336794,-0.0028944854994005856,0.007713356882791517,0.4060266938854633
real,B,gpt_6_sol_tools,8,8,72,72,72,1.0,0.11543235253481118,0.07244178494709946,0.03315773672282164,0.010004016295914726,0.24316278865715335
surrogate,R,plugin,8,8,24,24,24,1.0,0.01350782008940419,0.016289641534703754,0.0029132417242424703,0.0024637901316609647,0.0
surrogate,R,median,8,8,24,24,24,1.0,0.31534505550048775,0.24773810042408972,-0.1956569234236315,5.485677294651096e-18,-22.34536982379939
surrogate,R,mle,8,8,24,24,24,1.0,0.03372815962917479,0.029040111518023354,0.028569356894910386,0.0025271223232744716,-1.496935805032808
surrogate,R,et,8,8,24,24,24,1.0,0.015088869036811099,0.017080802738550702,-0.00312629986944577,0.001864654732172148,-0.11704693554862478
surrogate,R,qwen_thinking,8,8,72,72,72,1.0,0.013973633259827225,0.018394855307852988,0.0024282682203620796,0.002482028687695717,-0.03448470347842658
surrogate,R,qwen_nonthinking,8,8,72,72,72,1.0,0.24798480562316497,0.22113523662295223,0.24140623165925096,0.03128525793675341,-17.35861034436558
surrogate,R,deepseek_flash,8,8,24,24,24,1.0,0.013507799886397415,0.016289646473618358,0.0029132217945789427,0.0024637905000800815,1.4956526397380543e-06
surrogate,R,gpt_6_sol,8,8,72,72,72,1.0,0.013509054590344289,0.016290035025018648,0.002909056520362079,0.0024626470007358264,-9.139157406079512e-05
surrogate,R,gpt_6_sol_tools,8,8,72,72,72,1.0,0.013504262415344286,0.016289603556268645,0.002910694250917639,0.002463739875294169,0.0002633788454654562
surrogate,S,plugin,8,8,24,24,24,1.0,0.2463176902075914,0.30064053200484653,0.2463176902075914,0.0020805420073161415,0.0
surrogate,S,median,8,8,24,24,24,1.0,0.3153450555004878,0.24773810042408972,-0.1956569234236315,5.485677294651096e-18,-0.28023714104627073
surrogate,S,design,8,8,24,24,24,1.0,0.053956247464161056,0.03808872472662854,0.014073148032710009,0.004815791630443679,0.7809485489300916
surrogate,S,mle,8,8,24,24,24,1.0,0.043774674027442874,0.04989495912513742,0.035371257013821406,0.006933454541563617,0.8222836776743461
surrogate,S,et,8,8,24,24,24,1.0,0.04744867843674053,0.03803135230005229,-0.031397624242742984,0.0062146899814172546,0.8073679629069607
