group,arm,comparison,sources_with_pairs,mean_difference,first_better_sources,exact_signflip_p
synthetic,S,deepseek_flash vs et,8,0.00931843389790889,2,0.0625
synthetic,S,deepseek_flash vs qwen_thinking,8,-0.05088061612028842,8,0.0078125
synthetic,S,gpt_6_sol vs plugin,8,-0.09762832863980225,8,0.0078125
synthetic,S,gpt_6_sol vs design,8,0.0010938726720470327,1,0.4765625
synthetic,S,gpt_6_sol vs et,8,0.011022726235522702,2,0.078125
synthetic,S,gpt_6_sol vs qwen_thinking,8,-0.049176323782674614,7,0.015625
synthetic,S,gpt_6_sol_tools vs plugin,8,-0.09999470568934878,8,0.0078125
synthetic,S,gpt_6_sol_tools vs design,8,-0.0012725043774994974,4,0.3046875
synthetic,S,gpt_6_sol_tools vs et,8,0.008656349185976173,3,0.125
synthetic,S,gpt_6_sol_tools vs qwen_thinking,8,-0.051542700832221136,7,0.015625
synthetic,S,deepseek_flash vs gpt_6_sol,8,-0.0017042923376138122,6,0.296875
synthetic,S,gpt_6_sol_tools vs gpt_6_sol,8,-0.0023663770495465303,5,0.0625
synthetic,H,deepseek_flash vs plugin,8,-0.03301671650629088,7,0.2578125
synthetic,H,deepseek_flash vs mle,8,0.024254984740669658,1,0.046875
synthetic,H,deepseek_flash vs et,8,0.032468373040601566,1,0.1328125
synthetic,H,deepseek_flash vs qwen_thinking,8,-0.1013095415029017,6,0.03125
synthetic,H,gpt_6_sol vs plugin,8,-0.05870036195011804,8,0.0078125
synthetic,H,gpt_6_sol vs mle,8,-0.0014286607031575012,5,0.875
synthetic,H,gpt_6_sol vs et,8,0.0067847275967744085,3,0.5703125
synthetic,H,gpt_6_sol vs qwen_thinking,8,-0.12699318694672884,8,0.0078125
synthetic,H,gpt_6_sol_tools vs plugin,8,-0.053586102587677834,7,0.015625
synthetic,H,gpt_6_sol_tools vs mle,8,0.0036855986592827005,2,0.6015625
synthetic,H,gpt_6_sol_tools vs et,8,0.01189898695921461,2,0.25
synthetic,H,gpt_6_sol_tools vs qwen_thinking,8,-0.12187892758428863,8,0.0078125
synthetic,H,deepseek_flash vs gpt_6_sol,8,0.02568364544382716,2,0.1484375
synthetic,H,gpt_6_sol_tools vs gpt_6_sol,8,0.0051142593624402015,3,0.1640625
synthetic,B,deepseek_flash vs plugin,8,-0.18028678558341468,8,0.0078125
synthetic,B,deepseek_flash vs mle,8,0.16977667614367653,1,0.015625
synthetic,B,deepseek_flash vs et,8,0.20871413125426258,0,0.0078125
synthetic,B,deepseek_flash vs qwen_thinking,8,-0.08514014665150386,6,0.0625
synthetic,B,gpt_6_sol vs plugin,8,-0.2959564227909613,8,0.0078125
synthetic,B,gpt_6_sol vs mle,8,0.05410703893612994,1,0.0234375
synthetic,B,gpt_6_sol vs et,8,0.09304449404671597,1,0.015625
synthetic,B,gpt_6_sol vs qwen_thinking,8,-0.2008097838590505,8,0.0078125
synthetic,B,gpt_6_sol_tools vs plugin,8,-0.31877592746069566,8,0.0078125
synthetic,B,gpt_6_sol_tools vs mle,8,0.031287534266395564,0,0.0078125
synthetic,B,gpt_6_sol_tools vs et,8,0.0702249893769816,0,0.0078125
synthetic,B,gpt_6_sol_tools vs qwen_thinking,8,-0.22362928852878486,8,0.0078125
synthetic,B,deepseek_flash vs gpt_6_sol,8,0.11566963720754661,1,0.015625
synthetic,B,gpt_6_sol_tools vs gpt_6_sol,8,-0.022819504669734376,6,0.0703125
all24,R,deepseek_flash vs plugin,24,6.880647855392829e-09,13,0.8286857604980469
all24,R,deepseek_flash vs et,24,-0.0008279857091574389,15,0.3700096607208252
all24,R,deepseek_flash vs qwen_thinking,24,-0.00018916111605781874,12,0.33751702308654785
all24,R,gpt_6_sol vs plugin,24,-4.5373171367459514e-07,12,0.808727502822876
all24,R,gpt_6_sol vs et,24,-0.0008284463215189689,15,0.36962032318115234
all24,R,gpt_6_sol vs qwen_thinking,24,-0.00018962172841934874,12,0.3309612274169922
all24,R,gpt_6_sol_tools vs plugin,24,0.00030376373541595635,12,0.732833981513977
all24,R,gpt_6_sol_tools vs et,24,-0.0005242288543893378,15,0.6051836013793945
all24,R,gpt_6_sol_tools vs qwen_thinking,24,0.00011459573871028222,13,0.8342760801315308
all24,R,deepseek_flash vs gpt_6_sol,24,4.6061236152998797e-07,12,0.805760383605957
all24,R,gpt_6_sol_tools vs gpt_6_sol,24,0.00030421746712963095,12,0.5667283535003662
all24,S,deepseek_flash vs plugin,24,-0.17186880590367384,23,2.384185791015625e-07
all24,S,deepseek_flash vs design,24,0.004850853843339976,8,0.2776670455932617
all24,S,deepseek_flash vs et,24,0.010487007409264087,7,0.20435965061187744
all24,S,deepseek_flash vs qwen_thinking,24,-0.08162013436952445,23,2.384185791015625e-07
all24,S,gpt_6_sol vs plugin,24,-0.17720324324251335,24,1.1920928955078125e-07
all24,S,gpt_6_sol vs design,24,-0.00048358349549955604,9,0.9276174306869507
all24,S,gpt_6_sol vs et,24,0.00515257007042456,8,0.41299259662628174
all24,S,gpt_6_sol vs qwen_thinking,24,-0.086954571708364,23,3.5762786865234375e-07
all24,S,gpt_6_sol_tools vs plugin,24,-0.17958654949839825,24,1.1920928955078125e-07
all24,S,gpt_6_sol_tools vs design,24,-0.002866889751384426,10,0.30125463008880615
all24,S,gpt_6_sol_tools vs et,24,0.0027692638145396897,9,0.6295629739761353
all24,S,gpt_6_sol_tools vs qwen_thinking,24,-0.08933787796424886,23,4.76837158203125e-07
all24,S,deepseek_flash vs gpt_6_sol,24,0.00533443733883953,12,0.3084869384765625
all24,S,gpt_6_sol_tools vs gpt_6_sol,24,-0.0023833062558848692,15,0.007587313652038574
all24,H,deepseek_flash vs plugin,24,0.005826844952950404,12,0.709158182144165
all24,H,deepseek_flash vs mle,24,0.04454183839081241,4,0.0007004737854003906
all24,H,deepseek_flash vs et,24,0.05799120721189358,6,0.0004985332489013672
all24,H,deepseek_flash vs qwen_thinking,24,-0.06026236251942863,17,0.0029382705688476562
all24,H,gpt_6_sol vs plugin,24,-0.03911790856381952,18,0.003322005271911621
all24,H,gpt_6_sol vs mle,24,-0.0004029151259575074,12,0.9469095468521118
all24,H,gpt_6_sol vs et,24,0.013046453695123666,10,0.17185759544372559
all24,H,gpt_6_sol vs qwen_thinking,24,-0.10520711603619855,22,1.3113021850585938e-06
all24,H,gpt_6_sol_tools vs plugin,24,-0.035581968586982864,19,0.01110529899597168
all24,H,gpt_6_sol_tools vs mle,24,0.0031330248508791413,10,0.6765120029449463
all24,H,gpt_6_sol_tools vs et,24,0.016582393671960318,8,0.13422048091888428
all24,H,gpt_6_sol_tools vs qwen_thinking,24,-0.10167117605936189,22,4.649162292480469e-06
