source,stratum,arm,method,answers,valid,MAE_2,ProfileMAE,signed_rho_2
dar_a08_r1,synthetic,S,deepseek_flash,3,3,0.041510983436853,0.047969495341614904,-0.0023103830227742725
dar_a08_r1,synthetic,S,gpt_6_sol,9,9,0.037720427881297466,0.04238907867494825,0.008716839199447941
dar_a08_r1,synthetic,S,gpt_6_sol_tools,9,9,0.03128709454796413,0.035402967563837144,0.007639061421670158
dar_a08_r2,synthetic,B,deepseek_flash,3,3,0.31852665382145146,0.23780213016484694,-0.07842003853564546
dar_a08_r2,synthetic,B,gpt_6_sol,9,9,0.16680218368657676,0.14168903874973238,0.16680218368657676
dar_a08_r2,synthetic,B,gpt_6_sol_tools,9,9,0.14111329479768786,0.13354396096481838,0.14111329479768786
dar_a08_r2,synthetic,H,deepseek_flash,3,3,0.12807996146435455,0.16914912759580392,0.12807996146435455
dar_a08_r2,synthetic,H,gpt_6_sol,9,9,0.026491115392849502,0.03404481552843789,0.006024405908799009
dar_a08_r2,synthetic,H,gpt_6_sol_tools,9,9,0.03074887604367376,0.04636714122600444,0.018468850353243464
dar_a08_r2,synthetic,R,deepseek_flash,3,3,0.026415916324565598,0.030942274781164666,-0.00932657264562653
dar_a08_r2,synthetic,R,gpt_6_sol,9,9,0.02643445728965958,0.030939154891886096,-0.009325594091200965
dar_a08_r2,synthetic,R,gpt_6_sol_tools,9,9,0.026424457289659586,0.030942127114108327,-0.009314705202312083
dar_a08_r2,synthetic,S,deepseek_flash,3,3,0.053105705202312094,0.02844644021622778,-0.053105705202312094
dar_a08_r2,synthetic,S,gpt_6_sol,9,9,0.05615337186897879,0.029931690216227793,-0.05615337186897879
dar_a08_r2,synthetic,S,gpt_6_sol_tools,9,9,0.05032003853564547,0.028470579105116682,-0.05032003853564547
dar_a0_r1,synthetic,B,deepseek_flash,3,3,0.32040190958959514,0.11569213170197952,0.17966234983545215
dar_a0_r1,synthetic,B,gpt_6_sol,9,9,0.16974899698265858,0.07144086673961339,0.13354819456878547
dar_a0_r1,synthetic,B,gpt_6_sol_tools,9,9,0.08928313272986504,0.03723010219171723,0.03154819456878546
dar_a0_r1,synthetic,H,deepseek_flash,3,3,0.03391413876454789,0.012926038446234953,-0.03391413876454789
dar_a0_r1,synthetic,H,gpt_6_sol,9,9,0.04058513876454787,0.013824746493583995,-0.04058513876454787
dar_a0_r1,synthetic,H,gpt_6_sol_tools,9,9,0.060429583208992325,0.019851857604695107,-0.060429583208992325
dar_a0_r1,synthetic,R,deepseek_flash,3,3,0.038220417057527566,0.012500687455667672,0.02683212634963082
dar_a0_r1,synthetic,R,gpt_6_sol,9,9,0.03822606485626182,0.0124985685864916,0.026838194568785445
dar_a0_r1,synthetic,R,gpt_6_sol_tools,9,9,0.038222842634039605,0.012500263030936043,0.02683497234656322
dar_a0_r1,synthetic,S,deepseek_flash,3,3,0.011956735143738165,0.006636190620461548,0.0006087279021187997
dar_a0_r1,synthetic,S,gpt_6_sol,9,9,0.01343495374515071,0.008087865728306644,0.00801597234656323
dar_a0_r1,synthetic,S,gpt_6_sol_tools,9,9,0.011612731522928478,0.007856856659703572,0.009978194568785452
dar_a0_r2,synthetic,B,deepseek_flash,3,3,0.16762416918429002,0.06492508635448137,-0.09200584088620345
dar_a0_r2,synthetic,B,gpt_6_sol,9,9,0.1464525008392078,0.0549161127895267,-0.0180725075528701
dar_a0_r2,synthetic,B,gpt_6_sol_tools,9,9,0.1314686136287345,0.0508255043638805,-0.033294729775092305
dar_a0_r2,synthetic,H,deepseek_flash,3,3,0.045005492447129904,0.019158865307150053,0.045005492447129904
dar_a0_r2,synthetic,H,gpt_6_sol,9,9,0.06583249412554548,0.027023768882175225,0.04648304800268546
dar_a0_r2,synthetic,H,gpt_6_sol_tools,9,9,0.07770527022490768,0.031856169855656265,0.07770527022490768
dar_a0_r2,synthetic,R,deepseek_flash,3,3,0.03565978227895835,0.013613914438255497,-0.026711088006588873
dar_a0_r2,synthetic,R,gpt_6_sol,9,9,0.035660835850956696,0.013610161127895265,-0.02670917421953678
dar_a0_r2,synthetic,R,gpt_6_sol_tools,9,9,0.03566105807317891,0.013610272239006375,-0.026709396441758997
dar_a0_r2,synthetic,S,deepseek_flash,3,3,0.023428830815709956,0.011334840634441087,0.009895159113796551
dar_a0_r2,synthetic,S,gpt_6_sol,9,9,0.02087193689157435,0.01102721550855992,0.02087193689157435
