stratum,arm,config_id,mock,valid_fraction,limit_fraction,technical_failure_fraction,fence_fraction,other_answer_error_fraction,replacement_fraction,started_logical_requests,valid_answers,fallback_only,numeric_model_estimate,not_started,in_progress,empty_observations,empty_fraction,deterministic_draw_sources,complete,AE2,AE2_MCSE,ProfileAE,ProfileAE_MCSE,delta_AE2,delta_AE2_MCSE,delta_ProfileAE,delta_ProfileAE_MCSE,delta_AE2_vs_plugin,delta_AE2_vs_plugin_MCSE,delta_AE2_vs_extratrees,delta_AE2_vs_extratrees_MCSE,delta_AE2_vs_median,delta_AE2_vs_median_MCSE,shrink_plugin_AE2,shrink_plugin_AE2_MCSE,shrink_median_AE2,shrink_median_AE2_MCSE,signed_rho2,signed_rho2_MCSE,baseline_AE2,baseline_AE2_MCSE,plugin_AE2,plugin_AE2_MCSE,extratrees_pooled_AE2,extratrees_pooled_AE2_MCSE,median_AE2,median_AE2_MCSE,AE2_MCSE_model_repeats,AE2_MCSE_sampler,AE2_between_source_SE,ProfileAE_MCSE_model_repeats,ProfileAE_MCSE_sampler,ProfileAE_between_source_SE,delta_AE2_MCSE_model_repeats,delta_AE2_MCSE_sampler,delta_AE2_between_source_SE,delta_ProfileAE_MCSE_model_repeats,delta_ProfileAE_MCSE_sampler,delta_ProfileAE_between_source_SE,delta_AE2_vs_plugin_MCSE_model_repeats,delta_AE2_vs_plugin_MCSE_sampler,delta_AE2_vs_plugin_between_source_SE,delta_AE2_vs_extratrees_MCSE_model_repeats,delta_AE2_vs_extratrees_MCSE_sampler,delta_AE2_vs_extratrees_between_source_SE,delta_AE2_vs_median_MCSE_model_repeats,delta_AE2_vs_median_MCSE_sampler,delta_AE2_vs_median_between_source_SE,shrink_plugin_AE2_MCSE_model_repeats,shrink_plugin_AE2_MCSE_sampler,shrink_plugin_AE2_between_source_SE,shrink_median_AE2_MCSE_model_repeats,shrink_median_AE2_MCSE_sampler,shrink_median_AE2_between_source_SE,signed_rho2_MCSE_model_repeats,signed_rho2_MCSE_sampler,signed_rho2_between_source_SE,baseline_AE2_MCSE_model_repeats,baseline_AE2_MCSE_sampler,baseline_AE2_between_source_SE,plugin_AE2_MCSE_model_repeats,plugin_AE2_MCSE_sampler,plugin_AE2_between_source_SE,extratrees_pooled_AE2_MCSE_model_repeats,extratrees_pooled_AE2_MCSE_sampler,extratrees_pooled_AE2_between_source_SE,median_AE2_MCSE_model_repeats,median_AE2_MCSE_sampler,median_AE2_between_source_SE,valid_rho2_below_lower_share,valid_rho2_at_lower_plugin_share,valid_rho2_inside_share,valid_rho2_at_upper_share,valid_rho2_above_upper_share
dar_a0,H,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,30,False,True,0,0,0,0.0,[],True,0.025724712026931756,0.0061448962579539615,0.033684514083181724,0.007090582828703222,0.006918980443558315,0.0035660019066452654,0.013696655790659616,0.007265731582566712,0.006357174448034836,0.002766588327571617,0.0025785163640129447,0.003099623203396891,-0.009964953653157933,0.0061448962579539615,0.022271740887377663,0.006534039896139961,0.02538896984333657,0.004615393992928718,-0.014964688374985028,0.009268096602593222,0.018805731583373442,0.007109547493126651,0.01936753757889692,0.006985089247096052,0.02314619566291881,0.007235171781624612,0.03568966568008969,0.0,0.0031306900068972907,0.005636010337303251,0.0032528782048398606,0.00838267268530402,0.0,0.0023436189218913953,0.0031306900068972907,0.0017073809413575846,0.0005725433659655036,0.00838267268530402,0.00019350301328065856,0.0012776290834958053,0.0031306900068972907,0.0007782155172762177,0.0037057779329175617,0.0031306900068972907,0.0019505175567421683,0.0031278373385958606,0.0031306900068972907,0.005636010337303251,0.0036935922736476075,0.0015700089530906473,0.006342613755508365,0.004831383255761967,0.0015872710194592531,0.0043338703742437056,0.00333787644872637,0.0032163896466207084,0.008692091363769201,0.0072400525978589215,0.0,0.007109547493126651,0.003825421570805364,0.0,0.006985089247096052,0.006958656137757424,0.0,0.007235171781624612,0.006380715543435721,0.0,0.0,0.00044071406880774594,0.13333333333333333,0.6666666666666666,0.03333333333333333,0.03333333333333333,0.13333333333333333
dar_a0,H,qwen_nonthinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,30,False,True,0,0,0,0.0,[],True,0.4588248782916816,0.015317020307850707,0.41515434064560464,0.021349492897489875,0.4400191467083082,0.015577039526616326,0.39516648235308255,0.020688643435573122,0.43945734071278475,0.016580549086586915,0.4356786826287628,0.016037321380076144,0.4231352126115919,0.015317020307850713,0.22280547284164035,0.009454581819782492,0.21156760630579596,0.007658510153925361,0.4588248782916816,0.015317020307850707,0.018805731583373442,0.007109547493126651,0.01936753757889692,0.006985089247096052,0.02314619566291881,0.007235171781624612,0.03568966568008969,0.0,0.016203566136982175,0.009122621455602673,0.02855928593119222,0.02705803227417839,0.0,0.041011348503955464,0.016203566136982175,0.009842063275300898,0.032384707501997595,0.02705803227417839,0.0,0.042077338342351056,0.01620356613698217,0.010882952059416343,0.035517942068949704,0.016203566136982175,0.009632599467680067,0.034940001474627946,0.016203566136982175,0.00912262145560268,0.028118571862384503,0.008101783068491086,0.006456113838501576,0.018435834238376383,0.008101783068491084,0.004561310727801346,0.014059285931192267,0.016203566136982175,0.009122621455602673,0.02855928593119222,0.0,0.007109547493126651,0.003825421570805364,0.0,0.006985089247096052,0.006958656137757424,0.0,0.007235171781624612,0.006380715543435721,0.0,0.0,0.00044071406880774594,0.0,0.0,0.0,0.0,1.0
dar_a0,B,sol,False,,,,,,,0,0,False,False,30,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dar_a0,B,deepseek,False,,,,,,,0,0,False,False,30,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dar_a0,B,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,30,False,True,0,0,0,0.0,[],True,0.2886985072361061,0.03900289494055441,0.12406942194369108,0.028082444956644078,0.2168297798115572,0.04385589477150818,0.0944491474180042,0.02750466893297013,-0.06339937651165564,0.03938061279206469,0.23651156704145293,0.03571451177372408,0.25300884155601644,0.03900289494055441,0.2613889627636692,0.02312910579450288,0.15193339090816266,0.02028270729506506,-0.12668858837498503,0.053642460463677676,0.07186872742454894,0.01547195172192481,0.35209788374776174,0.0014194254296115002,0.05218694019465317,0.006741317474642086,0.03568966568008969,0.0,0.026237494965891856,0.028858615206879285,0.007805171356269264,0.026130470919291805,0.010286991993726326,0.026263825514764406,0.02623749496589186,0.03514161868958796,0.004272134825681686,0.02613047091929181,0.008585179243809492,0.018595180931428888,0.026237494965891856,0.029367099308466413,0.008656581292639572,0.026237494965891856,0.02423056353348546,0.015314022586219344,0.026237494965891856,0.028858615206879285,0.007364457287461532,0.01955919769979518,0.018103361015836445,0.014193822078355608,0.013280264905080368,0.015330452676557733,0.0046796737496443835,0.05865720396635012,0.02898382424106974,0.038238980735474416,0.0,0.01547195172192481,0.0035330365305875702,8.777083671441753e-18,0.0014194254296115002,0.0008514099363703119,0.0,0.006741317474642086,0.023119193942488576,0.0,0.0,0.00044071406880774594,,,,,
dar_a0,B,qwen_nonthinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,30,False,True,0,0,0,0.0,[],True,0.5288248782916816,0.016645820296198485,0.569529168537251,0.039830130376939096,0.4569561508671327,0.025250166146567457,0.5399088940115642,0.04083942835724379,0.17672699454391982,0.016049882080025002,0.4766379380970285,0.01911952891279953,0.49313521261159204,0.016645820296198485,0.09359146887828547,0.004553374651638098,0.246567606305796,0.008322910148099246,0.5288248782916816,0.016645820296198485,0.07186872742454894,0.01547195172192481,0.35209788374776174,0.0014194254296115002,0.05218694019465317,0.006741317474642086,0.03568966568008969,0.0,0.015297058540778355,0.008682677518420745,0.0124407140688077,0.037633431274879246,0.016867979121881784,0.000760595712226586,0.015297058540778355,0.02041834622009609,0.01597375059939532,0.03763343127487925,0.020078889366791246,0.00842924029556219,0.015297058540778355,0.008042677622154219,0.01158930413243743,0.015297058540778353,0.01226818567258986,0.0355599080112963,0.015297058540778355,0.008682677518420742,0.012881428137615558,0.005483307090531554,0.0009685304367467618,0.0005666804598931652,0.007648529270389181,0.004341338759210374,0.0064407140688077505,0.015297058540778355,0.008682677518420745,0.0124407140688077,0.0,0.01547195172192481,0.0035330365305875702,8.777083671441753e-18,0.0014194254296115002,0.0008514099363703119,0.0,0.006741317474642086,0.023119193942488576,0.0,0.0,0.00044071406880774594,,,,,
dar_a08,R,sol,False,,,,,,,0,0,False,False,30,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dar_a08,R,deepseek,False,,,,,,,0,0,False,False,30,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dar_a08,R,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,30,False,True,0,0,0,0.0,[],True,0.019064919369149537,0.0032139530988841316,0.027967196156074816,0.004371520181117923,-4.955265975000363e-06,4.865017934426688e-06,0.0007751291304818589,0.0005325751157517922,-4.955265975000363e-06,4.865017934426688e-06,-0.01874410505212734,0.004362219900639095,-0.3967426944235408,0.0032139530988841247,0.019067397002137026,0.0032146804157498583,0.205617275140138,0.003764827532035464,0.004573063512414336,0.007529655064070924,0.01906987463512454,0.0032154094083310936,0.01906987463512454,0.0032154094083310936,0.037809024421276885,0.005753109442008155,0.41580761379269027,0.0,2.432876669477125e-06,0.0032139521780726646,0.005445286135437639,0.0004899111636209117,0.0043439815544821184,0.005953923220294986,2.432876669477125e-06,4.215356925026336e-06,9.90096336375886e-06,0.0004899111636209117,0.00020886192969911743,0.0006872522772244093,2.432876669477125e-06,4.215356925026336e-06,9.90096336375886e-06,2.4328766694771256e-06,0.0043622192222128025,0.005247787659558652,2.432876669477125e-06,0.0032139521780726577,0.0020380501459591194,1.2164383347392724e-06,0.0032146801855990996,0.00544033565375576,1.2164383347392724e-06,0.0037648273355162013,0.002269235989478507,2.432876669477125e-06,0.007529654671032398,0.0011312359894784958,0.0,0.0032154094083310936,0.005435385172073881,0.0,0.0032154094083310936,0.005435385172073881,0.0,0.005753109442008155,0.00019749847587898978,8.777083671441753e-18,0.0,0.00340723598947848,,,,,
dar_a08,R,qwen_nonthinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,30,False,True,0,0,0,0.0,[],True,0.12565693017908097,0.008551461863330735,0.11050993954166827,0.014219863003647982,0.10658705554395648,0.008030277305147309,0.08331787251607532,0.013530491670497463,0.10658705554395648,0.008030277305147309,0.0878479057578041,0.008224829200710947,-0.2901506836136093,0.008551461863330733,0.0654671611618863,0.0067499501579137075,0.1450753418068047,0.004275730931665369,0.12565693017908097,0.008551461863330735,0.01906987463512454,0.0032154094083310936,0.01906987463512454,0.0032154094083310936,0.037809024421276885,0.005753109442008155,0.41580761379269027,0.0,0.010874243268690775,0.0,0.01685723598947851,0.016489277430243157,0.0,0.01737464902179058,0.010874243268690775,0.0,0.022292621161552395,0.016489277430243157,0.003352721101518804,0.012107978078720008,0.010874243268690775,0.0,0.022292621161552395,0.010874243268690775,0.0,0.017054734465357498,0.010874243268690775,0.0,0.020264471978957005,0.005325619934253863,0.004147239979817562,0.00864786417724317,0.005437121634345391,0.0,0.010132235989478502,0.010874243268690775,0.0,0.01685723598947851,0.0,0.0032154094083310936,0.005435385172073881,0.0,0.0032154094083310936,0.005435385172073881,0.0,0.005753109442008155,0.00019749847587898978,8.777083671441753e-18,0.0,0.00340723598947848,,,,,
dar_a08,S,sol,False,,,,,,,0,0,False,False,30,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dar_a08,S,deepseek,False,,,,,,,0,0,False,False,30,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dar_a08,S,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,30,False,True,0,0,0,0.0,[],True,0.0630559674856341,0.01288972382630522,0.06957095277474648,0.015714148566166233,0.015077671795593191,0.007722221999831505,0.02622367529696417,0.012133304610763757,-0.07547679734104458,0.010688177281263877,0.01852978620441686,0.011332579762784357,-0.3527516463070562,0.012889723826305217,0.08340361416954653,0.012671728707533409,0.19376657514013795,0.010337689078252025,0.02827446351241434,0.020675378156504044,0.04797829569004092,0.00785606405636876,0.1385327648266787,0.006294479512728063,0.04452618128121725,0.005416048431394996,0.41580761379269027,0.0,0.006027309205292942,0.011393705457936476,0.008892001117831727,0.009262288294680798,0.012694269601113856,0.00012437225073772676,0.006027309205292943,0.0054109744891326856,0.0011375840481769577,0.009262288294680798,0.008602568776362585,0.006154394142889756,0.006027309205292942,0.00882658922458252,0.025322181495424378,0.006027309205292942,0.009596817588328982,0.012098689551013068,0.006027309205292942,0.011393705457936472,0.005484765128353164,0.004117008387976232,0.01198427930126212,0.019787208183535597,0.0041170083879762355,0.009482513243436285,0.013275735989478522,0.008234016775952467,0.018965026486872563,0.023144235989478498,0.0,0.00785606405636876,0.007754417069654774,0.0,0.006294479512728063,0.016430180377592658,0.0,0.005416048431394996,0.003206688433181337,8.777083671441753e-18,0.0,0.00340723598947848,,,,,
dar_a08,S,qwen_nonthinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,30,False,True,0,0,0,0.0,[],True,0.11738602654256336,0.00853351503136247,0.12823799497079294,0.01457774300319543,0.06940773085252244,0.008931318553563383,0.08489071749301065,0.011130074392888349,-0.02114673828411534,0.00934491462870564,0.07285984526134612,0.005720608751660899,-0.29842158725012696,0.008533515031362468,0.11957602173639353,0.008760389491618325,0.15935367514013804,0.008388511323364958,0.09710026351241431,0.016777022646729926,0.04797829569004092,0.00785606405636876,0.1385327648266787,0.006294479512728063,0.04452618128121725,0.005416048431394996,0.41580761379269027,0.0,0.010272946835935003,0.004111311790459852,0.006032917470188199,0.013089491016677009,0.009053765011677635,0.01201159728201028,0.010272946835935003,0.004722498496934808,0.013787334539842974,0.013089491016677009,0.0028730290208447713,0.01804161917416236,0.010272946835935003,0.0033819698291936524,0.010397262907404461,0.010272946835935003,0.0,0.0028262290370068555,0.010272946835935003,0.004111311790459851,0.0094401534596667,0.006860110729883222,0.005448238689576463,0.011822533950021898,0.007676005905851471,0.0038179328321895655,0.007070569322811832,0.015352011811702943,0.007635865664379148,0.010733902656145183,0.0,0.00785606405636876,0.007754417069654774,0.0,0.006294479512728063,0.016430180377592658,0.0,0.005416048431394996,0.003206688433181337,8.777083671441753e-18,0.0,0.00340723598947848,,,,,
dar_a08,H,sol,False,,,,,,,0,0,False,False,30,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dar_a08,H,deepseek,False,,,,,,,0,0,False,False,30,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dar_a08,H,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,30,False,True,0,0,0,0.0,[],True,0.03230384719789571,0.006700611013743449,0.21379296044722712,0.005419223882463718,-0.00036476720934683907,0.0030319616889477484,0.13506813594573924,0.0032482430574742836,0.0007221893123922851,0.0005762326914428104,0.01267084601115781,0.007668940218067683,-0.3835037665947947,0.006700611013743443,0.03194275254169956,0.006587667409131201,0.21175214180680466,0.006254888941282474,-0.007696669820919006,0.012509777882564951,0.032668614407242544,0.005398648412022012,0.03158165788550342,0.006485565348256266,0.019633001186737897,0.0033254519084544142,0.41580761379269027,0.0,0.0007998938887960913,0.006652695523182064,0.005335519369149529,0.0031769072219731127,0.004390358526503299,0.00458634673931721,0.0007998938887960913,0.0029245446568506267,0.0012273951094937156,0.0031769072219731127,0.00151894520613086,0.00027522841522477354,0.0007998938887960913,0.0,0.00014043858775459142,0.0007998938887960913,0.0076271104512103845,0.004389597645868011,0.0007998938887960913,0.006652695523182059,0.008742755358628005,0.00039994694439804407,0.00657551551857313,0.00540573866302684,0.00039994694439804575,0.006242089242348627,0.007180769322811808,0.0007998938887960913,0.012484178484697257,0.010954302656145169,0.0,0.005398648412022012,0.006562914478643244,0.0,0.006485565348256266,0.00547595795690412,0.0,0.0033254519084544142,0.0009459217232815169,8.777083671441753e-18,0.0,0.00340723598947848,0.13333333333333333,0.8,0.0,0.06666666666666667,0.0
