case_id,strategy,group_id,plugin_rho_k2,plugin_rho_k3,plugin_rho_k4,plugin_rho_k5,hajek_rho_k2,hajek_rho_k3,hajek_rho_k4,hajek_rho_k5,true_rho_k2,occmle_rho_k2,true_rho_k3,occmle_rho_k3,true_rho_k4,occmle_rho_k4,true_rho_k5,occmle_rho_k5
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,real::sp_highschool2013,0.23809523809523808,0.0,0.0,0.0,0.22961141949143954,0.0,0.0,0.0,0.149364042626332,0.2380956922297087,0.0507047095221725,0.0,0.0163286352698521,0.0,0.006015812994156,0.0
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,real::sp_highschool2013,0.25925925925925924,0.14814814814814814,0.037037037037037035,0.037037037037037035,0.10674507211926122,0.07647344874593086,0.002197512894998013,0.002197512894998013,0.149364042626332,0.4113165404093786,0.0507047095221725,0.2452959483500163,0.0163286352698521,0.2452959483500163,0.006015812994156,0.2452959483500163
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,real::sp_highschool2013,0.029914529914529916,0.0,0.0,0.0,0.011982991396151128,0.0,0.0,0.0,0.149364042626332,0.0954785025925993,0.0507047095221725,2.5715601564859226e-21,0.0163286352698521,2.034381111449743e-29,0.006015812994156,1.2712475434268455e-34
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,real::sp_highschool2013,0.004132231404958678,0.0,0.0,0.0,0.001930036188178528,0.0,0.0,0.0,0.149364042626332,0.0825172875916415,0.0507047095221725,0.0058216190887006,0.0163286352698521,0.0010639434413118,0.006015812994156,0.0002498031434203
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,real::sp_highschool2013,0.016233766233766232,0.0,0.0,0.0,0.005237863643780739,0.0,0.0,0.0,0.149364042626332,0.0564659942079379,0.0507047095221725,1.439638136674271e-26,0.0163286352698521,2.6232215912272613e-36,0.006015812994156,2.4710615164261333e-42
controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,real::sp_highschool2013,0.9375,0.3125,0.125,0.0,0.9961126222319402,0.48759080072350597,0.11491507199246248,0.0,0.5433138535579237,0.9375,0.1866620831900997,0.313484789710958,0.0647988999656239,0.1368808150811346,0.0207975249226538,0.0
controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,real::sp_highschool2013,0.46511627906976744,0.27906976744186046,0.11627906976744186,0.0,0.12400985570449137,0.07871681745834187,0.03505280389393494,0.0,0.5433138535579237,0.7165012154207433,0.1866620831900997,0.4616747591550423,0.0647988999656239,0.2448952872096461,0.0207975249226538,1.5562715882572523e-09
controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,real::sp_highschool2013,0.062111801242236024,0.009316770186335404,0.0,0.0,0.024205626861696604,0.002710106308632077,0.0,0.0,0.5433138535579237,0.2295051522228973,0.1866620831900997,0.0800054834621321,0.0647988999656239,5.484683098354961e-05,0.0207975249226538,1.7910086372017096e-08
controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,real::sp_highschool2013,0.020242914979757085,0.0,0.0,0.0,0.009813084112149532,0.0,0.0,0.0,0.5433138535579237,0.4810343111247909,0.1866620831900997,0.1473728202502557,0.0647988999656239,0.0577048377597992,0.0207975249226538,0.0204629178346748
controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,real::sp_highschool2013,0.03293413173652695,0.0029940119760479044,0.0,0.0,0.012413790634142927,0.0009696962114456296,0.0,0.0,0.5433138535579237,0.1291930594698646,0.1866620831900997,0.0208509655478398,0.0647988999656239,0.0116340166264031,0.0207975249226538,0.0003112415963466
