stratum,arm,method,MAE2,MCSE,between_source_SE,ProfileMAE,signed_plugin_error,valid_fraction,replacement_fraction,empty_fraction,sources
real,H,median,0.22884872807441206,2.3129646346357427e-18,0.031963558135367505,0.11049177002239123,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.15679934307552423, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.31579499307470826, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.21560074628952605, ""mcse"": 1.3877787807814457e-17, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 1.3877787807814457e-17, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.33446062322736403, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.19543570347008532, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 1, ""deterministic_draw"": true}, ""sp_hospital"": {""mean"": 0.15500095930926444, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}}"
real,H,extratrees,0.03546906123836343,0.0002830289184547046,0.008774644888015515,0.030683509634915323,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.023200203295811017, ""mcse"": 0.00025432828547501077, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00025432828547501077, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.023276478359090455, ""mcse"": 0.0011142564815387558, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0011142564815387558, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.06645344733132988, ""mcse"": 0.00015307051769237676, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00015307051769237676, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.05574378372204487, ""mcse"": 0.00036849399024707576, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00036849399024707576, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.033912815400388374, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 1, ""deterministic_draw"": true}, ""sp_hospital"": {""mean"": 0.010227639321515958, ""mcse"": 0.0011909342907400154, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0011909342907400154, ""draws"": 5, ""deterministic_draw"": false}}"
real,B,plugin,0.0823036062185559,0.0007393318525797744,0.0145961106473967,0.041687205465567125,-0.08230360621855588,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.06419017990991328, ""mcse"": 0.0007433819218312358, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0007433819218312358, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.049385678180033615, ""mcse"": 0.0008685151970007083, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0008685151970007083, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.08988742628296062, ""mcse"": 0.0012563147940334422, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0012563147940334422, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.04346092290459206, ""mcse"": 0.0002689163415927732, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0002689163415927732, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.11973395714545351, ""mcse"": 0.0010215434272367297, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0010215434272367297, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.1271634728883823, ""mcse"": 0.003959405007480962, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.003959405007480962, ""draws"": 5, ""deterministic_draw"": false}}"
real,B,corrector,0.055510048504849176,0.0005993832361186532,0.01836247586370256,0.049490040699632566,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.09654552367060432, ""mcse"": 0.0005002567257327857, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0005002567257327857, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.003029245484467505, ""mcse"": 0.0010224973659066982, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0010224973659066982, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.05906371045663901, ""mcse"": 0.0014641038731176292, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0014641038731176292, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.10846980872978165, ""mcse"": 0.0011224057497390097, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0011224057497390097, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.0026087541163543728, ""mcse"": 0.000857069216073648, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.000857069216073648, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.06334324857124823, ""mcse"": 0.0027385487726621074, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0027385487726621074, ""draws"": 5, ""deterministic_draw"": false}}"
real,B,median,0.22884872807441206,2.3129646346357427e-18,0.031963558135367505,0.1116316236469765,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.15679934307552423, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.31579499307470826, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.21560074628952605, ""mcse"": 1.3877787807814457e-17, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 1.3877787807814457e-17, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.33446062322736403, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.19543570347008532, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.15500095930926444, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}}"
real,B,extratrees,0.07800643508523873,0.0005410396726923102,0.02326205368405345,0.03817585200382155,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.01953794877426269, ""mcse"": 0.00027805951714519135, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00027805951714519135, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.006407328733315104, ""mcse"": 0.0013727093197448378, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0013727093197448378, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.09200145757758331, ""mcse"": 0.0006601426270298222, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0006601426270298222, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.0794641981990783, ""mcse"": 0.00118707388088827, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00118707388088827, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.1138378566811992, ""mcse"": 0.0015026758457137002, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0015026758457137002, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.15678982054599377, ""mcse"": 0.002115052252730974, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.002115052252730974, ""draws"": 5, ""deterministic_draw"": false}}"
dar_a0,R,plugin,0.019307614462557986,0.0048943491877491575,0.0020279790991831626,0.00854589378089108,0.0004350551585860618,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.02133559356174115, ""mcse"": 0.007461886258273972, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.007461886258273972, ""draws"": 5, ""deterministic_draw"": false}, ""dar_a0_r2"": {""mean"": 0.017279635363374825, ""mcse"": 0.006335524394638965, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.006335524394638965, ""draws"": 5, ""deterministic_draw"": false}}"
dar_a0,R,corrector,0.019307614462557986,0.0048943491877491575,0.0020279790991831626,0.00854589378089108,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.02133559356174115, ""mcse"": 0.007461886258273972, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.007461886258273972, ""draws"": 5, ""deterministic_draw"": false}, ""dar_a0_r2"": {""mean"": 0.017279635363374825, ""mcse"": 0.006335524394638965, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.006335524394638965, ""draws"": 5, ""deterministic_draw"": false}}"
dar_a0,R,median,0.03568966568008969,0.0,0.00044071406880774594,0.035394403363030257,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.036130379748897434, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""dar_a0_r2"": {""mean"": 0.03524895161128194, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}}"
dar_a0,R,extratrees,0.027510374395583,0.0037743191885088335,0.006527475428641549,0.043037587029393344,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.020982898966941454, ""mcse"": 0.004953872025417885, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.004953872025417885, ""draws"": 5, ""deterministic_draw"": false}, ""dar_a0_r2"": {""mean"": 0.03403784982422455, ""mcse"": 0.0056957083231821155, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0056957083231821155, ""draws"": 5, ""deterministic_draw"": false}}"
dar_a0,S,plugin,0.18230349692539213,0.01283451804423486,0.005719732853052078,0.06887425049547409,0.18230349692539213,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.17658376407234005, ""mcse"": 0.023015185298281657, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.023015185298281657, ""draws"": 5, ""deterministic_draw"": false}, ""dar_a0_r2"": {""mean"": 0.1880232297784442, ""mcse"": 0.011366646796523624, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.011366646796523624, ""draws"": 5, ""deterministic_draw"": false}}"
dar_a0,S,corrector,0.02614655172849185,0.007907165530762544,0.0010656576915145204,0.011561112286548617,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.02721220942000637, ""mcse"": 0.01413956741568576, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.01413956741568576, ""draws"": 5, ""deterministic_draw"": false}, ""dar_a0_r2"": {""mean"": 0.02508089403697733, ""mcse"": 0.00708277489553316, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00708277489553316, ""draws"": 5, ""deterministic_draw"": false}}"
dar_a0,S,median,0.03568966568008969,0.0,0.00044071406880774594,0.035394403363030257,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.036130379748897434, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""dar_a0_r2"": {""mean"": 0.03524895161128194, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}}"
dar_a0,S,extratrees,0.026184808414243525,0.0035091685334452936,0.00030166685866452216,0.047539870013171046,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.025883141555579005, ""mcse"": 0.0052918859756308275, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0052918859756308275, ""draws"": 5, ""deterministic_draw"": false}, ""dar_a0_r2"": {""mean"": 0.02648647527290805, ""mcse"": 0.004610097396521264, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.004610097396521264, ""draws"": 5, ""deterministic_draw"": false}}"
dar_a0,H,plugin,0.014837533958899285,0.0034912962415762985,0.008323057524622467,0.01325414392649292,-0.009650644569550448,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.006514476434276817, ""mcse"": 0.0025282278004125657, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0025282278004125657, ""draws"": 5, ""deterministic_draw"": false}, ""dar_a0_r2"": {""mean"": 0.02316059148352175, ""mcse"": 0.0065088141757927145, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0065088141757927145, ""draws"": 5, ""deterministic_draw"": false}}"
