model,role,strategy,condition,n,median_width,empirical_coverage,width_vs_log_coverage_slope,inverted_share
codex-gpt-5.6-sol,exploratory,time_agnostic_t,mechanism_direction,18,0.20630000000000004,0.7777777777777778,-0.20281906005761385,0.0
codex-gpt-5.6-sol,exploratory,time_respecting,direction_only,18,0.40249999999999997,0.5555555555555556,-0.03409744842966656,0.0
codex-gpt-5.6-sol,exploratory,time_respecting,hidden,18,1.0,0.7222222222222222,-0.34429411510271024,0.0
codex-gpt-5.6-sol,exploratory,time_respecting,mechanism,17,1.0,0.5294117647058824,-0.38778352173655317,0.0
codex-gpt-5.6-sol,exploratory,time_respecting,mechanism_direction,17,0.21999999999999997,0.4117647058823529,0.07394269206864232,0.0
qwen36-27b_nothink,confirmatory,event_sample_then_full_history,direction_only,87,0.12,0.5172413793103449,-0.08119911230626968,0.0
qwen36-27b_nothink,confirmatory,event_sample_then_full_history,hidden,93,0.062000000000000055,0.3010752688172043,-0.07442102208727207,0.0
qwen36-27b_nothink,confirmatory,event_sample_then_full_history,mechanism,96,0.09999999999999998,0.5,-0.07659627371981019,0.0
qwen36-27b_nothink,confirmatory,event_sample_then_full_history,mechanism_direction,97,0.09999999999999998,0.4742268041237113,-0.09582801157009788,0.0
qwen36-27b_nothink,confirmatory,event_sample_then_full_history,mismatched,85,0.09999999999999998,0.1411764705882353,-0.051907216613302415,0.0
qwen36-27b_nothink,confirmatory,node_panel_full_history,direction_only,93,0.06479999999999997,0.7526881720430108,-0.06189445954846323,0.0
qwen36-27b_nothink,confirmatory,node_panel_full_history,hidden,93,0.06940000000000002,0.5483870967741935,-0.05674815934566105,0.0
qwen36-27b_nothink,confirmatory,node_panel_full_history,mechanism,91,0.067,0.6923076923076923,-0.0632010488849518,0.0
qwen36-27b_nothink,confirmatory,node_panel_full_history,mechanism_direction,91,0.06520000000000001,0.7692307692307693,-0.06529226799559525,0.0
qwen36-27b_nothink,confirmatory,recent_history_k20,direction_only,96,0.1,0.20833333333333334,0.010969965045722882,0.0
qwen36-27b_nothink,confirmatory,recent_history_k20,hidden,96,0.03,0.0,0.028740669594168648,0.0
qwen36-27b_nothink,confirmatory,recent_history_k20,mechanism,97,0.045000000000000005,0.08247422680412371,0.023560970278938102,0.0
qwen36-27b_nothink,confirmatory,recent_history_k20,mechanism_direction,96,0.15000000000000002,0.15625,-0.015347488415674891,0.0
qwen36-27b_nothink,confirmatory,time_agnostic_t,direction_only,97,0.09999999999999999,0.2268041237113402,0.03356697545053192,0.0
qwen36-27b_nothink,confirmatory,time_agnostic_t,hidden,96,0.01645,0.052083333333333336,-0.08430243753915147,0.0
