substrate,n,family,rho_target,rep,hub_bias,seed,path,n_events,deviations,rho_headline,rho_event_weighted,mean_span_frac,C_one_step,lifetime_mean_over_T,burstiness_pooled,share_single_event_pairs,rho_W5_k1,rho_W5_k2,rho_W5_k3,rho_W5_k4,rho_W5_k5
ba,400,ba_n400_fam1,0.11955585917893169,2,False,397470,data_grid/ba/ba_n400_fam1/rho0.12_rep2.csv.gz,4721,1,0.12058080808080808,0.1605592035585681,0.23181818181818184,0.08777852802160702,0.1127066677584121,0.27298379343096973,0.3611111111111111,1.0,0.12058080808080808,0.02904040404040404,0.00946969696969697,0.0
ba,400,ba_n400_fam1,0.17133654846115412,0,False,380165,data_grid/ba/ba_n400_fam1/rho0.17_rep0.csv.gz,4721,0,0.17297979797979798,0.2255877991950858,0.24545454545454545,0.12250161186331399,0.13458647146032765,0.2861978938083585,0.3611111111111111,1.0,0.17297979797979798,0.039141414141414144,0.012626262626262626,0.0025252525252525255
ba,400,ba_n400_fam1,0.17133654846115412,1,False,337457,data_grid/ba/ba_n400_fam1/rho0.17_rep1.csv.gz,4721,0,0.17234848484848486,0.2478288498199534,0.24646464646464644,0.12316528398213146,0.13289519153003834,0.2527886513535492,0.3611111111111111,1.0,0.17234848484848486,0.04292929292929293,0.011363636363636364,0.005681818181818182
ba,400,ba_n400_fam1,0.17133654846115412,2,False,767340,data_grid/ba/ba_n400_fam1/rho0.17_rep2.csv.gz,4721,0,0.1717171717171717,0.24952340605803855,0.245959595959596,0.12099871959026888,0.13207227375495653,0.2542414620707382,0.3611111111111111,1.0,0.1717171717171717,0.043560606060606064,0.012626262626262626,0.001893939393939394
ba,400,ba_n400_fam1,0.37906339027575076,0,False,785441,data_grid/ba/ba_n400_fam1/rho0.38_rep0.csv.gz,4721,0,0.3806818181818182,0.5231942385087905,0.3015151515151515,0.23718964606444798,0.21010331477234048,0.19975295577744703,0.3611111111111111,1.0,0.3806818181818182,0.09217171717171717,0.025883838383838384,0.008838383838383838
ba,400,ba_n400_fam1,0.37906339027575076,1,False,108501,data_grid/ba/ba_n400_fam1/rho0.38_rep1.csv.gz,4721,1,0.380050505050505,0.511544164371955,0.30063131313131314,0.22157588577472237,0.21472637119197552,0.20212540186168226,0.3611111111111111,1.0,0.380050505050505,0.09027777777777778,0.027777777777777776,0.005050505050505051
ba,400,ba_n400_fam1,0.37906339027575076,2,False,956808,data_grid/ba/ba_n400_fam1/rho0.38_rep2.csv.gz,4721,1,0.37941919191919193,0.5295488244016098,0.3007575757575758,0.2198952879581152,0.21404888426286403,0.19727669816780025,0.3611111111111111,1.0,0.37941919191919193,0.09406565656565656,0.021464646464646464,0.008838383838383838
ba,400,ba_n400_fam1,0.3891702434980179,0,False,631632,data_grid/ba/ba_n400_fam1/rho0.39_rep0.csv.gz,4721,1,0.3888888888888889,0.5238296970980725,0.30164141414141415,0.2190923317683881,0.21377371235348366,0.19884860937483995,0.3611111111111111,1.0,0.3888888888888889,0.09595959595959595,0.019570707070707072,0.003787878787878788
ba,400,ba_n400_fam1,0.3891702434980179,1,False,102052,data_grid/ba/ba_n400_fam1/rho0.39_rep1.csv.gz,4721,2,0.39015151515151514,0.5176869307350138,0.30378787878787883,0.2318840579710145,0.2124748092955248,0.19295548239711746,0.3611111111111111,1.0,0.39015151515151514,0.09911616161616162,0.022095959595959596,0.007575757575757576
ba,400,ba_n400_fam1,0.3891702434980179,2,False,319033,data_grid/ba/ba_n400_fam1/rho0.39_rep2.csv.gz,4721,0,0.3888888888888889,0.5221351408599872,0.30492424242424243,0.22722620266120777,0.21909690427685424,0.18990909517933252,0.3611111111111111,1.0,0.3888888888888889,0.09848484848484848,0.030303030303030304,0.006944444444444444
ba,400,ba_n400_fam1,0.4033852324244196,0,False,447094,data_grid/ba/ba_n400_fam1/rho0.40_rep0.csv.gz,4721,1,0.40404040404040403,0.5600508366871425,0.3055555555555555,0.22505197505197505,0.2215498824210341,0.18614628818988824,0.3611111111111111,1.0,0.40404040404040403,0.09343434343434344,0.02462121212121212,0.005681818181818182
ba,400,ba_n400_fam1,0.4033852324244196,1,False,484738,data_grid/ba/ba_n400_fam1/rho0.40_rep1.csv.gz,4721,0,0.4046717171717172,0.5636517686930735,0.30593434343434345,0.2186694172253739,0.22590475591267573,0.19003794509037394,0.3611111111111111,1.0,0.4046717171717172,0.10164141414141414,0.021464646464646464,0.001893939393939394
ba,400,ba_n400_fam1,0.4033852324244196,2,False,779679,data_grid/ba/ba_n400_fam1/rho0.40_rep2.csv.gz,4721,2,0.4034090909090909,0.564499046812116,0.30782828282828284,0.22895277207392198,0.22530252783623791,0.18158487527152545,0.3611111111111111,1.0,0.4034090909090909,0.10479797979797979,0.026515151515151516,0.004419191919191919
ba,400,ba_n400_fam1,0.5288773828337232,0,False,572600,data_grid/ba/ba_n400_fam1/rho0.53_rep0.csv.gz,4721,0,0.5284090909090909,0.7095954246981572,0.3407828282828283,0.27087198515769945,0.27336270769137233,0.1430286317891885,0.3611111111111111,1.0,0.5284090909090909,0.13383838383838384,0.034722222222222224,0.006944444444444444
ba,400,ba_n400_fam1,0.5288773828337232,1,False,41804,data_grid/ba/ba_n400_fam1/rho0.53_rep1.csv.gz,4721,2,0.5284090909090909,0.7271764456682906,0.33876262626262627,0.2652113330236879,0.26929680066414197,0.13601339948707197,0.3611111111111111,1.0,0.5284090909090909,0.12436868686868686,0.03345959595959596,0.007575757575757576
ba,400,ba_n400_fam1,0.5288773828337232,2,False,230225,data_grid/ba/ba_n400_fam1/rho0.53_rep2.csv.gz,4721,1,0.5296717171717171,0.7360728659182376,0.34154040404040403,0.27557603686635945,0.275140387898591,0.13837195643354736,0.3611111111111111,1.0,0.5296717171717171,0.1351010101010101,0.03156565656565657,0.011363636363636364
ba,400,ba_n400_fam2,0.07150547165460469,0,False,299186,data_grid/ba/ba_n400_fam2/rho0.07_rep0.csv.gz,4779,1,0.07196969696969698,0.09018623142916929,0.2169191919191919,0.043795620437956206,0.0929307515954749,0.2772674734274812,0.3409090909090909,1.0,0.07196969696969698,0.010101010101010102,0.0025252525252525255,0.0
ba,400,ba_n400_fam2,0.07150547165460469,1,False,4614,data_grid/ba/ba_n400_fam2/rho0.07_rep1.csv.gz,4779,1,0.0726010101010101,0.09688219292739067,0.21893939393939393,0.0569164265129683,0.0945763704226742,0.2733256419752566,0.3409090909090909,1.0,0.0726010101010101,0.015151515151515152,0.005050505050505051,0.001893939393939394
ba,400,ba_n400_fam2,0.07150547165460469,2,False,816987,data_grid/ba/ba_n400_fam2/rho0.07_rep2.csv.gz,4779,0,0.0726010101010101,0.10378740322243148,0.21919191919191922,0.05491329479768786,0.09584331414743313,0.2666605632252975,0.3409090909090909,1.0,0.0726010101010101,0.018308080808080808,0.004419191919191919,0.0006313131313131314
ba,400,ba_n400_fam2,0.1639791979660447,0,False,482401,data_grid/ba/ba_n400_fam2/rho0.16_rep0.csv.gz,4779,1,0.16540404040404041,0.21343377275580666,0.2452020202020202,0.11550940947436729,0.1350324165267361,0.27383362174223336,0.3409090909090909,1.0,0.16540404040404041,0.047979797979797977,0.010732323232323232,0.001893939393939394
ba,400,ba_n400_fam2,0.1639791979660447,1,False,712917,data_grid/ba/ba_n400_fam2/rho0.16_rep1.csv.gz,4779,1,0.16477272727272727,0.20987654320987653,0.2441919191919192,0.11498708010335917,0.13151827980632397,0.2816926242987909,0.3409090909090909,1.0,0.16477272727272727,0.046085858585858584,0.007575757575757576,0.0025252525252525255
ba,400,ba_n400_fam2,0.1639791979660447,2,False,95624,data_grid/ba/ba_n400_fam2/rho0.16_rep2.csv.gz,4779,1,0.16477272727272727,0.23059217409499896,0.2422979797979798,0.11147116007777058,0.13100293353737708,0.27075905968761993,0.3409090909090909,1.0,0.16477272727272727,0.034722222222222224,0.008838383838383838,0.0031565656565656565
ba,400,ba_n400_fam2,0.18042724821913833,0,False,379638,data_grid/ba/ba_n400_fam2/rho0.18_rep0.csv.gz,4779,0,0.18118686868686867,0.24628583385645533,0.24974747474747475,0.13194444444444445,0.13841542300638374,0.2688322839272445,0.3409090909090909,1.0,0.18118686868686867,0.050505050505050504,0.015151515151515152,0.001893939393939394
ba,400,ba_n400_fam2,0.18042724821913833,1,False,890370,data_grid/ba/ba_n400_fam2/rho0.18_rep1.csv.gz,4779,1,0.18118686868686867,0.26239799121155055,0.24848484848484848,0.12227912932138284,0.1422020507444706,0.2690794339287135,0.3409090909090909,1.0,0.18118686868686867,0.046085858585858584,0.011994949494949494,0.0031565656565656565
ba,400,ba_n400_fam2,0.18042724821913833,2,False,373151,data_grid/ba/ba_n400_fam2/rho0.18_rep2.csv.gz,4779,0,0.18181818181818182,0.23770663318685917,0.2492424242424242,0.13104325699745548,0.14007786293321606,0.2645036395324802,0.3409090909090909,1.0,0.18181818181818182,0.050505050505050504,0.010732323232323232,0.0031565656565656565
ba,400,ba_n400_fam2,0.18949344335540202,0,False,896441,data_grid/ba/ba_n400_fam2/rho0.19_rep0.csv.gz,4779,0,0.19065656565656566,0.24210085792006697,0.25202020202020203,0.14007537688442212,0.1392112313523924,0.2659574907871005,0.3409090909090909,1.0,0.19065656565656566,0.049873737373737376,0.017045454545454544,0.0025252525252525255
ba,400,ba_n400_fam2,0.18949344335540202,1,False,966349,data_grid/ba/ba_n400_fam2/rho0.19_rep1.csv.gz,4779,0,0.1900252525252525,0.2780916509730069,0.25,0.13454317897371715,0.13724812260067146,0.24848672834746674,0.3409090909090909,1.0,0.1900252525252525,0.046085858585858584,0.010732323232323232,0.0031565656565656565
