graph_id,stratum,arm,method,hidden_MAE_2,hidden_ProfileMAE,hidden_validity,released_MAE_2,released_ProfileMAE,released_validity,delta_MAE_2,delta_ProfileMAE
dar_a0_r1,synthetic,R,et,0.03885295381382973,0.014928010271017507,1.0,0.03916188988025199,0.015160678779725737,1.0,0.0003089360664222593,0.00023266850870823017
dar_a0_r1,synthetic,R,median,0.03196634940298587,0.034292410348295735,1.0,0.03196634940298587,0.034292410348295735,1.0,0.0,0.0
dar_a0_r1,synthetic,R,mle,0.031722320439511044,0.01239977539410618,1.0,0.031722320439511044,0.01239977539410618,1.0,0.0,0.0
dar_a0_r1,synthetic,R,plugin,0.038220417057527566,0.012500687455667672,1.0,0.038220417057527566,0.012500687455667672,1.0,0.0,0.0
dar_a0_r1,synthetic,R,qwen_nonthinking,0.3102148612354521,0.24529294737889185,1.0,0.467803750124341,0.398504058490003,1.0,0.1575888888888889,0.15321111111111113
dar_a0_r1,synthetic,R,qwen_thinking,0.038213064856261816,0.012496151919824929,1.0,0.03822073152292848,0.012500457475380485,1.0,7.66666666666277e-06,4.3055555555560066e-06
dar_a0_r2,synthetic,H,et,0.030686285337967228,0.019575979602578668,1.0,0.031121997027168762,0.02071737977187584,1.0,0.00043571168920153447,0.0011414001692971708
dar_a0_r2,synthetic,H,median,0.04158705152464143,0.03587594360391408,1.0,0.04158705152464143,0.03587594360391408,1.0,0.0,0.0
dar_a0_r2,synthetic,H,mle,0.03683191693782597,0.0183398120465363,1.0,0.03683191693782597,0.0183398120465363,1.0,0.0,0.0
dar_a0_r2,synthetic,H,plugin,0.147874614910533,0.05650620344309501,1.0,0.147874614910533,0.05650620344309501,1.0,0.0,0.0
dar_a0_r2,synthetic,H,qwen_nonthinking,0.1501980530379322,0.1269838872104733,1.0,0.2541497146693521,0.23762168512923798,1.0,0.10395166163141989,0.11063779791876469
dar_a0_r2,synthetic,H,qwen_thinking,0.23846396750587445,0.10866350288687479,1.0,0.23274572835243534,0.10631447325724516,1.0,-0.005718239153439109,-0.0023490296296296287
dar_a0_r2,synthetic,R,et,0.035441712511690725,0.012580534063744831,1.0,0.03588103377654014,0.012849054969316258,1.0,0.0004393212648494127,0.0002685209055714264
dar_a0_r2,synthetic,R,median,0.04158705152464143,0.03587594360391408,1.0,0.04158705152464143,0.03587594360391408,1.0,0.0,0.0
dar_a0_r2,synthetic,R,mle,0.032614512012161666,0.011306394251131722,1.0,0.032614512012161666,0.011306394251131722,1.0,0.0,0.0
dar_a0_r2,synthetic,R,plugin,0.03565978227895835,0.013613914438255494,1.0,0.03565978227895835,0.013613914438255494,1.0,0.0,0.0
dar_a0_r2,synthetic,R,qwen_nonthinking,0.28814971466935213,0.2155105740181269,1.0,0.3867052702249077,0.30553835179590466,1.0,0.09855555555555556,0.09002777777777776
dar_a0_r2,synthetic,R,qwen_thinking,0.04092039308492782,0.015046808073178918,1.0,0.035665502517623356,0.013609994461228597,1.0,-0.0052548905673044655,-0.0014368136119503206
nr_digg_reply,real,H,et,0.013491714471792508,0.004985103624859817,1.0,0.013339877516909964,0.0050710318116763626,1.0,-0.0001518369548825435,8.592818681654561e-05
nr_digg_reply,real,H,median,0.41577956759326407,0.1622271565826036,1.0,0.41577956759326407,0.1622271565826036,1.0,0.0,0.0
nr_digg_reply,real,H,mle,0.00031262755372715826,0.00011173699138151626,1.0,0.00031262755372715826,0.00011173699138151626,1.0,0.0,0.0
nr_digg_reply,real,H,plugin,0.0015873384756760972,0.0004226277501769981,1.0,0.0015873384756760972,0.0004226277501769981,1.0,0.0,0.0
nr_digg_reply,real,H,qwen_nonthinking,0.29666722251580446,0.13690506233730648,1.0,0.04005055487053021,0.010069122319430582,1.0,-0.25661666764527424,-0.1268359400178759
nr_digg_reply,real,H,qwen_thinking,0.0015847602303642376,0.0004220144464505901,1.0,0.06296767042608577,0.018882481629642674,1.0,0.06138291019572153,0.018460467183192084
nr_digg_reply,real,R,et,0.013258852783223668,0.004150717942835301,1.0,0.007571353711024476,0.002467606678525095,1.0,-0.005687499072199192,-0.0016831112643102063
nr_digg_reply,real,R,median,0.41577956759326407,0.1622271565826036,1.0,0.41577956759326407,0.1622271565826036,1.0,0.0,0.0
nr_digg_reply,real,R,mle,0.0008147834979612352,0.00023658423661402275,1.0,0.0008147834979612352,0.00023658423661402275,1.0,0.0,0.0
nr_digg_reply,real,R,plugin,0.0007060875411398871,0.0002164373653452159,1.0,0.0007060875411398871,0.0002164373653452159,1.0,0.0,0.0
nr_digg_reply,real,R,qwen_nonthinking,0.3514783336269156,0.25174395122619536,1.0,0.2082421114046934,0.0827612845595287,1.0,-0.1432362222222222,-0.16898266666666667
nr_digg_reply,real,R,qwen_thinking,0.0007060731327191075,0.00021278792341785494,1.0,0.0006935267508621534,0.00020860328490106278,1.0,-1.254638185695415e-05,-4.18463851679216e-06
nr_digg_reply__pwt,surrogate,H,et,0.011872622834951871,0.004088364968492397,1.0,0.012387524366541355,0.004499111125385016,1.0,0.0005149015315894841,0.0004107461568926187
nr_digg_reply__pwt,surrogate,H,median,0.41069472231113147,0.1607739242415784,1.0,0.41069472231113147,0.1607739242415784,1.0,0.0,0.0
nr_digg_reply__pwt,surrogate,H,mle,0.003506620835885876,0.0010591375436842536,1.0,0.003506620835885876,0.0010591375436842536,1.0,0.0,0.0
nr_digg_reply__pwt,surrogate,H,plugin,0.002631654248732872,0.0007779682914044258,1.0,0.002631654248732872,0.0007779682914044258,1.0,0.0,0.0
nr_digg_reply__pwt,surrogate,H,qwen_nonthinking,0.061538871600153956,0.023547577619895746,1.0,0.00814984440138571,0.0022547119957724154,1.0,-0.053389027198768244,-0.02129286562412333
nr_digg_reply__pwt,surrogate,H,qwen_thinking,0.06388558091573407,0.01927876770269437,1.0,0.06592929533279655,0.01982232247497863,1.0,0.002043714417062484,0.000543554772284259
nr_digg_reply__pwt,surrogate,R,et,0.012463752900226993,0.003861894707341731,1.0,0.00758371602549282,0.0024500709112650274,1.0,-0.004880036874734173,-0.0014118237960767037
nr_digg_reply__pwt,surrogate,R,median,0.41069472231113147,0.1607739242415784,1.0,0.41069472231113147,0.1607739242415784,1.0,0.0,0.0
nr_digg_reply__pwt,surrogate,R,mle,0.0006958424530110943,0.0003714585345327463,1.0,0.0006958424530110943,0.0003714585345327463,1.0,0.0,0.0
nr_digg_reply__pwt,surrogate,R,plugin,0.0006531013096613385,0.00024178839746281084,1.0,0.0006531013096613385,0.00024178839746281084,1.0,0.0,0.0
nr_digg_reply__pwt,surrogate,R,qwen_nonthinking,0.48677234324336666,0.32563522400328815,1.0,0.27665001728873495,0.19205633681065248,1.0,-0.2101223259546317,-0.13357888719263566
nr_digg_reply__pwt,surrogate,R,qwen_thinking,0.0006657073322025687,0.0002550909448528859,1.0,0.0005987942785476164,0.0002657440316984063,1.0,-6.691305365495227e-05,1.065308684552042e-05
snap_collegemsg,real,H,et,0.08575167261836698,0.037193964848290816,1.0,0.06448951332319162,0.026013179222517877,1.0,-0.02126215929517536,-0.011180785625772939
snap_collegemsg,real,H,median,0.31579499307470826,0.13311101808443854,1.0,0.31579499307470826,0.13311101808443854,1.0,0.0,0.0
snap_collegemsg,real,H,mle,0.10977175616854518,0.03761980574624902,1.0,0.10977175616854518,0.03761980574624902,1.0,0.0,0.0
snap_collegemsg,real,H,plugin,0.018657779724776762,0.006688988898030135,1.0,0.018657779724776762,0.006688988898030135,1.0,0.0,0.0
snap_collegemsg,real,H,qwen_nonthinking,0.2969614427261486,0.1668418525477349,1.0,0.3183057924234395,0.1778436190200896,1.0,0.021344349697290876,0.011001766472354707
snap_collegemsg,real,H,qwen_thinking,0.08468306977164328,0.0297410322255745,0.8888888888888888,0.17690231525107994,0.05546565531844679,1.0,0.09221924547943666,0.025724623092872292
snap_collegemsg,real,R,et,0.00741241141991444,0.003616343359684787,1.0,0.006806804918886138,0.0034038915085648686,1.0,-0.000605606501028302,-0.00021245185111991825
snap_collegemsg,real,R,median,0.31579499307470826,0.13311101808443854,1.0,0.31579499307470826,0.13311101808443854,1.0,0.0,0.0
snap_collegemsg,real,R,mle,0.008338342898411613,0.002812367752777213,1.0,0.008338342898411613,0.002812367752777213,1.0,0.0,0.0
snap_collegemsg,real,R,plugin,0.0029870177418446823,0.0017338570636275463,1.0,0.0029870177418446823,0.0017338570636275463,1.0,0.0,0.0
snap_collegemsg,real,R,qwen_nonthinking,0.29361709302885775,0.14760245539657305,1.0,0.2243948708066355,0.10733238184708774,1.0,-0.06922222222222224,-0.04027007354948531
