graph_id,stratum,length,L,paths,traversal_rho2,traversal_rho2_MCSE,traversal_AE2,traversal_AE2_MCSE,traversal_ProfileAE,traversal_ProfileAE_MCSE,finite_vs_local_stationary_rho2,finite_vs_local_stationary_rho2_MCSE,finite_vs_local_stationary_ProfileAE,finite_vs_local_stationary_ProfileAE_MCSE,plugin_AE2,plugin_AE2_MCSE,edge_traversal_hhi,edge_traversal_hhi_MCSE,max_edge_traversal_share,max_edge_traversal_share_MCSE,node_traversal_hhi,node_traversal_hhi_MCSE,top_degree_one_percent_node_traversal_share,top_degree_one_percent_node_traversal_share_MCSE,repeated_step_fraction,repeated_step_fraction_MCSE,distinct_dyad_coverage,distinct_dyad_coverage_MCSE,cell_coverage,cell_coverage_MCSE,traversal_mean_bias_rho2
snap_collegemsg,real,primary,1574,32,0.10403430749682338,0.0010364333982448893,0.004955526171143931,0.000559737294345504,0.002470789551697598,0.00017646323698357309,0.0009623884509252908,0.0010364333982448893,0.00247055792963356,0.0001763637726843618,0.0060287107480339296,0.0005676085908532136,0.0008069200266723065,2.943419173651891e-06,0.002918519695044473,0.00013337465344624572,0.0027726555171472904,2.1771439780111754e-05,0.12300468551461244,0.0015013070118278606,0.11934164548919948,0.001495992502648023,0.10017027388350917,0.00017016130937765465,0.10048849554666323,0.0002302661846765883,0.0009847338590144444
snap_collegemsg,real,longer,6296,32,0.10392014771283355,0.0005980975004555996,0.002869874256760888,0.0003413001796770134,0.001249187968171543,8.468165825211536e-05,0.0008482286669354556,0.0005980975004555996,0.0012481038006244404,8.440233785755463e-05,0.0034424540927966985,0.0004162182927832723,0.00025571167238350753,6.662934387716651e-07,0.001196195997458704,8.84978601493474e-05,0.002200044962594996,9.458068541112839e-06,0.121778708703939,0.0008968189910945604,0.2431504129606099,0.0008335501119750543,0.344350700968348,0.0003792478324176135,0.34546033948625277,0.0004135383820544101,0.0008705740750246105
snap_mathoverflow,real,primary,21213,32,0.08486541271861595,0.00037319215493627887,0.0016146837822047615,0.0002502935583529012,0.0007571949897700356,8.321554690611411e-05,0.00046036640039567606,0.00037319215493627887,0.0007573336644851481,8.280045857111963e-05,0.0053712151554928455,0.00037795462535003045,5.9434334394977515e-05,4.91204229094883e-08,0.0004110097581671617,2.097919467451237e-05,0.0008339916209592888,2.3689706531629834e-06,0.3499961698015368,0.0005042619564356483,0.1156955640409183,0.0003141055341885737,0.09978801612886065,3.5444770869863874e-05,0.10043527197534946,6.137403369899482e-05,0.0004814692334628029
snap_mathoverflow,real,longer,84852,32,0.08447097593456843,0.0001628269047504096,0.0007618807065521331,8.962341724222885e-05,0.00035605576042461995,2.5281982278386398e-05,6.592961634815844e-05,0.0001628269047504096,0.00035599676894758196,2.5331436894842202e-05,0.004313790182318167,0.000153616156488703,1.8834145961142735e-05,9.033409737720679e-09,0.00014363244237024467,7.712810648065356e-06,0.0007963713421106727,9.031419926030869e-07,0.35003852295762033,0.00021470165323124772,0.24079978963371518,0.00021924764306467459,0.34268326497717916,9.896269408000397e-05,0.3444378153797496,0.0001346780562695216,8.703244941528354e-05
nr_digg_reply,real,primary,11485,32,0.0029005224205485413,0.00017746302696264074,0.0007030992320669468,0.00012813689232105916,0.0002026800209671692,3.2562825949162747e-05,1.4409966107098114e-05,0.00011576283594528268,0.00015260049353411806,1.839186939199256e-05,0.0009454995931687434,0.00013149025389980217,0.06263652463350106,0.043469190301543864,0.06358293426208098,0.04342531971867355,0.031530929214517465,0.021724732978809638,0.14073791902481497,0.006552408991671134,0.28827818894209833,0.03300858028176798,0.09599113381480828,0.0044519234870072835,0.0960490851945498,0.004454585332484756,-0.00016447669870458528
nr_digg_reply,real,longer,45940,32,0.0028760339573356553,0.00014244022379465764,0.0004021302532985063,0.00012737610423028432,0.00011549790503728673,3.27703592890607e-05,-1.0078497105788317e-05,5.0011102472268815e-05,6.487202086027612e-05,8.559422624531773e-06,0.0006632162959268901,0.00011756323081856478,0.06254234541907835,0.04347355775582353,0.06292038528515456,0.043456035860129034,0.031437671930381265,0.02172905766692587,0.14267216750108835,0.00662788979321806,0.3939744775794515,0.02810572655719705,0.32694278081146144,0.015162668992280338,0.3271033062930187,0.015170080780627732,-0.00018896516191747132
sp_hospital__pwt,surrogate,primary,124,32,0.8205645161290323,0.005346452631260306,0.025098947860318913,0.003864240102083044,0.038699742806366656,0.003996110299806394,-0.014378416267807097,0.005346452631260306,0.038699742806366656,0.003996110299806394,0.021753454773475584,0.0030695817642009964,0.009320531997918834,5.435359066518419e-05,0.020161290322580645,0.0007242149275273181,0.023756584937565037,0.00024792206357300583,0.027217741935483868,0.002367584761871409,0.07333669354838711,0.0031014535979525452,0.1008834503950834,0.0003376472749307419,0.09964075050200802,0.0008638964111453872,-0.014378416267807115
sp_hospital__pwt,surrogate,longer,496,32,0.8328503024193548,0.002630517226075097,0.012982204873403378,0.0012744347769876325,0.0161838634669985,0.001261308500691309,-0.002092629977484512,0.002630517226075097,0.0161838634669985,0.001261308500691309,0.00910971452100627,0.0011002493029904175,0.003008188491805411,1.4149164200218162e-05,0.008127520161290322,0.0002636862069533597,0.018536078446117325,0.00011967514945425235,0.027280745967741937,0.001363126526682725,0.20854334677419356,0.0023202752739089703,0.3446553994732221,0.0010104096012808162,0.3452089608433735,0.0016231913777208938,-0.0020926299774846058
sp_highschool2013__pwt,surrogate,primary,632,32,0.6625791139240507,0.0035679160281705305,0.01655399028984689,0.0019764448408298575,0.015918056712907566,0.0014415603688514226,-0.0007072387744712534,0.00356791602817053,0.015918056712907566,0.0014415603688514226,0.017385203144744146,0.0017320429668526626,0.0018583009533728564,7.650016919600428e-06,0.00479628164556962,0.00013261862719972324,0.005207029372296107,3.859762754306163e-05,0.0267998417721519,0.0012118306561160923,0.08109177215189874,0.002020767480311276,0.09981952561017532,0.00021951272732154153,0.09973166368515207,0.00048403906346122783,-0.0007072387744712083
sp_highschool2013__pwt,surrogate,longer,2528,32,0.6644333465189873,0.0019308287160212795,0.008960250216482231,0.0010865838199516156,0.007712348705498758,0.0008332573948459106,0.0011469938204654653,0.00193082871602128,0.007712348705498758,0.0008332573948459106,0.008231182621086054,0.0009442850870466949,0.0005925231552185149,1.2615138265854366e-06,0.001977848101265823,4.699277722621553e-05,0.003934312871472421,1.1303237617215917e-05,0.027912381329113924,0.000644072338601869,0.2091079905063291,0.0010731814050864298,0.34365331729116533,0.0004663118927567024,0.3436475104353011,0.0008876579766058958,0.0011469938204654584
