h,graph_id,stratum,draws,defined_draws,n_panel,budget_matched,node_share,expected_coverage,realized_coverage,node_selection_abs_rho2,node_selection_profile_abs,dyad_disappearance_abs_rho2,dyad_disappearance_profile_abs,within_dyad_history_abs_rho2,within_dyad_history_profile_abs,net_history_abs_rho2,net_history_profile_abs,total_abs_rho2,total_profile_abs,median_AE2,median_ProfileAE,plugin_AE2,plugin_ProfileAE,homogeneous_AE2,homogeneous_ProfileAE,extratrees_pooled_AE2,extratrees_pooled_ProfileAE,extratrees_real_only_AE2,extratrees_real_only_ProfileAE,history_share_abs_rho2,history_minus_selection_abs_rho2,history_minus_selection_abs_rho2_MCSE,history_share_profile_abs,history_minus_selection_profile_abs,history_minus_selection_profile_abs_MCSE
0.6,snap_mathoverflow,real,3,3,10699,True,0.4321256916676764,0.10000832005630671,0.09823794668315149,0.00841725863705628,0.003411441539392906,0.03810925454873573,0.014948784288050096,0.05824722832788413,0.023602126011684033,0.020137973779148395,0.008653341723633936,0.020925612557903484,0.009011963772891216,0.3344606232273641,0.13551195946354852,0.020925612557903484,0.009011963772891216,0.056261481983722744,0.017766922908499044,0.05328796925406787,0.014649763694231509,0.04710106728693225,0.01320092425466129,0.7052288521287045,0.011720715142092115,9.919728277638684e-05,0.7172397162038172,0.00524190018424103,0.0005387914064395107
0.6,nr_digg_reply,real,3,3,11520,True,0.3794466403162055,0.10000751814462137,0.09972140281874796,0.0005328953062994074,0.0001725655064736258,0.0005635288393162018,0.00015275490900338315,0.0018790874181303522,0.0004993751701039321,0.0013155585788141501,0.0003466202611005489,0.0018484538851135577,0.00048763896532836806,0.41577956759326407,0.1622271565826036,0.0018484538851135577,0.00048763896532836806,0.0008773826518242494,0.0002537180051828426,0.024577354372419858,0.006344208976961272,0.05102048548447544,0.014808856470245872,0.711707546187083,0.0007826632725147429,0.00026889131210273385,0.6676228100783371,0.00017405475462692308,5.360542809277413e-05
0.6,sp_hospital__pwt,surrogate,3,3,30,True,0.4000000000000001,0.09875990448279605,0.0818273092369478,0.017020196243307046,0.011635233371254744,0.043098756607219624,0.03460096797484057,0.11856493084563254,0.32710653949689034,0.07546617423841291,0.29250557152204976,0.07516849630661378,0.2922869502023846,0.5448165870528993,0.5076319653301338,0.07516849630661378,0.2922869502023846,0.15346761811998058,0.14909320358089195,0.033943944502630864,0.0715892250708635,0.28424600358869606,0.2727935159980452,0.8159707624522783,0.05844597799510587,0.014511175204448569,0.9617439252344435,0.28087033815079504,0.006795890496594359
0.6,sp_highschool2013__pwt,surrogate,3,3,134,True,0.40978593272171254,0.100040395688455,0.1011329755515802,0.005326332502973097,0.015273809047634252,0.09927437954983502,0.07796060277473693,0.14088595170426133,0.289607103076427,0.04161157215442631,0.21164650030169008,0.036285239651453215,0.20864426277423198,0.37316000735458177,0.356493405104684,0.036285239651453215,0.20864426277423198,0.2894746817917548,0.19211710450595512,0.08506286591689878,0.1043716128891899,0.11639016491632326,0.12343352946396645,0.8865238544018935,0.036285239651453215,0.008589453176333951,0.9326908680345507,0.19637269125405585,0.006732166330127754
0.6,copenhagen_bluetooth__pwt,surrogate,3,3,281,True,0.40606936416184974,0.10006430135292342,0.09700771161157605,0.0020410197787492645,0.004251149208241147,0.08043776723920011,0.06608643774469004,0.1280709573018484,0.30920739531048475,0.04763319006264829,0.24312095756579466,0.047481240205082854,0.24358153626566192,0.424635379791229,0.41418244638999036,0.047481240205082854,0.24358153626566192,0.25406528875874784,0.18904860874324783,0.04657610301074885,0.10468926934983984,0.19336153268749615,0.20639323164646436,0.9589118823376166,0.045592170283899024,0.0014168373627138219,0.9828147592560854,0.23886980835755353,0.0028683829049347704
0.6,sp_workplace__pwt,surrogate,3,3,100,True,0.4608294930875576,0.10037014507262611,0.10102289332683878,0.018449613418613914,0.010903846203020776,0.15197087034850176,0.10070141707912687,0.2616410948785618,0.32203574496447923,0.10967022453006003,0.22133432788535234,0.11049792904092692,0.22000866569495328,0.21335009870629426,0.19349481119196707,0.11049792904092692,0.22000866569495328,0.0795610811642512,0.10833513472534022,0.10284316199743293,0.13401060338606877,0.19416486934306534,0.16252136754918597,0.8559972154663119,0.09122061111144612,0.01928741748578173,0.9530488635392408,0.21043048168233158,0.009545321151306933
0.6,snap_email_eu__pwt,surrogate,3,3,448,True,0.4543610547667343,0.0999745791801963,0.10792676541897235,0.005712778866821866,0.007068411089767877,0.1346423428071415,0.09542547404737084,0.3261147200569004,0.34425753237174433,0.19147237724975888,0.2488320583243735,0.185759598382937,0.24249972966272215,0.39706239967598017,0.2799181906222904,0.185759598382937,0.24249972966272215,0.08701803875611484,0.10271567505909064,0.11175946930036744,0.1287170135659766,0.22455469452015034,0.16059812998697012,0.9710283523398469,0.185759598382937,0.007487265917875648,0.9723782800947951,0.24176364723460564,0.0019782561415013626
0.6,snap_collegemsg__pwt,surrogate,3,3,1161,True,0.6113744075829384,0.09997219791121874,0.1024433362357846,0.004535254947950577,0.003267359611532269,0.33578735618280814,0.21624548038204416,0.5974226012837588,0.3436988738135345,0.26163524510095065,0.12745339343149034,0.2638294589942702,0.12984735544597606,0.09098344311549261,0.04343183492900269,0.2638294589942702,0.12984735544597606,0.017007456131569565,0.04157269397811395,0.15065902451720048,0.0765362242742207,0.16706060665391131,0.05929852844052183,0.982961090928118,0.25709999015300006,0.005240921963795117,0.9750050429218617,0.12418603381995807,0.0023673354761544205
0.6,snap_mathoverflow__pwt,surrogate,3,3,10649,True,0.4301062239993538,0.09999929009914536,0.10063993849354408,0.011044145867759758,0.006897278223377265,0.13507169279887896,0.061878240464741115,0.25327652322951794,0.1313435583343206,0.11820483043063905,0.06946531786957948,0.1201826783648069,0.07060036265710036,0.06805780599629363,0.02597822558307095,0.1201826783648069,0.07060036265710036,0.11575449794723751,0.047887227387769675,0.08388725325977464,0.027643412788008265,0.0821807710067969,0.026767698284032127,0.9145513861381617,0.10716068456287926,0.005434588021353366,0.9096772690260404,0.06256803964620221,0.003611097305115285
0.6,nr_digg_reply__pwt,surrogate,3,3,11521,True,0.37947957839262186,0.10000335917466724,0.09869689528221004,0.0005578625858378497,0.00023399578664633287,0.002874311323394631,0.0007815271892479646,0.005530885784843451,0.0015606133198434833,0.0026565744614488198,0.0007790861305955189,0.0032144370472866695,0.0009910529896246633,0.41069472231113147,0.1607739242415784,0.0032144370472866695,0.0009910529896246633,0.0019252288197133978,0.0006857498842601058,0.02121693343688352,0.00538744083356208,0.044194378769381225,0.012802842771320063,0.8264509220024248,0.00209871187561097,0.0002712029920268986,0.769025798739559,0.0005450903439491861,7.935239774244978e-05
