graph_id,stratum,components,largest_node_share,largest_edge_share,largest_cell_share,node_vs_edge_component_total_variation,expected_ceiling_cells,target_cells,unreachable,L,validated_coverage,validation_mcse_relative_to_target,budget_matched,stationary_component_mixture_profile,stationary_mixture_signed_rho2,stationary_mixture_ProfileAE
snap_mathoverflow__pwt,surrogate,45,0.9963245688436528,0.9997499813815922,0.9997998778915949,0.0034254125379394045,293677.631245204,29482.0,False,21046,0.09999128506906757,0.00015763517656735524,True,"[0.350264167343763, 0.13805416278112367, 0.05760008854638105, 0.021348411126660194]",-0.000522593372460578,0.0002603621195284879
nr_digg_reply__pwt,surrogate,335,0.9766798418972332,0.9956080089249016,0.9956472655749916,0.01892816702766843,83554.01212121225,8592.300000000001,False,11487,0.09989466177202262,0.0050442504404973445,True,"[0.007994902280896426, 0.0006796818941972465, 0.000149760417365495, 2.3040064210076153e-05]",-0.0001549421204892834,4.2865831605104336e-05
dar_a0_r1,synthetic,1,1.0,1.0,1.0,0.0,4963.0,496.3,False,384,0.10009519664265565,0.0009803982136434674,True,"[0.38645180543121455, 0.08296031035511787, 0.011339898537749925, 0.0002984183825723665]",0.0,0.0
dar_a08_r1,synthetic,1,1.0,1.0,1.0,0.0,4983.0,498.3,False,207,0.0997197110801726,0.001672990207639463,True,"[0.784472049689441, 0.5937888198757764, 0.41677018633540375, 0.3]",0.0,0.0
dar_a0_r2,synthetic,1,1.0,1.0,1.0,0.0,4945.0,494.5,False,379,0.09991211924924166,0.0009634609855287893,True,"[0.3960725075528701, 0.086404833836858, 0.011178247734138972, 0.00030211480362537764]",0.0,0.0
dar_a08_r2,synthetic,1,1.0,1.0,1.0,0.0,4898.0,489.8,False,201,0.09980935298846468,0.0018260906986106728,True,"[0.7784200385356455, 0.6017983301220295, 0.4489402697495183, 0.3166345536287733]",0.0,0.0
ad_memoryless_r1,synthetic,1,1.0,1.0,1.0,0.0,11034.0,1103.4,False,1127,0.10000428363467465,0.00033872991817753743,True,"[0.054890315164287766, 0.002107481559536354, 0.0, 0.0]",0.0,0.0
ad_memory_r1,synthetic,1,1.0,1.0,1.0,0.0,5745.0,574.5,False,252,0.09967277931897302,0.0014023979603353894,True,"[0.7963496637848223, 0.5422670509125841, 0.3025936599423631, 0.11815561959654179]",0.0,0.0
ad_memoryless_r2,synthetic,1,1.0,1.0,1.0,0.0,10622.0,1062.2,False,1075,0.09996269167176615,0.0003708367419382294,True,"[0.06162042621632489, 0.005729794933655006, 0.0004020908725371934, 0.0]",0.0,0.0
ad_memory_r2,synthetic,1,1.0,1.0,1.0,0.0,5545.0,554.5,False,248,0.10029006283814247,0.0014187734627099098,True,"[0.7825443786982249, 0.5463510848126233, 0.2953648915187377, 0.10996055226824458]",0.0,0.0
