graph_id,stratum,length,L,paths,distinct_dyad_coverage,cell_coverage,repeated_step_fraction,edge_traversal_hhi,top_degree_one_percent_node_traversal_share,plugin_rho2_mean,plugin_rho2_sd,plugin_rho2_bias,plugin_rho2_bias_MCSE,plugin_rho2_rmse,plugin_rho2_minus_component_target,plugin_rho3_mean,plugin_rho3_sd,plugin_rho3_bias,plugin_rho3_bias_MCSE,plugin_rho3_rmse,plugin_rho3_minus_component_target,plugin_rho4_mean,plugin_rho4_sd,plugin_rho4_bias,plugin_rho4_bias_MCSE,plugin_rho4_rmse,plugin_rho4_minus_component_target,plugin_rho5_mean,plugin_rho5_sd,plugin_rho5_bias,plugin_rho5_bias_MCSE,plugin_rho5_rmse,plugin_rho5_minus_component_target,plugin_ProfileAE_mean,design_rho2_mean,design_rho2_sd,design_rho2_bias,design_rho2_bias_MCSE,design_rho2_rmse,design_rho2_minus_component_target,design_rho3_mean,design_rho3_sd,design_rho3_bias,design_rho3_bias_MCSE,design_rho3_rmse,design_rho3_minus_component_target,design_rho4_mean,design_rho4_sd,design_rho4_bias,design_rho4_bias_MCSE,design_rho4_rmse,design_rho4_minus_component_target,design_rho5_mean,design_rho5_sd,design_rho5_bias,design_rho5_bias_MCSE,design_rho5_rmse,design_rho5_minus_component_target,design_ProfileAE_mean
snap_collegemsg,real,L,1623,1000,0.0954786818904466,0.10037608106363755,0.1859309919901417,0.0019058489542463557,0.31303666050523726,0.14819069044679728,0.00976616677895065,0.045141116808988344,0.0003088333103055422,0.04618444610800755,0.045444433072450205,0.02259775404470315,0.00348497011668261,0.009590093978219553,0.00011020443146339808,0.010203076703060678,0.009628380743593422,0.0055165534333942055,0.0016082645572944394,0.0022646384167733066,5.085779081172794e-05,0.0027771416114574965,0.002274210108116774,0.0006249952462634795,0.000557008352524293,0.000263671355527824,1.761415069714765e-05,0.0006160118750502504,0.0002647348767882093,0.01446019739953562,0.10314101190553865,0.02138041774939641,9.143826772971264e-05,0.0006761081741398377,0.02136992049195251,0.000394754531191574,0.012886413245766924,0.006131653748700785,-0.00012124682071667191,0.00019389991669404192,0.006129786399850842,-8.296005534280324e-05,0.003176404443801612,0.002759447735341278,-7.551057281928678e-05,8.726139927871949e-05,0.0027591011396618874,-6.593888147581961e-05,0.0003692423379086228,0.0006417753566396569,7.918447172967317e-06,2.0294718731481814e-05,0.0006415032615561669,8.981968433352582e-06,0.00537965885895913
snap_collegemsg,real,4L,6492,1000,0.2747157103627692,0.2844625661546405,0.41443068391866916,0.0014071962686717314,0.3133710720887246,0.1356722703332253,0.005701888883892097,0.032622696695416356,0.00018030955838294394,0.033116753539387554,0.03292601295887822,0.01847098139254733,0.0014934514490859193,0.0054633213260637335,4.722708153990496e-05,0.005663571906965502,0.005501608091437602,0.0045826206603235406,0.0007199312967514438,0.0013307056437026417,2.276622656573143e-05,0.0015127988237542474,0.0013402773350461089,0.0005150809962559704,0.00023179491375467307,0.00015375710552031495,7.329998775070589e-06,0.0002780582684591109,0.00015482062678070022,0.009973016325707323,0.10289836147487273,0.011046604194525635,-0.000151212162936204,0.0003493242966507073,0.011042114919004451,0.00015210410052565737,0.012947222214971195,0.0030845378878148542,-6.043785151240051e-05,9.754165254579872e-05,0.003083587576392049,-2.215108613853184e-05,0.0031911699683968243,0.001270759373971887,-6.074504822407454e-05,4.0184939797608536e-05,0.0012715756045295263,-5.1173356880607375e-05,0.0003573067966229353,0.0003381725776917505,-4.017094112720152e-06,1.0693955877161782e-05,0.0003380273193922213,-2.9535728523348874e-06,0.0028836157241039456
snap_mathoverflow,real,L,19557,1000,0.07609557094677263,0.1003206486579738,0.2685533568543233,0.005094139364455019,0.7427643554737435,0.30398444623706616,0.02177598984454139,0.219600502751913,0.0006886172621344674,0.2206764607946865,0.2198896248558368,0.10835658226655794,0.00788577164401818,0.08912642682945092,0.00024936999503067964,0.08947425980924709,0.08919231451814061,0.038545292200793856,0.002872698036648812,0.03324170576350597,9.084268825704102e-05,0.03336547832241075,0.0332598772782013,0.010261051974838831,0.0008248858560396926,0.009112030239177666,2.60851811474319e-05,0.009149254140010924,0.009115967096925099,0.0880453331637499,0.08318912110600861,0.011627157213281617,-0.0011948223791445334,0.00036768299506826084,0.011682602218478938,-0.0009057002752207444,0.018917620484545154,0.002674468737173171,-0.0003125349525618659,8.457412740381456e-05,0.002691339506577234,-0.0002466472638721767,0.005228836671295735,0.0007692756916490469,-7.4749765992148e-05,2.4326633342123596e-05,0.0007725159106375986,-5.657825129681826e-05,0.0011356465259236002,0.00017933515959115952,-1.3375209737566006e-05,5.671075688578549e-06,0.00017974380267938293,-9.438351990132638e-06,0.0023464105802445292
snap_mathoverflow,real,4L,78228,1000,0.19536572404327981,0.23601855499168573,0.5305258858720662,0.005054824613436323,0.742633737280769,0.23911141926833243,0.017005834549535796,0.1547274757831793,0.0005377717068851664,0.15565828269819695,0.1550165978871031,0.07231458549212536,0.005162005338860648,0.05308443005501834,0.00016323694164748932,0.05333457009375289,0.05315031774370803,0.022594461401380862,0.0016244465524197596,0.01729087496409298,5.136951042854548e-05,0.017366938267839964,0.01730904647878831,0.00533246380317534,0.0003880609909591448,0.004183442067514174,1.227156602492907e-05,0.004201384090227738,0.004187378925261607,0.05759672248518922,0.0836893156738328,0.007828594363281037,-0.0006946278113203475,0.0002475618906552372,0.0078554510125995,-0.00040550570739655845,0.019060432734963863,0.0017921653491371026,-0.00016972270214315674,5.6673244469041234e-05,0.001799291687757113,-0.00010383501345346755,0.005257733836292378,0.0005041867086622797,-4.585260099550497e-05,1.59437836535655e-05,0.0005060162981293823,-2.7681086300175226e-05,0.0011409032108690516,0.00011352667354377865,-8.118524792114596e-06,3.590028635807198e-06,0.00011375995668560164,-4.181667044681229e-06,0.0012810999374820672
nr_digg_reply,real,L,14424,1000,0.09824140684633903,0.09949191131713254,0.4200119938990571,0.02701988146450622,0.5456509636716583,0.01467440367252728,0.002622794622267944,0.011609404553274152,8.294004841207683e-05,0.011901699318187707,0.01166767529311234,0.0007395651578961649,0.0001814540790570285,0.000622132241449685,5.7380818054846825e-06,0.0006480286900090435,0.000624364836845784,9.908418035650451e-05,6.342073471485379e-05,7.559759706720853e-05,2.0055397258024736e-06,9.865679948445576e-05,7.604411614642836e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.003125665049418609,0.002981947825993607,0.0009942756012046206,-8.305129325951975e-05,3.144175521739856e-05,0.0009972426507584488,-2.478055342133162e-05,0.00011458699965835523,5.809665778742855e-05,-2.8459167881247227e-06,1.8371776305163262e-06,5.813730013329173e-05,-6.133213920255442e-07,2.3406978012565067e-05,3.570124140546888e-05,-7.960527673092096e-08,1.128972381367926e-06,3.568347511459272e-05,3.6691380248891474e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.00015809235026903335
nr_digg_reply,real,4L,57696,1000,0.23838244377899123,0.23990796928407548,0.6481652627565169,0.026960245488964245,0.5457262375207986,0.008879179405409568,0.0015516575516679658,0.005814180286156441,4.9067720118711714e-05,0.006017468397625431,0.005872451025994629,0.0004024819901185479,7.854279737898742e-05,0.00028504907367206796,2.4837413351870344e-06,0.0002956615910976611,0.00028728166906816715,6.533905160250864e-05,2.5765866864242557e-05,4.185246831321265e-05,8.147882517966693e-07,4.914107364800931e-05,4.2298987392432486e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0015817562770107693,0.0029927128444082437,0.0007068940935681261,-7.228627484488293e-05,2.2353954001954614e-05,0.0007102287418803404,-1.4015535006694797e-05,0.00011547247542733369,3.390691939542706e-05,-1.9604410191462662e-06,1.0722309372928894e-06,3.394661739694621e-05,2.721543769529123e-07,2.337996483874828e-05,1.7695705771511125e-05,-1.066184505477099e-07,5.595873504216229e-07,1.7687177056928487e-05,3.399006286721258e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.00010111233596356116
sp_hospital__pwt,surrogate,L,117,1000,0.09379894644424934,0.09993975903614458,0.08686324786324787,0.010153553948425745,0.03916666666666667,0.8659550963839793,0.03119906599395437,0.031012163987139907,0.0009866010941080089,0.043979116093226314,0.031012163987139907,0.7592012505524549,0.04027066779206252,0.05507482386237594,0.001273470331189016,0.06821540281495056,0.05507482386237594,0.6329827555182403,0.046975104161386165,0.06933042891595764,0.0014854832247363414,0.08373268253336179,0.06933042891595764,0.46888685136202185,0.04910975765406744,0.07380344486509471,0.0015529868952574054,0.08863579977920587,0.07380344486509471,0.06089492607096829,0.8356718087881588,0.04591837730300533,0.0007288763913194662,0.0014520665873647652,0.0459011997398852,0.0007288763913194662,0.7053426600038326,0.0573287632729239,0.0012162333137536452,0.001812894673830487,0.05731299795664182,0.0012162333137536452,0.5655251724514365,0.06133888517558635,0.0018728458491538147,0.0019397058629039008,0.06133680728016315,0.0018728458491538147,0.3977877340594232,0.05754286942491396,0.002704327562496056,0.0018196653048439151,0.05757763478466549,0.002704327562496056,0.04435171148950103
sp_hospital__pwt,surrogate,4L,468,1000,0.3152774363476734,0.33284412650602413,0.23269017094017097,0.003371840528891812,0.038926282051282055,0.8620932114051246,0.015749210802746463,0.02715027900828526,0.0004980337748680764,0.03138355068337824,0.02715027900828526,0.7515720313192279,0.020032072740982766,0.04744560462914893,0.0006334697611567776,0.05149726257760936,0.04744560462914893,0.6228220156812786,0.022420713661639093,0.05916968907899589,0.0007090052193723329,0.06327114522751386,0.05916968907899589,0.4564623695481132,0.02285606771379769,0.061378963051186064,0.000722772323306382,0.06549240060301066,0.061378963051186064,0.048972984044248706,0.8356580507563551,0.02313418575038833,0.0007151183595157651,0.0007315671878463867,0.02313367143475617,0.0007151183595157651,0.7047585008025918,0.028357774994900695,0.0006320741125128704,0.0008967515835845595,0.028350639445036557,0.0006320741125128704,0.564251765713356,0.030752544381150427,0.0005994391110732966,0.0009724808408984861,0.03074300886667726,0.0005994391110732966,0.3962677102917778,0.029629060362628756,0.001184303794850683,0.0009369531567652134,0.029637913425759648,0.001184303794850683,0.022275328956907044
sp_highschool2013__pwt,surrogate,L,632,1000,0.09898367136473014,0.10003905784138342,0.0887863924050633,0.0018874178817497196,0.05497547468354431,0.6707933465095048,0.017984451071483186,0.007506993810982965,0.0005687182785374255,0.019480040963518713,0.007506993810982965,0.5217218710829733,0.0195339902433518,0.009174603980876328,0.0006177190096049849,0.021572402653817838,0.009174603980876328,0.41327111475786216,0.0195128765889278,0.008492840436789606,0.0006170513372278896,0.02127204595488455,0.008492840436789606,0.30739762639810286,0.018385465691529244,0.005575694462729874,0.0005813994742811512,0.019203533322996097,0.005575694462729874,0.01642997065578355,0.6628790037858692,0.022078036610950286,-0.00040734891265270523,0.0006981688195518769,0.02207075426963261,-0.00040734891265270523,0.5115466923163475,0.023720614204747886,-0.0010005747857494418,0.0007501116838514697,0.023729855048316546,-0.0010005747857494418,0.40425628432959076,0.02340076011046883,-0.000521989991481786,0.0007399970092829492,0.023394880887176343,-0.000521989991481786,0.3016624711254564,0.021964028377885966,-0.0001594608099165784,0.0006945635626669312,0.02195362274869218,-0.0001594608099165784,0.018328789384937556
sp_highschool2013__pwt,surrogate,4L,2528,1000,0.33126916466139567,0.3346264758497317,0.23760917721518987,0.0006313845061889121,0.05468393987341772,0.6706099252940032,0.008570408756652789,0.007323572595481331,0.00027102012149674573,0.01127001197475586,0.007323572595481331,0.5213832636035027,0.009070247668019178,0.008835996501405763,0.00028682641572771387,0.012659461186768717,0.008835996501405763,0.412645048384275,0.008855435940755581,0.007866774063202464,0.0002800334724650353,0.011841725428188246,0.007866774063202464,0.3070215625268111,0.008193915157966405,0.005199630591438131,0.0002591143485335222,0.00970099292123002,0.005199630591438131,0.009368647346429488,0.663577964810077,0.011520492224536603,0.00029161211155515065,0.0003643099519579562,0.011518422503889946,0.00029161211155515065,0.5126880574681746,0.011869536958603181,0.00014079036607761442,0.0003753477156073377,0.011864436085681253,0.00014079036607761442,0.40484084334263754,0.011695670522074403,6.256902156498434e-05,0.0003698495761264573,0.01168998867126991,6.256902156498434e-05,0.30187339030889804,0.010718929838233898,5.145837352504845e-05,0.00033896232368359316,0.0107136926119947,5.145837352504845e-05,0.009189400683887062
copenhagen_bluetooth__pwt,surrogate,L,8197,1000,0.09667173393687917,0.10001223383631136,0.062058923996584116,0.00013791014184693026,0.03234457728437234,0.744346221733902,0.004910538180425431,0.029584496598732857,0.00015528485187363224,0.029988859778868455,0.029584496598732857,0.6027397478050526,0.0053476005823965235,0.03066631639552153,0.0001691059785721594,0.03112862342647192,0.03066631639552153,0.4940616780275513,0.005526162532239735,0.02652741422772731,0.00017475260322161236,0.02709633996446434,0.02652741422772731,0.37961655269918426,0.005370416762740549,0.020795981845418365,0.00016982748954608225,0.021477555627777777,0.020795981845418365,0.02689355226685005,0.7145463467915886,0.007807058272580926,-0.0002153783435805412,0.000246880859670154,0.007806125578254961,-0.0002153783435805412,0.5721755146317046,0.007911318181284117,0.00010208322217353238,0.00025017784747158697,0.007908020447267473,0.00010208322217353238,0.46751319845805117,0.00775522510978071,-2.1065341772819046e-05,0.00024524175114236407,0.007751375151255025,-2.1065341772819046e-05,0.35885395716543667,0.007496757871510676,3.338631167076889e-05,0.0002370682994076966,0.007493082933698264,3.338631167076889e-05,0.00582552834956216
copenhagen_bluetooth__pwt,surrogate,4L,32788,1000,0.32634532880673955,0.3358614252479886,0.20842247163596436,4.5690845529185395e-05,0.03230575210442845,0.7400402759946854,0.002251285041659082,0.025278550859516247,7.119188393909754e-05,0.02537850172117346,0.025278550859516247,0.5979940400291265,0.0025163842977624275,0.025920608619595442,7.95750584921262e-05,0.026042346456384095,0.025920608619595442,0.4898131390746895,0.0024988297169115476,0.022278875274865495,7.901993390354263e-05,0.02241843414061698,0.022278875274865495,0.37612400642410354,0.0023736136134987207,0.017303435570337644,7.506025303838547e-05,0.017465316775868274,0.017303435570337644,0.02269536758107871,0.7148213713403528,0.003726189631515849,5.964620518372765e-05,0.00011783246229293616,0.0037248036660526176,5.964620518372765e-05,0.5723735529458223,0.004082647370940993,0.0003001215362912202,0.0001291046457547187,0.004091627363585514,0.0003001215362912202,0.46782210243612166,0.004113343771257077,0.00028783863629766593,0.00013007535116439005,0.004121350320478056,0.00028783863629766593,0.35918908806680533,0.004081090248677758,0.0003685172130394321,0.0001290554052252469,0.004095662004675336,0.0003685172130394321,0.0029747098688341217
sp_workplace__pwt,surrogate,L,463,1000,0.09932054281703322,0.10000759863614224,0.08316198704103672,0.0025464222905364113,0.04532289416846652,0.6399168681186921,0.02217560752435766,0.007722202699880665,0.0007012542827493806,0.023471221230334734,0.007722202699880665,0.45192903701619236,0.022799117464723944,0.004572930324568569,0.0007209713983025127,0.02324202334493426,0.004572930324568569,0.32649291651776857,0.02166808244372147,0.004312289470506048,0.0006852049305046707,0.022082394151643977,0.004312289470506048,0.0,0.0,0.0,0.0,0.0,0.0,0.013630314639875817,0.6313667436175923,0.029563272821372662,-0.0008279218012191558,0.0009348727720448979,0.02956008402085377,-0.0008279218012191558,0.44658819245373166,0.028601971032116345,-0.0007679142378921311,0.0009044737403164464,0.028597978363021713,-0.0007679142378921311,0.3216042499000132,0.02627268320683815,-0.0005763771472493406,0.0008308151917766521,0.026265868339346018,-0.0005763771472493406,0.0,0.0,0.0,0.0,0.0,0.0,0.016590204842818337
