evidence_block,arm,method,graphs,MAE2,MAE2_se,ProfileMAE,ProfileMAE_se,signed_rho2,signed_rho2_se,worst_graph_AE2,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
surrogate,S2,corrector,8,0.02262042619067502,0.006654799412914908,0.017128124140761675,0.0034692090970496682,-0.006411679509136126,0.00715422994395633,0.06110042137812022,,,-0.03292261375693195,0.017296519410682644
surrogate,S2,median,8,0.3153450555004878,0.060593124731580725,0.24773810042408972,0.06116946752334665,-0.1956569234236315,0.11139476757278478,0.5448165870528993,0.2927246293098128,0.06596238937024282,0.2598020155528808,0.07792452708847528
surrogate,S2,extratrees_pooled,8,0.02968332409616016,0.005719631743549808,0.035471298688178,0.00656090001977109,0.014510118387197816,0.009478311453881635,0.06056630134534824,0.007062897905485139,0.008961707384363594,-0.025859715851446814,0.02248317767048282
surrogate,S2,extratrees_real_only,8,0.1311258794851715,0.02936976497720895,0.1183495758620488,0.03248524952821853,-0.1083391059609937,0.040163326093056284,0.28527684904363687,0.10850545329449646,0.03282933297068446,0.0755828395375645,0.044248659505422845
surrogate,S2,design_reference,8,0.022620426190754196,0.006654799412924815,0.017128124140770248,0.003469209097051614,-0.0064116795091092894,0.007154229943971425,0.06110042137815156,7.917421601146002e-14,4.726506664231972e-14,-0.03292261375685278,0.017296519410682224
surrogate,H,plugin,8,0.1053023847491722,0.030263504861901474,0.17605748946158187,0.03519887342699461,-0.1053023847491722,0.030263504861901474,0.2638294589942702,-0.019481851686999025,0.05693442828229057,,
surrogate,H,corrector,8,0.12478423643617122,0.036577314258473534,0.10393192473308369,0.02491820147965852,0.12053237240327883,0.0385604391912183,0.2894746817917548,,,0.019481851686999025,0.05693442828229057
surrogate,H,median,8,0.3153450555004878,0.060593124731580725,0.24773810042408972,0.06116946752334665,-0.1956569234236315,0.11139476757278478,0.5448165870528993,0.19056081906431654,0.05788086994146906,0.21004267075131558,0.08207315639278072
surrogate,H,extratrees_pooled,8,0.07949359449274218,0.01538530694908803,0.08161810026971619,0.016292015640852916,-0.07418936113352131,0.018792566727299707,0.15065902451720048,-0.045290641943429036,0.04291115193914212,-0.025808790256430007,0.018290512809697883
surrogate,H,extratrees_real_only,8,0.16326912768572757,0.027780245672280948,0.12807610551756327,0.03207805391169315,-0.15222053299338226,0.03563287354146655,0.28424600358869606,0.038484891249556355,0.04148529674056449,0.057966742936555384,0.03420605739428767
surrogate,B,plugin,8,0.3041341637402337,0.04974425218558837,0.23885511560238804,0.05304704043189538,-0.3041341637402337,0.04974425218558837,0.49496994996062166,0.18602978877214396,0.06993427010582479,,
surrogate,B,corrector,8,0.11810437496808979,0.0465803423655636,0.1283488737789005,0.027577842532620585,0.11785687388965806,0.04666138396679044,0.41072712776925807,,,-0.18602978877214396,0.06993427010582479
surrogate,B,median,8,0.3153450555004878,0.060593124731580725,0.24773810042408972,0.06116946752334665,-0.1956569234236315,0.11139476757278478,0.5448165870528993,0.197240680532398,0.09681253007528456,0.011210891760254017,0.07466422524237842
surrogate,B,extratrees_pooled,8,0.0775287067470609,0.024399559273978112,0.10370084142886563,0.028102683123252648,-0.0336240775840299,0.03590571038764424,0.2261121388015586,-0.04057566822102889,0.04900668017793759,-0.22660545699317286,0.048367523578606804
surrogate,B,extratrees_real_only,8,0.1516118820718271,0.032779198912187626,0.1359075210738118,0.034411849614595987,-0.12317809250315678,0.046804535009088134,0.2917781951194002,0.0335075071037373,0.06763194846210499,-0.15252228166840665,0.0367310854832326
surrogate,B,mixture,8,0.16103778158220375,0.0436717133344935,0.147181170152677,0.03409016224037868,-0.055925562022812264,0.07186895656912295,0.41072712776925807,0.04293340661411395,0.03599228916226111,-0.14309638215803003,0.05136286203254395
dar_a0,R,plugin,2,0.026854567357085902,0.004312453919012109,0.010423523666357702,0.0027608003510172577,-0.012839920393483056,0.009702193044590735,0.031167021276098012,0.0,0.0,,
dar_a0,R,corrector,2,0.026854567357085902,0.004312453919012109,0.010423523666357702,0.0027608003510172577,-0.012839920393483056,0.009702193044590735,0.031167021276098012,,,0.0,0.0
