observation,graph_id,status,status_widened,nll,nll_widened,nll_improvement,max_profile_shift,kappa,kappa_widened
nr_digg_reply__pwt__B-p888-20260921__s2,nr_digg_reply__pwt,starts_disagree,starts_disagree,115.75170529195663,115.75170411099859,1.1809580371391348e-06,7.004232369448027e-08,997321.9089971028,99861324.88289605
nr_digg_reply__pwt__B-p888-20260921__s3,nr_digg_reply__pwt,boundary_other,starts_disagree,95.51376930374745,95.51361211586638,0.00015718788107221826,1.1695963048957356e-05,189.70686893316943,189.44048478952269
snap_collegemsg__B-p888-20260921__s1,snap_collegemsg,weakly_identified,starts_disagree,801.952751114705,801.9527688437236,-1.7729018509271555e-05,5.642533045857601e-06,16.79278056368917,16.79553941892496
snap_collegemsg__B-p888-20260921__s2,snap_collegemsg,boundary_other,converged,816.0154614826778,816.0154447339316,1.6748746133998793e-05,4.140094784638171e-07,13.510133070402794,13.50986948021406
snap_collegemsg__B-p888-20260921__s3,snap_collegemsg,boundary_other,converged,729.7566115993357,729.7565428496878,6.874964788039506e-05,2.5697538763407024e-07,18.897674853636918,18.896541625304092
snap_collegemsg__pwt__B-p888-20260921__s1,snap_collegemsg__pwt,boundary_other,starts_disagree,1864.9915643985112,1864.9914799755584,8.44229527956486e-05,9.545648257669459e-06,2.0432969528775105,2.043349177035808
snap_collegemsg__pwt__B-p888-20260921__s2,snap_collegemsg__pwt,boundary_other,starts_disagree,1811.9075852517253,1811.9074913070835,9.394464177603368e-05,1.8951175315695679e-06,2.456728652943489,2.456695795786543
snap_collegemsg__pwt__B-p888-20260921__s3,snap_collegemsg__pwt,converged,starts_disagree,1716.8920699625369,1716.8920497697245,2.0192812371533364e-05,3.532158548369413e-06,2.2570779548887785,2.2570721613887788
snap_email_eu__B-p888-20260921__s1,snap_email_eu,boundary_other,boundary_other,3668.990661793925,3668.990214844813,0.00044694911184706143,1.4250776742108506e-05,1.8751943846164705,1.8750224356115293
snap_email_eu__B-p888-20260921__s2,snap_email_eu,boundary_other,starts_disagree,3466.3416717803084,3466.3414871548994,0.0001846254090196453,1.196635662936707e-05,2.143468972926693,2.1432897049246242
snap_email_eu__B-p888-20260921__s3,snap_email_eu,boundary_other,starts_disagree,3706.0247627527274,3706.0244039768304,0.000358775896984298,2.0370617307974292e-06,1.939181915543744,1.939159128038545
snap_email_eu__pwt__B-p888-20260921__s1,snap_email_eu__pwt,boundary_other,starts_disagree,4920.2892144065445,4920.288804111804,0.0004102947405044688,2.4168925105982897e-05,1.3087353623644833,1.3088604897181553
snap_email_eu__pwt__B-p888-20260921__s2,snap_email_eu__pwt,boundary_other,converged,4777.619623244873,4777.619470126403,0.0001531184698251309,2.0411707037149007e-05,1.3753583108842735,1.3752153149515622
snap_email_eu__pwt__B-p888-20260921__s3,snap_email_eu__pwt,boundary_other,boundary_other,4849.545696513023,4849.545222907593,0.0004736054306704318,9.921786726652115e-07,1.4232594643854766,1.4232403193516279
snap_mathoverflow__B-p888-20260921__s1,snap_mathoverflow,boundary_other,starts_disagree,8021.621433699227,8021.620291044318,0.0011426549090174376,5.91474389302904e-05,8.104417220663924,8.107542388700168
snap_mathoverflow__B-p888-20260921__s2,snap_mathoverflow,boundary_other,starts_disagree,7868.87800494283,7868.876384930008,0.001620012822058925,1.3764799196014366e-06,8.659090456942845,8.658656757726712
snap_mathoverflow__B-p888-20260921__s3,snap_mathoverflow,boundary_other,starts_disagree,8029.7836129961515,8029.782618030502,0.0009949656496246462,4.314207607186704e-06,7.434109677820155,7.433481963788228
snap_mathoverflow__pwt__B-p888-20260921__s1,snap_mathoverflow__pwt,starts_disagree,boundary_other,14078.43203985964,14078.431347438882,0.0006924207573320018,1.18038769185147e-05,1.3595422861936377,1.3594456750189097
