substrate,family,rho_target,rep,hub_bias,rho_headline,strategy,walk_seed,budget,n_observed_events,n_restarts,unique_nodes,unique_edges,edge_revisit_rate,deg_mean_visited,deg_max_visited,discovery_rate_first_half,discovery_rate_second_half,return_time_steps_mean,walk_rho_plugin,share_edges_multi_observed,walk_rho_conditional,mean_windows_per_observed_edge,mean_window_gap_revisits,windows_covered_frac,step_dt_mean,step_dt_median
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,0,50,49,1,43,43,0.12244897959183676,8.046511627906977,14.0,0.9583333333333334,0.8,1.3333333333333333,0.023255813953488372,0.13953488372093023,0.16666666666666666,1.0232558139534884,4.0,1.0,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,0,100,99,1,84,84,0.1515151515151515,8.25,14.0,0.8775510204081632,0.82,1.4,0.011904761904761904,0.14285714285714285,0.08333333333333333,1.0119047619047619,4.0,1.0,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,0,200,199,1,165,177,0.11055276381909551,8.454545454545455,15.0,0.8484848484848485,0.93,4.2727272727272725,0.005649717514124294,0.10734463276836158,0.05263157894736842,1.0056497175141244,4.0,1.0,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,0,400,399,1,293,334,0.1629072681704261,8.65529010238908,15.0,0.8894472361809045,0.785,42.58461538461538,0.011976047904191617,0.15868263473053892,0.07547169811320754,1.0119760479041917,2.5,1.0,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,0,800,799,1,499,648,0.1889862327909887,8.667334669338677,16.0,0.8370927318295739,0.785,74.18543046357615,0.009259259259259259,0.19290123456790123,0.048,1.0092592592592593,2.5,1.0,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,0,1600,1599,1,741,1182,0.2607879924953096,8.465587044534413,16.0,0.8110137672090113,0.6675,267.0647482014389,0.012690355329949238,0.26649746192893403,0.047619047619047616,1.0126903553299493,2.0,1.0,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,0,3200,3199,1,918,2008,0.37230384495154734,8.199346405228757,16.0,0.7392120075046904,0.51625,631.2837951301427,0.015438247011952191,0.38595617529880477,0.04,1.0169322709163346,2.161290322580645,1.0,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,1,50,49,1,45,44,0.10204081632653061,9.666666666666666,15.0,0.9166666666666666,0.88,1.0,0.0,0.11363636363636363,0.0,1.0,,1.0,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,1,100,99,1,84,88,0.11111111111111116,9.428571428571429,16.0,0.8979591836734694,0.88,1.0,0.0,0.125,0.0,1.0,,1.0,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic_t,1,200,199,1,159,171,0.14070351758793975,9.20125786163522,16.0,0.8888888888888888,0.83,23.142857142857142,0.005847953216374269,0.15789473684210525,0.037037037037037035,1.0058479532163742,3.0,1.0,,
