stratum,arm,config_id,mock,source,metric,value,MCSE,draws,valid_answers,planned_answers
real,R,qwen_thinking,False,sp_hospital,plugin_ProfileAE_all,0.02892326624459917,0.003210760108664369,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,plugin_ProfileAE_matched,0.0049247257994300565,0.0008569281974935264,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,plugin_ProfileAE_matched,0.0028154319501629524,0.001186991598022331,5,15,15
real,R,qwen_thinking,False,snap_email_eu,plugin_ProfileAE_matched,0.017329713866097697,0.002635530687539133,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,plugin_ProfileAE_matched,0.0022634534721139416,0.0005931972906603437,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,plugin_ProfileAE_matched,0.0163136000220534,0.0038976969023552482,5,15,15
real,R,qwen_thinking,False,sp_hospital,plugin_ProfileAE_matched,0.02892326624459917,0.003210760108664369,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_ProfileAE_vs_plugin,0.00025174909142873975,0.0002507892119541595,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,delta_ProfileAE_vs_plugin,-9.262736712397782e-05,7.390515152674034e-05,5,15,15
real,R,qwen_thinking,False,snap_email_eu,delta_ProfileAE_vs_plugin,4.951451904955153e-07,4.606112356245251e-06,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,delta_ProfileAE_vs_plugin,0.00030103983896596047,0.0003007088495164772,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,delta_ProfileAE_vs_plugin,0.00044114596740460536,0.0004428132230697283,5,15,15
real,R,qwen_thinking,False,sp_hospital,delta_ProfileAE_vs_plugin,0.002234312918409319,0.0021392796752816487,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,extratrees_AE2_all,0.013674528038615718,0.001826486651232316,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,extratrees_AE2_all,0.0521925160242894,0.0028238725031247713,5,15,15
real,R,qwen_thinking,False,snap_email_eu,extratrees_AE2_all,0.007021145474114943,0.0029232253655784805,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,extratrees_AE2_all,0.01742430338933094,0.003297200690584847,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,extratrees_AE2_all,0.046297193059451944,0.009288714531827464,5,15,15
real,R,qwen_thinking,False,sp_hospital,extratrees_AE2_all,0.0439244566273507,0.011512072616444224,5,15,15
