JobID|State|ExitCode|Elapsed|Start|End
7066387_4.0|COMPLETED|0:0|00:01:03|2026-09-20T12:39:04|2026-09-20T12:40:07
7066387_5|COMPLETED|0:0|00:01:23|2026-09-20T12:38:44|2026-09-20T12:40:07
7066387_5.batch|COMPLETED|0:0|00:01:23|2026-09-20T12:38:44|2026-09-20T12:40:07
7066387_5.extern|COMPLETED|0:0|00:01:23|2026-09-20T12:38:44|2026-09-20T12:40:07
7066387_5.0|COMPLETED|0:0|00:01:02|2026-09-20T12:39:05|2026-09-20T12:40:07
7066388_0|COMPLETED|0:0|00:01:33|2026-09-20T12:41:00|2026-09-20T12:42:33
7066388_0.batch|COMPLETED|0:0|00:01:33|2026-09-20T12:41:00|2026-09-20T12:42:33
7066388_0.extern|COMPLETED|0:0|00:01:33|2026-09-20T12:41:00|2026-09-20T12:42:33
7066388_0.0|COMPLETED|0:0|00:00:47|2026-09-20T12:41:46|2026-09-20T12:42:33
7066388_1|COMPLETED|0:0|00:01:33|2026-09-20T12:41:00|2026-09-20T12:42:33
7066388_1.batch|COMPLETED|0:0|00:01:33|2026-09-20T12:41:00|2026-09-20T12:42:33
7066388_1.extern|COMPLETED|0:0|00:01:33|2026-09-20T12:41:00|2026-09-20T12:42:33
7066388_1.0|COMPLETED|0:0|00:00:47|2026-09-20T12:41:46|2026-09-20T12:42:33
7066388_2|COMPLETED|0:0|00:01:33|2026-09-20T12:41:00|2026-09-20T12:42:33
7066388_2.batch|COMPLETED|0:0|00:01:33|2026-09-20T12:41:00|2026-09-20T12:42:33
7066388_2.extern|COMPLETED|0:0|00:01:33|2026-09-20T12:41:00|2026-09-20T12:42:33
7066388_2.0|COMPLETED|0:0|00:00:47|2026-09-20T12:41:46|2026-09-20T12:42:33
7066388_3|COMPLETED|0:0|00:01:33|2026-09-20T12:41:00|2026-09-20T12:42:33
7066388_3.batch|COMPLETED|0:0|00:01:33|2026-09-20T12:41:00|2026-09-20T12:42:33
7066388_3.extern|COMPLETED|0:0|00:01:33|2026-09-20T12:41:00|2026-09-20T12:42:33
7066388_3.0|COMPLETED|0:0|00:00:47|2026-09-20T12:41:46|2026-09-20T12:42:33
7066388_4|COMPLETED|0:0|00:01:32|2026-09-20T12:41:00|2026-09-20T12:42:32
7066388_4.batch|COMPLETED|0:0|00:01:32|2026-09-20T12:41:00|2026-09-20T12:42:32
7066388_4.extern|COMPLETED|0:0|00:01:32|2026-09-20T12:41:00|2026-09-20T12:42:32
7066388_4.0|COMPLETED|0:0|00:00:46|2026-09-20T12:41:46|2026-09-20T12:42:32
7066388_5|COMPLETED|0:0|00:01:32|2026-09-20T12:41:00|2026-09-20T12:42:32
7066388_5.batch|COMPLETED|0:0|00:01:32|2026-09-20T12:41:00|2026-09-20T12:42:32
7066388_5.extern|COMPLETED|0:0|00:01:32|2026-09-20T12:41:00|2026-09-20T12:42:32
7066388_5.0|COMPLETED|0:0|00:00:47|2026-09-20T12:41:45|2026-09-20T12:42:32
