stratum,arm,config_id,mock,median3_MAE2,median3_MCSE,spread_rho2_sd_valid,spread_rho2_range_valid,observations_with_three_valid
dar_a08,R,qwen_nonthinking,False,0.11970693017908099,0.013874436925511609,0.056446399348536805,0.10585,10
dar_a08,S,sol,False,,,,,0
dar_a08,S,deepseek,False,,,,,0
dar_a08,S,qwen_thinking,False,0.060752180431607614,0.013152950583440492,0.028288315740434482,0.0490063,10
dar_a08,S,qwen_nonthinking,False,0.098986930179081,0.016158972739626735,0.07076348333204072,0.1349,10
dar_a08,H,sol,False,,,,,0
dar_a08,H,deepseek,False,,,,,0
dar_a08,H,qwen_thinking,False,0.03157844719789571,0.00648646020929986,0.0026112777763778357,0.004852999999999985,10
dar_a08,H,qwen_nonthinking,False,0.13070693017908097,0.019506409203131153,0.051663744777602015,0.09799999999999998,10
dar_a08,B,sol,False,,,,,0
dar_a08,B,deepseek,False,,,,,0
dar_a08,B,qwen_thinking,False,0.4504979030546309,0.07063515863186473,0.2640280869115552,0.4921715,10
dar_a08,B,qwen_nonthinking,False,0.18608409694536907,0.04332516508456968,0.09752755396165236,0.173,10
ad_memoryless,R,sol,False,,,,,0
ad_memoryless,R,deepseek,False,,,,,0
ad_memoryless,R,qwen_thinking,False,0.00917818558177287,0.00171745643889142,6.483836173316707e-05,0.0001125000000000001,10
ad_memoryless,R,qwen_nonthinking,False,0.37524578493719146,0.08161648117874232,0.2486855227418297,0.47850000000000004,10
ad_memoryless,S,sol,False,,,,,0
ad_memoryless,S,deepseek,False,,,,,0
ad_memoryless,S,qwen_thinking,False,0.01891114236798029,0.008366283609515305,0.015568585304260777,0.027191,10
ad_memoryless,S,qwen_nonthinking,False,0.3967457849371914,0.07575618786607467,0.23518032347031803,0.44599999999999995,10
ad_memoryless,H,sol,False,,,,,0
ad_memoryless,H,deepseek,False,,,,,0
ad_memoryless,H,qwen_thinking,False,0.004314143012561709,0.0006115336739687425,0.0005412031123747508,0.0009375999999999988,10
ad_memoryless,H,qwen_nonthinking,False,0.1345923716068963,0.046705623382900546,0.24048103775350205,0.4485,10
ad_memoryless,B,sol,False,,,,,0
ad_memoryless,B,deepseek,False,,,,,0
ad_memoryless,B,qwen_thinking,False,0.02769497160689629,0.007273363184367555,0.0742461185993863,0.1313898,10
ad_memoryless,B,qwen_nonthinking,False,0.8672457849371914,0.018774983355518585,0.3305254858528665,0.599,10
ad_memory,R,sol,False,,,,,0
ad_memory,R,deepseek,False,,,,,0
ad_memory,R,qwen_thinking,False,0.02600308997762647,0.006303034572866851,0.0003143159110013477,0.0005464000000000136,10
ad_memory,R,qwen_nonthinking,False,0.11527913679827957,0.014818232013300372,0.04904131112637472,0.091,10
ad_memory,S,sol,False,,,,,0
ad_memory,S,deepseek,False,,,,,0
ad_memory,S,qwen_thinking,False,0.03562421265525978,0.009826600649736629,0.04323712254090045,0.0762314,10
ad_memory,S,qwen_nonthinking,False,0.14887913679827958,0.01615549442140351,0.062481779077750946,0.11179999999999998,10
ad_memory,H,sol,False,,,,,0
ad_memory,H,deepseek,False,,,,,0
ad_memory,H,qwen_thinking,False,0.019011992610512684,0.0036356102318560015,0.007494700754203694,0.013328899999999966,10
ad_memory,H,qwen_nonthinking,False,0.12887913679827956,0.015491933384829668,0.05658990294644772,0.102,10
ad_memory,B,sol,False,,,,,0
ad_memory,B,deepseek,False,,,,,0
ad_memory,B,qwen_thinking,False,0.49787606056883416,0.0782341358245529,0.2091521708994667,0.3810826,10
ad_memory,B,qwen_nonthinking,False,0.11287913679827956,0.014662878298615175,0.12829051170245573,0.225,10
