stratum,arm,config_id,mock,source,metric,value,MCSE,valid_fraction,limit_fraction,technical_failure_fraction,replacement_fraction,empty_fraction
real,S,qwen_thinking,False,snap_mathoverflow,delta_AE2,0.012803410833813637,0.010020950794524483,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,sp_highschool2013,delta_AE2,0.07372280368634195,0.046205776491700046,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,sp_hospital,delta_AE2,0.008895619810320067,0.013034089423370507,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,copenhagen_bluetooth,delta_ProfileAE,0.05837493804191792,0.03575767341727518,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_collegemsg,delta_ProfileAE,0.01217472438906868,0.004696854176201451,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_email_eu,delta_ProfileAE,0.09192412346532755,0.0390924715562744,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_mathoverflow,delta_ProfileAE,0.005526155626407697,0.004490100632091374,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,sp_highschool2013,delta_ProfileAE,0.08167586809272193,0.049605027515673174,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,sp_hospital,delta_ProfileAE,0.03880556500684047,0.01678765014369457,1.0,0.0,0.0,0.0,0.0
real,S,qwen_nonthinking,False,copenhagen_bluetooth,AE2,0.16905201207091664,0.027968490360311044,1.0,0.0,0.0,0.0,0.0
real,S,qwen_nonthinking,False,snap_collegemsg,AE2,0.049318841866802306,0.019489978441527327,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,S,qwen_nonthinking,False,snap_email_eu,AE2,0.2550800447291153,0.053411580618267965,0.8,0.0,0.0,0.2,0.0
real,S,qwen_nonthinking,False,snap_mathoverflow,AE2,0.06368936053981647,0.030691084894371983,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,S,qwen_nonthinking,False,sp_highschool2013,AE2,0.1922913170619915,0.05565471918264696,1.0,0.0,0.0,0.0,0.0
