stratum,arm,config_id,mock,valid_fraction,limit_fraction,technical_failure_fraction,fence_fraction,other_answer_error_fraction,replacement_fraction,started_logical_requests,not_started,in_progress,empty_observations,empty_fraction,complete,AE2,AE2_MCSE,ProfileAE,ProfileAE_MCSE,delta_AE2,delta_AE2_MCSE,delta_ProfileAE,delta_ProfileAE_MCSE
real,B,sol,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,
real,B,deepseek,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,
real,B,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,90,0,0,0,0.0,True,0.12143515506908226,0.013175744723289811,0.06716596371190846,0.01007690935666805,0.06592510656423309,0.013175768527784288,0.017675923012275902,0.010095235262068483
real,B,qwen_nonthinking,False,0.9,0.0,0.0,0.0,0.1,0.1,90,0,0,0,0.0,True,0.11453368544679877,0.011367568531697014,0.06799228851003396,0.00874370526503702,0.0590236369419496,0.01133563593670926,0.018502247810401377,0.008755180071656953
dar_a0,R,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a0,R,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a0,R,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.020719241497038555,0.004701871130835488,0.009467388508123033,0.0014403630126389418,0.0014116270344805707,0.001379424504001747,0.0009214947272319543,0.00051859697279821
dar_a0,R,qwen_nonthinking,False,0.9666666666666667,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,30,0,0,0,0.0,True,0.019210017174539542,0.004939580573328966,0.008598307592682215,0.001457412520948938,-9.75972880184454e-05,9.494754537423554e-05,5.241381179113436e-05,9.28102131839371e-05
dar_a0,S,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a0,S,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a0,S,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.07756812321364472,0.011890210040955126,0.02900318149969871,0.00417886949531138,0.05142157148515286,0.011751642984788192,0.01744206921315009,0.004060657130662731
dar_a0,S,qwen_nonthinking,False,0.9666666666666667,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,30,0,0,0,0.0,True,0.07821170537740244,0.005786268348569361,0.029127840998766363,0.0023624944001503956,0.052065153648910574,0.008031632657916912,0.017566728712217747,0.00292606841159389
dar_a0,H,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a0,H,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
