family,arm,method,graphs,MAE2,MAE2_se,ProfileMAE,ProfileMAE_se,signed_rho2,signed_rho2_se,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
dar,H,corrector,50,0.031919622689784634,0.0034003266223204772,0.059128318125464555,0.004903939846622259,-0.021878661985398472,0.004385734049649591,,,-0.04724136639424198,0.007583407104593692
dar,H,median,50,0.28572261220081197,0.020519965535822325,0.20751147106212375,0.022767644914315932,-0.27133882647124985,0.02417834782172864,0.25380298951102737,0.019933296863110402,0.20656162311678536,0.02197587015294117
dar,H,extratrees_pooled,50,0.02065568880018193,0.0016469273112478724,0.019043144548683517,0.001387625836113291,0.0025152622812738656,0.002830210206805082,-0.011263933889602706,0.003801568611043962,-0.05850530028384467,0.01040394308159204
dar,H,extratrees_real_only,50,0.17687098542229873,0.015573837755665194,0.1374061154881724,0.016789723984196373,-0.16318279646164455,0.018351987590342133,0.1449513627325141,0.015047308344821406,0.09770999633827211,0.017880956699968416
dar,B,plugin,50,0.4169952217964765,0.015818991301043642,0.2738962749783003,0.02158999539965417,-0.4169952217964765,0.015818991301043642,0.2794833065715903,0.015740542234834537,,
dar,B,corrector,50,0.13751191522488632,0.008410646454826507,0.09212400442887508,0.008246637862785495,0.13560339561425147,0.008727890846202681,,,-0.2794833065715903,0.015740542234834537
dar,B,median,50,0.28572261220081197,0.020519965535822325,0.20751147106212375,0.022767644914315932,-0.27133882647124985,0.02417834782172864,0.14821069697592568,0.019149158789164424,-0.13127260959566459,0.011815729299750057
dar,B,extratrees_pooled,50,0.03779261604644417,0.0031898708503059173,0.031485538431553016,0.002200851417239285,0.013178002632923524,0.005277043070318903,-0.09971929917844216,0.008714406324238852,-0.3792026057500324,0.017057350874248513
dar,B,extratrees_real_only,50,0.1958327964973709,0.014249639344248777,0.1336720986217558,0.016158681589427654,-0.19456947649072337,0.014545698749280817,0.05832088127248459,0.01475751692355487,-0.22116242529910565,0.0068573870309512
dar,B,candidate,50,0.06971923333280566,0.0047323035082996075,0.051507151477804373,0.004807203019518299,0.031091983398003755,0.006347109620220363,-0.06779268189208065,0.0075926870939149755,-0.34727598846367086,0.014770090547276248
ad,R,plugin,50,0.015264078684669408,0.0014095383587316062,0.012374931318132758,0.0012545117876201827,0.0005678200356641582,0.0016109622296652934,0.0,0.0,,
ad,R,corrector,50,0.015264078684669408,0.0014095383587316062,0.012374931318132758,0.0012545117876201827,0.0005678200356641582,0.0016109622296652934,,,0.0,0.0
ad,R,median,50,0.3252797570225933,0.020183146542595985,0.21500379073759518,0.020152112641258792,-0.1502784509396629,0.045888933867987945,0.3100156783379239,0.020514747896822477,0.3100156783379239,0.020514747896822477
ad,R,extratrees_pooled,50,0.014932396313504723,0.0013504603294943844,0.013308730510946814,0.0013069596961038947,-0.0030939295031821345,0.0018997885503831045,-0.0003316823711646878,0.001105137743298419,-0.0003316823711646878,0.001105137743298419
