stratum,arm,method,MAE2,MCSE,ProfileMAE,signed_plugin_error,valid_fraction,replacement_fraction,empty_fraction,sources
dar_a0,H,extratrees,0.06081108053140085,0.004348627500536868,0.030113363521761194,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.05616489801184506, ""mcse"": 0.0048357611109599895}, ""dar_a0_r2"": {""mean"": 0.06545726305095664, ""mcse"": 0.007228945914269183}}"
dar_a0,B,plugin,0.31369699784210225,0.003169619423613537,0.10107339552425447,-0.3136969978421023,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.3145948606769443, ""mcse"": 0.0024372412397249805}, ""dar_a0_r2"": {""mean"": 0.31279913500726025, ""mcse"": 0.0058519914816732846}}"
dar_a0,B,corrector,0.036893126315697744,0.012654480090841892,0.015840459214229736,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.019531499578359292, ""mcse"": 0.004791215998124165}, ""dar_a0_r2"": {""mean"": 0.054254753053036196, ""mcse"": 0.024851312133112292}}"
dar_a0,B,median,0.03568966568008969,0.0,0.035394403363030257,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.036130379748897434, ""mcse"": 0.0}, ""dar_a0_r2"": {""mean"": 0.03524895161128194, ""mcse"": 0.0}}"
dar_a0,B,extratrees,0.12348697419896651,0.009214086172611335,0.043329737641772156,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.1383605425140031, ""mcse"": 0.0015206176525402507}, ""dar_a0_r2"": {""mean"": 0.10861340588392991, ""mcse"": 0.018365327602305727}}"
dar_a08,R,plugin,0.03258303767511693,0.006247512008558669,0.03400380830430123,-0.0026241396699628996,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.0284504780609272, ""mcse"": 0.011578621648371208}, ""dar_a08_r2"": {""mean"": 0.036715597289306665, ""mcse"": 0.004696929413160121}}"
dar_a08,R,corrector,0.03258303767511693,0.006247512008558669,0.03400380830430123,,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.0284504780609272, ""mcse"": 0.011578621648371208}, ""dar_a08_r2"": {""mean"": 0.036715597289306665, ""mcse"": 0.004696929413160121}}"
dar_a08,R,median,0.41580761379269027,0.0,0.39017798937917075,,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.4192148497821687, ""mcse"": 0.0}, ""dar_a08_r2"": {""mean"": 0.41240037780321176, ""mcse"": 0.0}}"
dar_a08,R,extratrees,0.23289462517429727,0.00048339859016043057,0.1978025333196191,,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.23716922576687838, ""mcse"": 0.0006544976348612526}, ""dar_a08_r2"": {""mean"": 0.22862002458171612, ""mcse"": 0.0007115684322940374}}"
dar_a08,S,plugin,0.13190510543729692,0.006498737345916381,0.1708156297199205,0.13190510543729694,1.0,0.0,0.0,"{""dar_a08_r1"": {""mean"": 0.12322300046888358, ""mcse"": 0.00960814582813506}, ""dar_a08_r2"": {""mean"": 0.14058721040571026, ""mcse"": 0.008753164119912523}}"
