family,arm,method,graphs,MAE2,MAE2_se,ProfileMAE,ProfileMAE_se,signed_rho2,signed_rho2_se,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
dar,H,plugin,50,0.10784176371887255,0.009183403119575148,0.1406021475711544,0.01083077037617642,-0.10722007789622282,0.009240093964272387,-0.052424629245769155,0.017140085977492742,,
dar,H,corrector,50,0.1602663929646417,0.00994069395175596,0.10315641349660062,0.008480090926041961,0.1600113971377101,0.010011276757913535,,,0.052424629245769155,0.017140085977492742
dar,H,median,50,0.28572261220081197,0.020519965535822325,0.20751147106212375,0.022767644914315932,-0.27133882647124985,0.02417834782172864,0.12545621923617026,0.022337167602743662,0.17788084848193944,0.024313578549488925
dar,H,extratrees_pooled,50,0.03302258397504019,0.0029846586401531764,0.02222091043574816,0.0013149224547422875,0.004927943287191689,0.005136536282838698,-0.1272438089896015,0.010825147764571384,-0.07481917974383237,0.00865447725271271
dar,H,extratrees_real_only,50,0.15726857014153597,0.013296692452350815,0.10530367808920302,0.013207780034448122,-0.14581286436921329,0.015729229158885135,-0.002997822823105732,0.017488299002207428,0.04942680642266342,0.01712947260021638
dar,H,candidate,50,0.0380768928939508,0.002897556284630878,0.05236651492351523,0.003724595145927528,0.02187673780800511,0.004494751799351483,-0.1221895000706909,0.009680078997770273,-0.06976487082492175,0.009853099058202046
dar,B,plugin,50,0.4169952217964765,0.015818991301043642,0.2738962749783003,0.02158999539965417,-0.4169952217964765,0.015818991301043642,0.2794833065715903,0.015740542234834537,,
dar,B,corrector,50,0.13751191522488632,0.008410646454826507,0.09212400442887508,0.008246637862785495,0.13560339561425147,0.008727890846202681,,,-0.2794833065715903,0.015740542234834537
dar,B,median,50,0.28572261220081197,0.020519965535822325,0.20751147106212375,0.022767644914315932,-0.27133882647124985,0.02417834782172864,0.14821069697592568,0.019149158789164424,-0.13127260959566459,0.011815729299750057
dar,B,extratrees_pooled,50,0.03894760352823147,0.003277781238143537,0.03196231395798739,0.0022866574664699474,0.012474818990471127,0.0054833538472715436,-0.09856431169665486,0.00879636834927106,-0.3780476182682451,0.01692598286435388
dar,B,extratrees_real_only,50,0.22070893061613636,0.013566051569101891,0.13912614124649486,0.015958163075687846,-0.2198508100107846,0.013786013567494917,0.08319701539125006,0.014482863426237436,-0.1962862911803402,0.005593035301412457
dar,B,candidate,50,0.06971923333280566,0.0047323035082996075,0.051507151477804373,0.004807203019518299,0.031091983398003755,0.006347109620220363,-0.06779268189208065,0.0075926870939149755,-0.34727598846367086,0.014770090547276248
ad,R,plugin,50,0.015264078684669408,0.0014095383587316062,0.012374931318132758,0.0012545117876201827,0.0005678200356641582,0.0016109622296652934,0.0,0.0,,
ad,R,corrector,50,0.015264078684669408,0.0014095383587316062,0.012374931318132758,0.0012545117876201827,0.0005678200356641582,0.0016109622296652934,,,0.0,0.0
ad,R,median,50,0.3252797570225933,0.020183146542595985,0.21500379073759518,0.020152112641258792,-0.1502784509396629,0.045888933867987945,0.3100156783379239,0.020514747896822477,0.3100156783379239,0.020514747896822477
ad,R,extratrees_pooled,50,0.01549151455858913,0.0014352110491483592,0.01340883064493244,0.0013600692174058015,-0.00278300322022408,0.0019216636537783228,0.0002274358739197184,0.001227943103045102,0.0002274358739197184,0.001227943103045102
ad,R,extratrees_real_only,50,0.15400477305775773,0.018297376685010004,0.09964512852518148,0.012838343578774895,-0.13817676129829332,0.020695159221569365,0.13874069437308834,0.018339123818477607,0.13874069437308834,0.018339123818477607
ad,S,plugin,50,0.13205960622859134,0.007641495472164782,0.11774063028581211,0.010194568365551309,0.13205960622859134,0.007641495472164782,0.10735228435992798,0.007566040504493859,,
ad,S,corrector,50,0.024707321868663347,0.0032771691500500274,0.0172117873402133,0.002573559841764149,-0.00021397769802222535,0.0025838125540462767,,,-0.10735228435992798,0.007566040504493859
ad,S,median,50,0.3252797570225933,0.020183146542595985,0.21500379073759518,0.020152112641258792,-0.1502784509396629,0.045888933867987945,0.30057243515393,0.018592061499110316,0.19322015079400198,0.024001914319046743
ad,S,extratrees_pooled,50,0.013032697079863584,0.0013159980714630445,0.013461130116569998,0.0016265664697007623,-0.0018654888647079643,0.0019018886204353563,-0.01167462478879976,0.0027730353343887407,-0.11902690914872775,0.0072831516345775865
ad,S,extratrees_real_only,50,0.16208741731689574,0.01779195539616192,0.10384614720523633,0.012684274966684938,-0.1362167411189335,0.021772100327400876,0.1373800954482324,0.015705475559581066,0.030027811088304403,0.018736910808445816
ad,H,plugin,50,0.0942218046808663,0.008021042910068023,0.12825821162930434,0.014028280342967098,-0.0942218046808663,0.008021042910068023,0.014659897004180274,0.008868472828030166,,
ad,H,corrector,50,0.07956190767668603,0.007618494980035988,0.053631391980503096,0.006662508043846474,0.07693897459309876,0.008091236280181381,,,-0.014659897004180274,0.008868472828030166
ad,H,median,50,0.3252797570225933,0.020183146542595985,0.21500379073759518,0.020152112641258792,-0.1502784509396629,0.045888933867987945,0.24571784934590732,0.01617492005632445,0.23105795234172702,0.023289103972224535
ad,H,extratrees_pooled,50,0.01621116904709833,0.0013191986849642187,0.012419880534820557,0.0011737435480236142,-0.006570565589694726,0.001963549741048845,-0.06335073862958769,0.007583213548181528,-0.07801063563376796,0.007339920302810737
ad,H,extratrees_real_only,50,0.14975012390995945,0.01785745807507117,0.09360531217528772,0.012349064373976176,-0.14530552016470738,0.01856033516036627,0.0701882162332734,0.01155450431253574,0.05552831922909314,0.01818132722597288
ad,H,candidate,50,0.03795756908038643,0.003533116888009961,0.033384155914347666,0.004581985179243144,0.02853942368959135,0.0046247119946176965,-0.0416043385962996,0.005263057326890708,-0.05626423560047986,0.008219986747564086
ad,B,plugin,50,0.35076751826501285,0.028689336097386275,0.22680734150238155,0.024901465828270564,-0.35076751826501285,0.028689336097386275,0.25553135909499575,0.021493222166878805,,
ad,B,corrector,50,0.09523615917001715,0.008776364969195784,0.06126742838679894,0.0066917837573215525,0.09346650501049054,0.009096955190359845,,,-0.25553135909499575,0.021493222166878805
