stratum,arm,method,sources,MAE2,MAE2_se,ProfileMAE,signed_rho2,worst_source_AE2,fallbacks,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
synthetic,R,corrector,8,0.017610777834313536,0.002664174598079874,0.01605667467147051,0.0005752134108766268,0.026372499530259573,0,,,0.0,0.0
synthetic,R,median,8,0.29684098190292296,0.05965823462044837,0.21104449522745866,-0.14272536142021292,0.434296757210781,0,0.27923020406860943,0.05876822015235341,0.27923020406860943,0.05876822015235341
synthetic,R,extratrees_pooled,8,0.021377127511063104,0.004757856738777804,0.019406806820670183,0.003335413172383013,0.03800652289715587,0,0.0037663496767495683,0.005032498609759211,0.0037663496767495683,0.005032498609759211
synthetic,R,extratrees_real_only,8,0.1431275550852104,0.03649547500238427,0.1000236326825941,-0.11224234688444082,0.24922016396772478,0,0.12551677725089685,0.034747718373194146,0.12551677725089685,0.034747718373194146
synthetic,S,plugin,8,0.12838626190729951,0.019980967846802023,0.102485976736819,0.12838626190729951,0.1896511859765677,0,0.0988314760991937,0.016657284230673437,,
synthetic,S,corrector,8,0.029554785808105808,0.006236517653193504,0.02114186517871918,0.00018750487673074552,0.05573271275969569,0,,,-0.0988314760991937,0.016657284230673437
synthetic,S,median,8,0.29684098190292296,0.05965823462044837,0.21104449522745866,-0.14272536142021292,0.434296757210781,0,0.2672861960948172,0.05844405077183872,0.16845471999562348,0.07051810163136323
synthetic,S,extratrees_pooled,8,0.02150331970200272,0.005906557077985877,0.019837310496233447,0.007990336382717409,0.047732869714398586,0,-0.008051466106103087,0.0038450560087529514,-0.1068829422052968,0.017254089972677977
synthetic,S,extratrees_real_only,8,0.14303534448781674,0.03657953244600873,0.1009703854025211,-0.10818520506057037,0.2501985226494887,0,0.11348055867971095,0.03291490480646259,0.01464908258051725,0.04069338479218449
synthetic,H,plugin,8,0.018569257423916657,0.004198489691612122,0.08146910209936531,-0.008317233163297272,0.03705761584240754,0,3.220023288296749e-05,0.0010286312911503052,,
synthetic,H,corrector,8,0.018537057191033688,0.004077832670018635,0.030925643757935637,-0.0031224959246991466,0.03923152888588579,0,,,-3.220023288296749e-05,0.0010286312911503052
synthetic,H,median,8,0.29684098190292296,0.05965823462044837,0.21104449522745866,-0.14272536142021292,0.434296757210781,0,0.2783039247118893,0.058962918007778434,0.27827172447900633,0.05910169202735441
synthetic,H,extratrees_pooled,8,0.013263042227626958,0.0033758646344986096,0.01321775969569292,0.0011998117314119764,0.029526911206354534,0,-0.005274014963406732,0.0030479251009135973,-0.005306215196289699,0.003104363658394835
synthetic,H,extratrees_real_only,8,0.14685538333316792,0.04149052176376169,0.11073945930846588,-0.12095978543413534,0.2686005041751508,0,0.12831832614213423,0.03925932480166974,0.12828612590925126,0.03937518492713748
synthetic,B,plugin,8,0.4185456776659101,0.09383307829809144,0.25213311826290935,-0.4185456776659101,0.6481381617768383,0,0.3076080792709993,0.06984117825919457,,
synthetic,B,corrector,8,0.11093759839491076,0.028090693616507775,0.10003035962997728,0.09564716981300453,0.203429269879621,0,,,-0.3076080792709993,0.06984117825919457
synthetic,B,median,8,0.29684098190292296,0.05965823462044837,0.21104449522745866,-0.14272536142021292,0.434296757210781,0,0.18590338350801222,0.04746405639707165,-0.12170469576298708,0.0863831223710966
synthetic,B,extratrees_pooled,8,0.02824740636328594,0.007163984930390333,0.03595108849742328,-0.0003772222227764483,0.07530613413714175,0,-0.08269019203162482,0.028565959856963995,-0.3902982713026242,0.09325479831091668
synthetic,B,extratrees_real_only,8,0.15842798922144768,0.03970541222636993,0.1093897994509474,-0.13349724790597522,0.2734683683087856,0,0.04749039082653692,0.018692099818252192,-0.26011768844446237,0.06009367507067145
synthetic,B,candidate,8,0.1025550944683219,0.022278316778452975,0.09013151049249257,0.04364450528219232,0.18110512407136808,0,-0.008382503926588875,0.012755603537182152,-0.3159905831975882,0.07317897099554739
