family,arm,method,graphs,MAE2,MAE2_se,ProfileMAE,ProfileMAE_se,signed_rho2,signed_rho2_se,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
dar,R,plugin,50,0.022196449892432614,0.0015168712505314343,0.018282971739252037,0.0013326998181459892,0.0013524750151225958,0.0019455943922493057,0.0,0.0,,
dar,R,corrector,50,0.022196449892432614,0.0015168712505314343,0.018282971739252037,0.0013326998181459892,0.0013524750151225958,0.0019455943922493057,,,0.0,0.0
dar,R,median,50,0.28572261220081197,0.020519965535822325,0.20751147106212375,0.022767644914315932,-0.27133882647124985,0.02417834782172864,0.26352616230837933,0.02102944700714561,0.26352616230837933,0.02102944700714561
dar,R,extratrees_pooled,50,0.020296901799159345,0.0014645271240666317,0.01730387506184964,0.0013419928643015582,0.0018860248565253526,0.002530853559146774,-0.001899548093273271,0.0014106697457458546,-0.001899548093273271,0.0014106697457458546
dar,R,extratrees_real_only,50,0.15211518781527247,0.013689891918019791,0.10849088295082787,0.013742146936411945,-0.14387460567375393,0.015382107934983714,0.12991873792283984,0.01429778821688429,0.12991873792283984,0.01429778821688429
dar,S,plugin,50,0.14887319080247244,0.0061022358169867605,0.11468423596452583,0.005250088623112984,0.1366076678971538,0.006192217128843573,0.10614010942741857,0.005876129142419214,,
dar,S,corrector,50,0.04273308137505387,0.007449438039226246,0.029177559186611916,0.004883624878164142,0.001368181925872895,0.0028910130547270536,,,-0.10614010942741857,0.005876129142419214
dar,S,median,50,0.28572261220081197,0.020519965535822325,0.20751147106212375,0.022767644914315932,-0.27133882647124985,0.02417834782172864,0.2429895308257581,0.02221812402633507,0.13684942139833953,0.02370695873304462
dar,S,extratrees_pooled,50,0.02745296844908525,0.0032864966185463446,0.021852478716771984,0.002541478717457008,0.0039687114698938875,0.003859743789077541,-0.015280112925968618,0.004725803402917595,-0.12142022235338717,0.004979637880541852
dar,S,extratrees_real_only,50,0.15823763669252844,0.01345844415146665,0.11086164768785378,0.013565995768474462,-0.14716430417540471,0.015693173692394924,0.1155045553174746,0.014859882975177536,0.009364445890056038,0.016781059766083017
dar,H,plugin,50,0.07781967989361259,0.010325770620612849,0.145011574534657,0.014904285423803277,-0.07193167971834635,0.011077130393997386,0.04680896519437539,0.00783983393270375,,
dar,H,corrector,50,0.031010714699237215,0.0033229475650695915,0.05813611371117897,0.005056020060492074,-0.01973882928595345,0.004372404760034592,,,-0.04680896519437539,0.00783983393270375
dar,H,median,50,0.28572261220081197,0.020519965535822325,0.20751147106212375,0.022767644914315932,-0.27133882647124985,0.02417834782172864,0.25471189750157475,0.01992266602794337,0.2079029323071994,0.022239882651441598
dar,H,extratrees_pooled,50,0.01939721773416921,0.0017994248465918788,0.018565827970213573,0.0014843540849926195,0.002678624068552017,0.002810920520303983,-0.011613496965068002,0.0036177345201982,-0.05842246215944339,0.010503626859102413
dar,H,extratrees_real_only,50,0.16189822996635267,0.014705573397875576,0.1259501732798849,0.015177793742660633,-0.14426921990281186,0.018057011105481344,0.13088751526711548,0.014161216684954864,0.08407855007274008,0.01734364210999307
dar,B,plugin,50,0.5316987415166068,0.01909087976158882,0.31025334339912336,0.023058267020233166,-0.5316987415166068,0.01909087976158882,0.3833371738889207,0.01945963957431093,,
dar,B,corrector,50,0.148361567627686,0.008238127899371426,0.1154018511096509,0.009226979901951532,0.13052340273966118,0.010742662109370223,,,-0.3833371738889207,0.01945963957431093
dar,B,median,50,0.28572261220081197,0.020519965535822325,0.20751147106212375,0.022767644914315932,-0.27133882647124985,0.02417834782172864,0.137361044573126,0.020527272902665598,-0.24597612931579477,0.008047689686963025
dar,B,extratrees_pooled,50,0.053840334215864864,0.004596596383248304,0.04941569696613282,0.0034137817180194974,0.012625174961944017,0.007443871000681801,-0.09452123341182114,0.009449561219493984,-0.4778584073007419,0.022613349528304818
dar,B,extratrees_real_only,50,0.18146148217293942,0.013889197713334262,0.1275089458099213,0.014524209086467725,-0.17387722737487704,0.015523001085373786,0.03309991454525343,0.01576870550348914,-0.3502372593436674,0.008975127729565952
dar,B,candidate,50,0.11382845224559965,0.006640985099176647,0.08867054599176276,0.006734954257761327,0.030392696011045998,0.008760064060422597,-0.03453311538208633,0.00806472154570644,-0.4178702892710071,0.01987196328644849
ad,R,plugin,50,0.014257586354335548,0.0011810567776110352,0.012037178812071154,0.0012148151447114468,-0.002041103666444227,0.0013236286455235236,0.0,0.0,,
ad,R,corrector,50,0.014257586354335548,0.0011810567776110352,0.012037178812071154,0.0012148151447114468,-0.002041103666444227,0.0013236286455235236,,,0.0,0.0
ad,R,median,50,0.3252797570225933,0.020183146542595985,0.21500379073759518,0.020152112641258792,-0.1502784509396629,0.045888933867987945,0.31102217066825777,0.020370585434542947,0.31102217066825777,0.020370585434542947
ad,R,extratrees_pooled,50,0.01529538572410534,0.0016585576512728748,0.012694835329783678,0.0013175063982414931,-0.006404540084133533,0.0019608954203434044,0.0010377993697697925,0.0012000658561380786,0.0010377993697697925,0.0012000658561380786
ad,R,extratrees_real_only,50,0.15409127398464884,0.0178696727513724,0.10127604579919,0.012532745814518196,-0.13246035119934896,0.02110752625093478,0.13983368763031329,0.017839201020240964,0.13983368763031329,0.017839201020240964
ad,S,plugin,50,0.13346734208733163,0.007807355056243222,0.11692967573750288,0.010048801965296384,0.13346734208733163,0.007807355056243222,0.11437059577179247,0.0077016213085778955,,
ad,S,corrector,50,0.019096746315539176,0.002596192894195952,0.013618942291124113,0.0020658639120672635,0.0020741309905160125,0.0020133499291537993,,,-0.11437059577179247,0.0077016213085778955
ad,S,median,50,0.3252797570225933,0.020183146542595985,0.21500379073759518,0.020152112641258792,-0.1502784509396629,0.045888933867987945,0.30618301070705417,0.018813529924983925,0.1918124149352617,0.02407919985635807
ad,S,extratrees_pooled,50,0.011289270485561284,0.0011184950594603788,0.010851386211778162,0.0012337585043074853,-0.0012336676075903772,0.0017051961326808136,-0.0078074758299778915,0.0022186746896796913,-0.12217807160177037,0.007279396814022372
ad,S,extratrees_real_only,50,0.1545739770577717,0.017368899610880208,0.10148790271517928,0.012066168014131264,-0.1266717734953409,0.021490211912398763,0.13547723074223253,0.015761002733140277,0.021106634970440047,0.01896891520372091
ad,H,plugin,50,0.024235606758759586,0.004943539730896354,0.08703948473211331,0.015175889490276023,-0.018552483488922567,0.005322294957602293,0.00907648929865889,0.0028447847367882913,,
ad,H,corrector,50,0.015159117460100697,0.002235330163614217,0.025589427911260825,0.00418072849350774,-0.008233745567731439,0.0026310848038669536,,,-0.00907648929865889,0.0028447847367882913
ad,H,median,50,0.3252797570225933,0.020183146542595985,0.21500379073759518,0.020152112641258792,-0.1502784509396629,0.045888933867987945,0.3101206395624926,0.019061974216320735,0.3010441502638337,0.01786736287288807
ad,H,extratrees_pooled,50,0.010344546629485576,0.0011834389303426729,0.009127661737392285,0.00088877262910993,-0.004422168310526187,0.0016118206411384261,-0.00481457083061512,0.002495559423380423,-0.013891060129274012,0.005074445110733452
ad,H,extratrees_real_only,50,0.16203012459756244,0.019307831882993433,0.1122628947243055,0.014542423565000724,-0.14082388217971653,0.022446505892739152,0.14687100713746173,0.01795610363478561,0.13779451783880284,0.016603109369936746
ad,B,plugin,50,0.41880587994287255,0.036934849108734284,0.25091238857568054,0.028618611046437085,-0.41880587994287255,0.036934849108734284,0.32284772777061727,0.029498410921838743,,
ad,B,corrector,50,0.0959581521722553,0.009384339249434737,0.07496900107097233,0.009294105854420908,0.09374545138802294,0.009782744477233516,,,-0.32284772777061727,0.029498410921838743
ad,B,median,50,0.3252797570225933,0.020183146542595985,0.21500379073759518,0.020152112641258792,-0.1502784509396629,0.045888933867987945,0.22932160485033803,0.01856878754452412,-0.0935261229202792,0.027232514562916647
ad,B,extratrees_pooled,50,0.021813650246833988,0.0022601359103673682,0.02323769513325052,0.0027766260762770406,-0.006955011723942684,0.003529858510202631,-0.0741445019254213,0.00856664765700612,-0.39699222969603853,0.03592680146130226
ad,B,extratrees_real_only,50,0.1620573180871731,0.01961484077458181,0.10873539695643661,0.014240739443235171,-0.15105957959023233,0.02131747191214645,0.06609916591491782,0.015035196615477689,-0.2567485618556994,0.019665531421303128
ad,B,candidate,50,0.07618846388474315,0.008039636627283124,0.060886829290748755,0.007505468036186383,0.014929764516498006,0.008861068891119175,-0.019769688287512147,0.004647756019813448,-0.34261741605812934,0.030592133569569427
