stratum_group,arm,method,budget_fraction,graphs,AE2,AE2_between_graph_se,signed_2,signed_2_between_graph_se,ProfileAE,ProfileAE_between_graph_se,dyad_coverage,dyad_coverage_between_graph_se,window_coverage,window_coverage_between_graph_se,event_coverage,event_coverage_between_graph_se
synthetic,H,reference,0.2,8,0.011246961181294464,0.001923660068478853,-0.005564922582891031,0.0019573256262194064,0.030932179736984373,0.01086918726311412,0.24935982163492443,0.016780123654805124,0.21612210921223343,0.005334845298217584,0.19946656787404032,0.0003625501122643839
synthetic,H,reference,0.3,8,0.008172217065597141,0.0013353224033284886,-0.0010343295141170506,0.001829701344577024,0.029033996692727534,0.01041585420126598,0.3740688911901531,0.025164024753972617,0.3258654334719092,0.008218137187705463,0.3004320812032863,0.00016230306575281994
synthetic,R,plugin,0.02,8,0.04240195832065789,0.007647872299515033,-0.0005654269801885828,0.004675104349810647,0.03391350929018676,0.008765946492501755,0.020358919716507544,0.00035402598063909375,0.020273639079431572,0.00040688544144260795,0.0204203616216787,0.00038110344499931316
synthetic,R,plugin,0.05,8,0.029702336148818842,0.005602088811420527,0.006177189807188851,0.004017860633828732,0.02364315116841435,0.006546754452751505,0.04968060618261775,0.00037280456200078485,0.04990216366451581,0.00038913856672315834,0.05000332011665394,0.00047795463619330436
synthetic,R,plugin,0.1,8,0.017315290646935384,0.0025534650433562626,0.0013420072035495584,0.0026287474227382895,0.013994660701312929,0.003302588068259716,0.10005168082954523,0.0006534822136480679,0.09997104884560887,0.0007270265610301497,0.09976595556555562,0.0007884934502374466
synthetic,R,plugin,0.2,8,0.013763278263542135,0.002205339977375778,-0.001072977644618976,0.0009146264019813252,0.011878837009518702,0.0032895863914985655,0.19956819728587222,0.0007825906598555065,0.1990253826329088,0.0008960055295676742,0.19916113914129313,0.0009546493525745241
synthetic,R,plugin,0.3,8,0.011274736541017343,0.0017468755262646074,0.000127647122288527,0.0020340927389124403,0.008695527220265613,0.002314941699286821,0.3008153677168059,0.001395335282922717,0.3003666394398594,0.0017592416241746897,0.3003483840328855,0.0017901012026433375
synthetic,R,reference,0.02,8,0.04240195832065789,0.007647872299515033,-0.0005654269801885828,0.004675104349810647,0.03391350929018676,0.008765946492501755,0.020358919716507544,0.00035402598063909375,0.020273639079431572,0.00040688544144260795,0.0204203616216787,0.00038110344499931316
synthetic,R,reference,0.05,8,0.029702336148818842,0.005602088811420527,0.006177189807188851,0.004017860633828732,0.02364315116841435,0.006546754452751505,0.04968060618261775,0.00037280456200078485,0.04990216366451581,0.00038913856672315834,0.05000332011665394,0.00047795463619330436
synthetic,R,reference,0.1,8,0.017315290646935384,0.0025534650433562626,0.0013420072035495584,0.0026287474227382895,0.013994660701312929,0.003302588068259716,0.10005168082954523,0.0006534822136480679,0.09997104884560887,0.0007270265610301497,0.09976595556555562,0.0007884934502374466
synthetic,R,reference,0.2,8,0.013763278263542135,0.002205339977375778,-0.001072977644618976,0.0009146264019813252,0.011878837009518702,0.0032895863914985655,0.19956819728587222,0.0007825906598555065,0.1990253826329088,0.0008960055295676742,0.19916113914129313,0.0009546493525745241
synthetic,R,reference,0.3,8,0.011274736541017343,0.0017468755262646074,0.000127647122288527,0.0020340927389124403,0.008695527220265613,0.002314941699286821,0.3008153677168059,0.001395335282922717,0.3003666394398594,0.0017592416241746897,0.3003483840328855,0.0017901012026433375
synthetic,S,plugin,0.02,8,0.11777384467369038,0.015857628121651337,0.11777384467369038,0.015857628121651337,0.09259410720435242,0.02238342269800542,0.015839644766963576,0.000724328728427499,0.01812184389099568,0.0005237785476288406,0.019594953841918835,0.00028518021735532634
synthetic,S,plugin,0.05,8,0.12758182167961657,0.020630032110791167,0.12758182167961657,0.020630032110791167,0.10437424272764936,0.025127437102934053,0.03982271248532966,0.0018200218198803867,0.046374784597847045,0.0009170485169710744,0.05073702128288035,0.0003709309917370739
synthetic,S,plugin,0.1,8,0.1253434203171607,0.01921044321445445,0.1253434203171607,0.01921044321445445,0.10628594933897262,0.026670114980899846,0.07937192735971345,0.003721980285083187,0.09250040324048825,0.0020985879314635502,0.1002968287508772,0.00032286347765333
synthetic,S,plugin,0.2,8,0.12014906554780952,0.01908183167311165,0.12014906554780952,0.01908183167311165,0.09913905970806794,0.025271059250810374,0.16086654960730612,0.006981390475780018,0.1855316897677437,0.0034500752488535913,0.19996419771583976,0.0008435943366689528
synthetic,S,plugin,0.3,8,0.11436548188428917,0.018562017651967178,0.11436548188428917,0.018562017651967178,0.09339060398967303,0.02378547251992299,0.2440058671618886,0.010078851721378627,0.27934033669986585,0.005235487881237051,0.2990796071223819,0.0011893667299995177
synthetic,S,reference,0.02,8,0.07004024270953038,0.015714288058631707,-0.0013373540264631344,0.0090645912315565,0.047728484226666396,0.01346578052948069,0.015839644766963576,0.000724328728427499,0.01812184389099568,0.0005237785476288406,0.019594953841918835,0.00028518021735532634
synthetic,S,reference,0.05,8,0.04192346199621559,0.0127008885886417,-0.002351929139832003,0.00442443878431884,0.03443691513285166,0.012673141708598049,0.03982271248532966,0.0018200218198803867,0.046374784597847045,0.0009170485169710744,0.05073702128288035,0.0003709309917370739
synthetic,S,reference,0.1,8,0.028770451569225985,0.006617897808782333,0.0032407910729331767,0.002853924476924753,0.02127311954420686,0.006205227877604208,0.07937192735971345,0.003721980285083187,0.09250040324048825,0.0020985879314635502,0.1002968287508772,0.00032286347765333
synthetic,S,reference,0.2,8,0.021871305557607013,0.0050463277313417656,0.003262091211838107,0.0037888412838684993,0.014438778307430771,0.004315748674725384,0.16086654960730612,0.006981390475780018,0.1855316897677437,0.0034500752488535913,0.19996419771583976,0.0008435943366689528
synthetic,S,reference,0.3,8,0.017128429570223397,0.003835819795233647,0.00111656980005092,0.0016301205140421841,0.011715857321099667,0.003401767133310783,0.2440058671618886,0.010078851721378627,0.27934033669986585,0.005235487881237051,0.2990796071223819,0.0011893667299995177
