budget,graph_id,arm,evidence_block,fit_status,fallback_used,objective
0.05,sp_highschool2013,H,real,flatness_unavailable,False,355.64936709070093
0.05,sp_highschool2013,H,real,boundary_other,False,330.4889032435435
0.05,sp_highschool2013,R,real,boundary_other,False,370.80386261284
0.05,sp_highschool2013,R,real,boundary_other,False,341.2237122513254
0.05,sp_highschool2013,R,real,boundary_other,False,401.75341838236193
0.05,sp_highschool2013,S1,real,flatness_unavailable,False,376.1732542257668
0.05,sp_highschool2013,S1,real,flatness_unavailable,False,392.7577043216612
0.05,sp_highschool2013,S1,real,flatness_unavailable,False,371.63427713159996
0.05,sp_highschool2013__pwt,B,surrogate,boundary_other,False,954.0649635170912
0.05,sp_highschool2013__pwt,B,surrogate,boundary_other,False,871.0103534878104
0.05,sp_highschool2013__pwt,B,surrogate,boundary_other,False,983.4488861857003
0.05,sp_highschool2013__pwt,H,surrogate,boundary_other,False,444.96289953549405
0.05,sp_highschool2013__pwt,H,surrogate,boundary_other,False,429.16596926571196
0.05,sp_highschool2013__pwt,H,surrogate,boundary_other,False,464.54230294037114
0.05,sp_highschool2013__pwt,R,surrogate,boundary_other,False,419.1125391439895
0.05,sp_highschool2013__pwt,R,surrogate,boundary_other,False,392.87319774198073
0.05,sp_highschool2013__pwt,R,surrogate,boundary_other,False,466.3426965698708
0.05,sp_highschool2013__pwt,S1,surrogate,boundary_other,False,425.0031467105424
0.05,sp_highschool2013__pwt,S1,surrogate,boundary_other,False,428.09661416589756
0.05,sp_highschool2013__pwt,S1,surrogate,boundary_other,False,454.3352136246816
0.05,sp_hospital,B,real,boundary_other,False,63.297827767320726
0.05,sp_hospital,B,real,boundary_homogeneous,False,56.29377384306463
0.05,sp_hospital,B,real,boundary_homogeneous,False,71.18851485068518
0.05,sp_hospital,H,real,boundary_homogeneous,False,39.06950674271652
0.05,sp_hospital,H,real,boundary_other,False,82.09462354202618
0.05,sp_hospital,H,real,flatness_unavailable,False,61.7312468709147
0.05,sp_hospital,R,real,flatness_unavailable,False,76.71657087755065
0.05,sp_hospital,R,real,boundary_homogeneous,False,63.13350593320685
0.05,sp_hospital,R,real,flatness_unavailable,False,53.48368299634907
0.05,sp_hospital,S1,real,flatness_unavailable,False,68.59042515755384
0.05,sp_hospital,S1,real,flatness_unavailable,False,66.1439027663893
0.05,sp_hospital,S1,real,flatness_unavailable,False,63.25980555842758
0.05,sp_hospital__pwt,B,surrogate,boundary_other,False,174.8389617701273
0.05,sp_hospital__pwt,B,surrogate,converged,False,146.95851121367593
0.05,sp_hospital__pwt,B,surrogate,boundary_other,False,180.6888885671736
0.05,sp_hospital__pwt,H,surrogate,flatness_unavailable,False,60.19141280347802
0.05,sp_hospital__pwt,H,surrogate,flatness_unavailable,False,84.86814313711666
0.05,sp_hospital__pwt,H,surrogate,boundary_other,False,75.3741833404643
0.05,sp_hospital__pwt,R,surrogate,flatness_unavailable,False,99.0559587076458
0.05,sp_hospital__pwt,R,surrogate,flatness_unavailable,False,104.93517699188051
0.05,sp_hospital__pwt,R,surrogate,flatness_unavailable,False,66.21901231806005
0.05,sp_hospital__pwt,S1,surrogate,flatness_unavailable,False,78.37164627455599
0.05,sp_hospital__pwt,S1,surrogate,flatness_unavailable,False,73.49841159192329
0.05,sp_hospital__pwt,S1,surrogate,flatness_unavailable,False,77.87848094163971
0.05,sp_workplace,B,real,weakly_identified,False,213.9488687028038
0.05,sp_workplace,B,real,boundary_homogeneous,False,233.87318317287364
0.05,sp_workplace,B,real,boundary_other,False,210.53758187930424
0.05,sp_workplace,H,real,boundary_homogeneous,False,173.31333077163757
0.05,sp_workplace,H,real,boundary_homogeneous,False,137.48925635176653
0.05,sp_workplace,H,real,boundary_homogeneous,False,151.3029744132507
0.05,sp_workplace,R,real,boundary_other,False,207.85994809732895
0.05,sp_workplace,R,real,boundary_other,False,186.84746743485118
0.05,sp_workplace,R,real,boundary_other,False,160.24225893739555
0.05,sp_workplace,S1,real,boundary_other,False,208.2335646967605
0.05,sp_workplace,S1,real,boundary_other,False,176.57926215357418
0.05,sp_workplace,S1,real,boundary_other,False,216.5735526715367
0.05,sp_workplace__pwt,B,surrogate,converged,False,423.1034587044716
0.05,sp_workplace__pwt,B,surrogate,boundary_other,False,467.2384079571044
0.05,sp_workplace__pwt,B,surrogate,converged,False,458.37318511690876
0.05,sp_workplace__pwt,H,surrogate,boundary_homogeneous,False,291.79978637462517
0.05,sp_workplace__pwt,H,surrogate,boundary_homogeneous,False,230.80820660052728
0.05,sp_workplace__pwt,H,surrogate,boundary_homogeneous,False,261.83672676130004
0.05,sp_workplace__pwt,R,surrogate,flatness_unavailable,False,364.9755595595565
0.05,sp_workplace__pwt,R,surrogate,flatness_unavailable,False,312.7174822878495
0.05,sp_workplace__pwt,R,surrogate,flatness_unavailable,False,272.99782433300516
0.05,sp_workplace__pwt,S1,surrogate,flatness_unavailable,False,323.3063486577779
0.05,sp_workplace__pwt,S1,surrogate,flatness_unavailable,False,310.94321650459733
0.05,sp_workplace__pwt,S1,surrogate,flatness_unavailable,False,326.0733616768341
0.1,ad_memory_r1,B,ad_memory,weakly_identified,False,333.3225040270667
0.1,ad_memory_r1,B,ad_memory,weakly_identified,False,335.17214688962974
0.1,ad_memory_r1,B,ad_memory,converged,False,310.83147591170064
0.1,ad_memory_r1,H,ad_memory,flatness_unavailable,False,352.9964331349634
0.1,ad_memory_r1,H,ad_memory,flatness_unavailable,False,313.93862096020604
0.1,ad_memory_r1,H,ad_memory,flatness_unavailable,False,349.8794453726847
0.1,ad_memory_r1,R,ad_memory,flatness_unavailable,False,277.18760117467093
0.1,ad_memory_r1,R,ad_memory,flatness_unavailable,False,306.7397920815144
0.1,ad_memory_r1,R,ad_memory,flatness_unavailable,False,308.5759406230692
0.1,ad_memory_r1,S1,ad_memory,flatness_unavailable,False,309.9857459705555
0.1,ad_memory_r1,S1,ad_memory,flatness_unavailable,False,313.37363253297383
0.1,ad_memory_r1,S1,ad_memory,flatness_unavailable,False,306.53381217583154
0.1,ad_memory_r2,B,ad_memory,weakly_identified,False,290.5107108538733
0.1,ad_memory_r2,B,ad_memory,converged,False,317.09393593515375
0.1,ad_memory_r2,B,ad_memory,weakly_identified,False,296.37220220779886
0.1,ad_memory_r2,H,ad_memory,flatness_unavailable,False,346.09073397869895
0.1,ad_memory_r2,H,ad_memory,flatness_unavailable,False,314.79025491539664
0.1,ad_memory_r2,H,ad_memory,flatness_unavailable,False,322.8915718905556
